Tg,Ta,Tc
33.4925,24.0,36.59
33.97,24.0,37.19
34.82,24.0,37.34
34.302499999999995,24.0,37.09
34.669999999999995,24.0,37.04
34.285,24.0,36.99
33.677499999999995,24.0,36.59
33.46,25.0,36.49
35.19,25.0,36.59
35.215,26.0,36.89
33.730000000000004,22.8,36.54
33.34,23.0,36.74
34.055,23.0,36.54
34.269999999999996,23.0,37.19
34.8825,23.5,37.79
34.230000000000004,23.7,36.49
33.7725,24.0,37.09
34.31666666666667,22.5,37.19
33.92999999999999,23.2,36.89
34.0925,22.6,36.54
34.39,22.9,37.04
35.2025,23.0,37.04
34.17,23.1,36.14
34.0425,23.1,36.99
34.7975,22.9,37.09
33.05,22.9,36.59
34.66,23.2,36.89
33.935,22.5,36.64
34.4675,23.4,37.14
34.042500000000004,23.2,36.59
34.9975,23.1,37.39
34.1125,22.8,36.49
33.83,22.8,37.19
34.1,23.0,37.39
33.557500000000005,23.2,36.74
33.897499999999994,23.2,37.04
34.53,23.2,36.59
34.7025,23.2,37.29
34.475,23.4,37.29
33.9825,22.9,36.69
34.47,23.1,37.04
34.5725,23.2,36.79
34.7725,23.4,37.04
33.5,23.0,35.99
34.2,23.4,37.09
34.0975,23.4,36.74
34.6125,23.4,36.84
34.2275,23.5,37.09
34.667500000000004,23.1,37.34
34.435,23.2,36.94
34.37,23.0,36.99
34.0175,23.0,36.64
34.5925,23.7,37.09
34.5025,23.7,36.54
34.167500000000004,23.2,36.64
34.5825,23.4,36.84
34.445,23.4,36.89
34.442499999999995,23.2,37.04
34.24,23.2,37.09
34.9525,23.4,37.79
34.415,23.5,37.04
34.555,23.0,36.84
34.01,23.1,36.84
34.75,23.5,37.14
34.714999999999996,23.5,37.04
34.3425,23.6,37.19
35.46249999999999,23.2,37.99
34.225,23.0,37.04
33.754999999999995,23.4,36.39
34.99250000000001,23.3,37.19
33.4825,22.8,36.54
34.1075,23.4,36.89
35.705,23.5,38.69
34.457499999999996,23.6,36.79
32.529999999999994,23.7,36.79
34.3675,24.2,37.19
34.97666666666666,23.5,37.09
34.255,22.8,36.79
35.833333333333336,23.4,38.54
34.667500000000004,23.6,36.29
34.5475,24.0,36.64
36.0925,24.8,38.59
34.1225,25.0,36.09
33.94499999999999,23.3,37.04
34.2675,24.4,37.09
35.015,24.6,37.14
35.065,24.6,36.94
34.8625,25.3,37.29
34.5475,25.3,36.94
35.0075,25.7,36.84
34.36,25.1,37.39
33.955000000000005,25.5,36.94
34.615,25.5,36.29
35.95,25.7,37.79
35.4925,25.7,37.44
34.4175,26.0,36.94
35.05500000000001,26.0,36.79
34.095,25.8,37.24
35.885000000000005,25.6,38.09
32.2625,22.7,36.49
34.7025,23.4,36.94
33.5775,23.5,36.79
34.655,23.8,37.34
34.5225,23.8,36.99
35.1375,23.6,37.99
33.67250000000001,22.9,36.14
34.03666666666666,23.3,36.69
33.589999999999996,23.3,36.34
34.43333333333333,23.2,36.99
34.8425,23.2,37.29
34.800000000000004,23.6,36.89
34.9425,23.5,37.34
33.0925,22.7,35.64
33.800000000000004,22.6,37.24
33.697500000000005,22.8,36.59
34.05,22.7,36.19
34.23,23.4,37.04
34.445,23.4,36.69
34.07,23.7,36.89
34.112500000000004,23.7,36.94
33.269999999999996,22.8,36.54
34.4975,22.7,36.84
36.975,23.2,40.34
33.98,23.2,37.09
33.7325,22.8,36.99
34.7825,23.2,36.79
34.68000000000001,23.4,36.64
34.545,23.4,36.89
35.0,23.3,37.44
34.4975,23.6,37.99
34.917500000000004,23.8,37.39
34.05,23.4,36.69
35.95333333333334,23.7,38.39
34.362500000000004,23.0,37.09
34.182500000000005,22.7,37.04
33.720000000000006,23.2,36.64
35.5175,23.8,38.04
34.445,24.1,36.84
33.852500000000006,25.1,36.74
35.2,25.0,37.99
34.697500000000005,25.2,37.09
33.85249999999999,23.1,36.64
34.985,23.7,37.04
34.9775,23.9,37.04
34.085,22.7,36.89
34.42,23.2,37.14
34.275000000000006,23.3,37.94
34.635,23.6,36.99
34.09,24.4,37.24
33.0625,22.7,36.59
35.275000000000006,23.4,37.99
33.917500000000004,23.8,37.14
35.165000000000006,24.4,37.09
34.925,25.8,36.79
34.997499999999995,26.2,36.44
35.0975,26.5,38.44
36.105000000000004,26.4,39.64
34.1875,23.7,36.79
34.455,24.0,36.74
33.165000000000006,26.1,36.84
35.4125,26.4,36.99
34.2975,26.5,36.84
33.7475,22.8,36.39
34.23,23.1,36.69
34.4975,23.1,36.89
34.3825,23.4,36.99
31.28,22.8,36.44
34.5225,25.3,37.14
34.61,25.4,37.24
34.900000000000006,25.6,36.69
34.4825,25.2,36.99
33.61,23.1,35.94
34.6625,23.2,37.14
33.9825,23.6,36.84
34.01,23.7,37.04
34.545,23.9,37.09
34.692499999999995,23.3,36.99
33.065,22.6,36.24
34.045,22.7,37.14
34.2925,23.0,36.79
34.415000000000006,23.0,36.34
34.98500000000001,23.2,36.89
34.035,23.2,36.64
35.0,23.5,37.19
33.31,22.7,36.79
34.0575,23.0,36.99
34.05,23.2,36.54
35.10666666666666,24.7,37.04
34.3275,23.1,37.14
34.0925,23.5,36.99
34.85,23.7,37.19
35.1825,24.4,36.99
33.71,23.8,36.94
33.695,24.1,36.44
34.0025,25.3,36.84
34.9275,25.9,37.24
34.1875,25.5,37.04
34.865,25.6,37.09
35.080000000000005,26.0,37.34
34.805,26.0,36.69
34.3575,22.0,36.79
33.6425,22.2,36.89
34.535,22.4,37.29
34.3675,22.4,37.14
34.23,22.7,36.59
32.9375,22.1,36.19
34.78,22.1,37.24
33.775,22.4,36.54
33.9925,22.3,36.79
35.0,23.2,36.94
34.37,23.4,36.19
34.620000000000005,23.5,37.14
33.8375,23.0,37.64
