layers,activation,batch_size,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[64],prelu,32,1.8161999702453602,1.5944905757904044,-19.129499435424805,2.3886700630187976,0.6680826902389523,0.46354225873947114,-0.5768712759017944,0.6407740831375118,0.0010000000474974513
[64],prelu,32,1.016966557502746,1.044723987579345,-7.103776931762695,1.5155958652496329,0.5412285804748532,0.3446347117424009,0.13772273063659668,0.473838400840759,0.0010000000474974513
[64],prelu,32,0.7402806043624873,0.8064203023910518,-3.859034538269043,1.1735853195190422,0.45176385641097994,0.31501282453536966,0.28759294748306274,0.4306960701942441,0.0010000000474974513
[64],prelu,32,0.5365833878517148,0.6152339458465572,-1.7160754203796387,0.8774261713027949,0.37540944814681987,0.29786084890365583,0.3532335162162781,0.4103746891021726,0.0010000000474974513
[64],prelu,32,0.4118346691131589,0.5001049876213071,-0.761479377746582,0.706607866287231,0.3068686723709105,0.27661344408988936,0.44005918502807617,0.3818368792533872,0.0010000000474974513
[64],prelu,32,0.3154950499534605,0.4081364035606382,-0.1362398862838745,0.5675115466117856,0.25259492397308336,0.28417789936065657,0.4266144633293152,0.3863938093185422,0.0010000000474974513
[64],prelu,32,0.24861758351325974,0.35703306198120094,0.13702654838562012,0.4945821046829221,0.20471277236938465,0.2738259315490721,0.4511790871620178,0.3780263900756834,0.0010000000474974513
[64],prelu,32,0.19706241488456713,0.32292104959487894,0.288830041885376,0.4489793658256528,0.16559886932373036,0.2716997623443602,0.4588589072227478,0.3753721475601194,0.0010000000474974513
[64],prelu,32,0.15636577606201163,0.3022233009338377,0.383198618888855,0.4181309938430784,0.13419254422187799,0.2725221455097197,0.4547958970069885,0.37677869796752905,0.0010000000474974513
[64],prelu,32,0.12550472617149347,0.29204020500183087,0.4233459234237671,0.40429408550262425,0.10794247984886163,0.2653370618820189,0.4688878059387207,0.3718775153160093,0.0010000000474974513
[64],prelu,32,0.10181775391101831,0.28757981657981857,0.43885958194732666,0.39881865978240943,0.08776870071887964,0.2665526926517485,0.4694187641143799,0.37169158458709695,0.0010000000474974513
[64],prelu,32,0.08330723941326136,0.2838919401168822,0.44942528009414673,0.3950461149215696,0.07227938175201412,0.26782030463218676,0.46552926301956177,0.3730514645576475,0.0010000000474974513
[64],prelu,32,0.06877772212028499,0.28076325058937057,0.46208029985427856,0.39047963619232157,0.0602499425411224,0.2644263625144957,0.4655795097351074,0.3730339407920835,0.0010000000474974513
[64],prelu,32,0.05790716707706448,0.2785838663578032,0.46849846839904785,0.38814318180084206,0.051014631986618014,0.26397222876548754,0.46966904401779175,0.3716038942337034,0.0010000000474974513
[64],prelu,32,0.049575336277484866,0.2763258218765257,0.4782146215438843,0.3845790624618528,0.04442997872829434,0.2628776013851164,0.4687286615371704,0.37193323373794535,0.0010000000474974513
