layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,1,2.1416804981231676,2.0238620281219473,-33.49366779327393,3.0142345905303936,0.2820785200595854,0.6128692674636838,-1.4035282850265502,0.8103842067718501,0.0010000000474974513
[16],relu,32,2,0.6666440391540523,1.043694205284118,-8.199238967895507,1.583131113052367,0.20934370636939986,0.4448008418083188,-0.424567437171936,0.6166860008239743,0.0010000000474974513
[16],relu,32,3,0.4182016968727109,0.7749041962623592,-4.198804092407227,1.1870552158355707,0.15636278986930838,0.3471084880828855,0.1986738085746765,0.47138855695724463,0.0010000000474974513
[16],relu,32,4,0.28899708509445177,0.6139043068885799,-2.2313724994659423,0.9330233430862421,0.13450747668743127,0.3181768083572386,0.32404724359512327,0.43354610681533784,0.0010000000474974513
[16],relu,32,5,0.21839075803756702,0.5168038487434383,-1.243863010406494,0.7787680077552791,0.11799352884292595,0.30241216778755164,0.38228139877319334,0.4140941047668455,0.0010000000474974513
[16],relu,32,6,0.16777478635311116,0.44308850526809673,-0.5797603130340576,0.6536683201789852,0.10567638337612147,0.29556059718132005,0.39844498634338377,0.4082234930992124,0.0010000000474974513
[16],relu,32,7,0.13453273236751548,0.3926787185668943,-0.18727455139160157,0.5692973399162289,0.09405468374490733,0.28553152441978435,0.42841426134109495,0.3983956146240232,0.0010000000474974513
[16],relu,32,8,0.11299412906169884,0.35997350692749003,0.02418506145477295,0.517517759799957,0.08396468639373775,0.2782922780513762,0.45160226821899413,0.3902571630477903,0.0010000000474974513
[16],relu,32,9,0.09609291851520532,0.33591225743293746,0.17567248344421388,0.4773762631416318,0.07597881048917766,0.2746265602111815,0.4578838586807251,0.3880909681320188,0.0010000000474974513
[16],relu,32,10,0.08349935889244076,0.3186880302429197,0.26907687187194823,0.4501409697532651,0.06887859910726543,0.2710151803493498,0.4633037209510803,0.38609023332595804,0.0010000000474974513
[16],relu,32,11,0.07337337791919704,0.3060997009277342,0.3348270535469055,0.42990014791488623,0.06201346099376674,0.2684998726844786,0.4793994903564453,0.3801895737648008,0.0010000000474974513
[16],relu,32,12,0.06513500869274136,0.2947432672977446,0.3814902067184448,0.41485995769500705,0.05638243138790128,0.26624498605728136,0.48769121170043944,0.37724143266677834,0.0010000000474974513
[16],relu,32,13,0.05860886245965954,0.28805077314376815,0.410630989074707,0.40518779754638645,0.05121214717626569,0.26529315948486315,0.49889202117919923,0.37310563087463355,0.0010000000474974513
