layers,activation,batch_size,epoch,loss,mae,root_mean_squared_error,r2_score,val_loss,val_mae,val_root_mean_squared_error,val_r2_score,loss_mean,mae_mean,root_mean_squared_error_mean,r2_score_mean,val_loss_mean,val_mae_mean,val_root_mean_squared_error_mean,val_r2_score_mean
[16],prelu,32,1,0.8895275632709443,0.503210151181102,0.7162508251273856,15.613019627660053,0.032700740067625314,0.11486411225016112,0.1426384972843573,0.7615577412934093,1.886554255485534,1.8911908721923818,2.8223211765289293,-29.09408187866211,0.2710534000396726,0.599352042675018,0.7955234241485591,-1.3208863496780396
[16],prelu,32,2,0.10790913136883613,0.1586358530858854,0.18430983135851622,2.213957454609746,0.02675884339000193,0.12098582552966465,0.16962461645801674,0.8744678115133281,0.7118066811561581,1.1021943855285639,1.663180389404296,-9.027154731750489,0.20960230708122235,0.45500236272811867,0.6235173296928401,-0.4936108708381653
[16],prelu,32,3,0.08158710172050374,0.1417096773605143,0.18235852864545793,1.6939821970027635,0.011775671865924955,0.06326025118988653,0.07382541203473753,0.29602863704529886,0.4685384488105771,0.8488924026489253,1.2871989440917961,-5.0491901397705075,0.1584806531667708,0.349526900053024,0.46883312702178925,0.18778195381164547
[16],prelu,32,4,0.05151465524882139,0.10962605809477009,0.14103067254409554,1.0480815201311577,0.019676260941274,0.03583994418604652,0.034775279175281885,0.09915692565331669,0.32508163690566994,0.6754994130134578,1.0176568222045892,-2.7786683559417726,0.1389858591556548,0.32025904297828656,0.43002732038497893,0.33229680061340333
[16],prelu,32,5,0.04675119668399435,0.09597740270543552,0.1383555961748696,0.8586104803935866,0.005467984922231378,0.09382744525569787,0.08604892044348317,0.3521573693791672,0.2419514393806456,0.5565547800064083,0.8315220451354974,-1.5411065101623536,0.13268210113048542,0.34054103136062597,0.45018482208251925,0.24067045450210572
[16],prelu,32,6,0.02903024667399048,0.07152009298164337,0.10186387507364435,0.5262412481992624,0.014137984787488417,0.03634741859039538,0.03090770312582036,0.10725585158480327,0.18658145070075977,0.47511762857437106,0.6957072973251339,-0.7702460765838623,0.11507018744945514,0.30620655655860884,0.4159588837623594,0.37350786924362184
[16],prelu,32,7,0.025053773917782834,0.0542293580461035,0.08222428889816571,0.37391386478393795,0.016311356272398356,0.017244805233238146,0.01850250559010523,0.0410341064998848,0.14899753153324116,0.41382411718368506,0.5954340577125545,-0.2940428972244263,0.1025130620598792,0.28711103081703165,0.39944480895996065,0.42570961713790895
[16],prelu,32,8,0.020643987802921576,0.04163863653266095,0.05981338585081245,0.2527833270576552,0.013601364061768362,0.019499818228842593,0.019387890194892614,0.0492275507398695,0.12642427682876578,0.3801247859001157,0.5416764950752255,-0.06506245136260988,0.09313304364681234,0.28510820031166056,0.3968997716903684,0.4326313614845276
[16],prelu,32,9,0.017017091970148366,0.03179492896805478,0.04530912390861705,0.17612152399215567,0.007959108867713168,0.044196433470191324,0.03841887206253575,0.13748242531052757,0.10711073040962209,0.34953718185424776,0.49327192068099945,0.11984571218490596,0.08637675583362568,0.2945708727836607,0.40470052242279025,0.40397311449050904
[16],prelu,32,10,0.015175602681988318,0.024520168738451146,0.03305859229982798,0.1236190950226045,0.012285936951646528,0.010449957829677224,0.021434724583660317,0.024499040530660335,0.09284098148345936,0.3287088418006895,0.4618965983390805,0.23057547807693476,0.0757444104552268,0.27402721524238566,0.38667675733566254,0.46287033557891843
[16],prelu,32,11,0.013171146337409264,0.019950733200918995,0.02605627763539902,0.09406807963222005,0.009869850134562033,0.01227847574769536,0.017009824228882205,0.02736836923210065,0.08141045540571205,0.3144398617744444,0.43934180974960296,0.3050025343894958,0.06877707034349431,0.2750298786163328,0.385547647476196,0.4654369592666626
[16],prelu,32,12,0.011024191296164736,0.015383973772609492,0.019066565980340313,0.06978028753613304,0.008707343910375247,0.008497579797270179,0.013874740153985666,0.014295205500881885,0.07203685194253913,0.30223339319229103,0.42300870180129974,0.3565282583236694,0.06206782400608054,0.2720759224891661,0.38137360095977757,0.47707648277282716
[16],prelu,32,13,0.00873493460412094,0.011943964513748904,0.011574878357273418,0.04514609039438481,0.005314330764825975,0.02304135620923669,0.02056765119381371,0.06921540561537524,0.06409200400114053,0.2938402283191679,0.41022682428359963,0.39569567441940307,0.05718453705310814,0.27815052866935713,0.383983926773071,0.46740840673446654
[16],prelu,32,14,0.006781254679857068,0.0086661545139568,0.008110258012905339,0.03423192928145746,0.006537221151601645,0.01218686586466342,0.015471169634622372,0.019258268489892528,0.05768026292324058,0.286391701698303,0.4019987869262692,0.41999363899230957,0.0511177656054496,0.2704324078559874,0.3754346179962156,0.49324851036071776
[16],prelu,32,15,0.005563837582604395,0.007161330164535426,0.006162637145953126,0.028284209101292417,0.0048575148648880235,0.008103011357226015,0.014800822672507713,0.024916785369712487,0.0522597008943557,0.28210222721099837,0.3956723570823667,0.43824492692947387,0.04649777412414544,0.2651762187480925,0.37178231477737406,0.5027962446212768
[16],prelu,32,16,0.004365270279407866,0.004299185483120567,0.004108012964056234,0.02197494169288792,0.0037549195325827464,0.0069816974757588085,0.012861883243154657,0.024759528956028273,0.04794030100107184,0.27845834612846354,0.3922549366950986,0.44805303812026975,0.04315076082944862,0.26407991051673874,0.37266974687576265,0.5002800226211548
[16],prelu,32,17,0.0032055553636040346,0.0030705957938984498,0.0022462749227942364,0.017185377344113736,0.002885484947786197,0.009304130643379796,0.011724867753971958,0.026216475250618664,0.04411734670400614,0.27530057072639447,0.3883870196342466,0.45897849798202517,0.039781399369239724,0.26262012720108013,0.3697789692878721,0.5078601956367492
