layers,activation,batch_size,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,0.044166,0.032312,0.282088,0.264817,0.400211,0.370387,0.303247,0.502326
[16],relu,64,0.046682,0.033043,0.284025,0.265917,0.403437,0.371453,0.269947,0.498469
[16],prelu,32,0.044187,0.032676,0.282708,0.265128,0.40114,0.371069,0.307558,0.500324
[16],prelu,64,0.045318,0.033053,0.282664,0.265845,0.40091,0.371439,0.289939,0.494797
[32],relu,32,0.043944,0.034626,0.279386,0.264195,0.394649,0.369198,0.357674,0.507725
[32],relu,64,0.043324,0.034764,0.278575,0.264618,0.393951,0.370042,0.367301,0.504025
[32],prelu,32,0.05012,0.035426,0.283211,0.264906,0.401103,0.370083,0.258944,0.5033
[32],prelu,64,0.044118,0.034655,0.278932,0.264221,0.394347,0.369132,0.355319,0.507253
[64],relu,32,0.048345,0.03839,0.278376,0.263967,0.392409,0.368323,0.357432,0.5096
[64],relu,64,0.048871,0.039053,0.278158,0.26367,0.392351,0.36817,0.361194,0.51097
[64],prelu,32,0.047089,0.038021,0.277377,0.264733,0.391378,0.369145,0.369866,0.507047
[64],prelu,64,0.048005,0.037849,0.278425,0.26485,0.393132,0.369424,0.349911,0.505648
"[32, 16]",relu,32,0.05237,0.040032,0.284448,0.265639,0.402198,0.372821,0.299404,0.49572
"[32, 16]",relu,64,0.048944,0.039196,0.282082,0.264973,0.39815,0.372175,0.346002,0.499634
"[32, 16]",prelu,32,0.055396,0.041473,0.286093,0.267085,0.403775,0.373834,0.267949,0.490813
"[32, 16]",prelu,64,0.050159,0.040091,0.281208,0.266264,0.39742,0.372437,0.340007,0.49837
"[64, 32, 16]",relu,32,0.06368,0.052739,0.283903,0.270605,0.401041,0.378044,0.324258,0.478719
"[64, 32, 16]",relu,64,0.06135,0.051827,0.282845,0.271458,0.399884,0.379075,0.346233,0.477598
"[64, 32, 16]",prelu,32,0.05912,0.049829,0.27997,0.269823,0.395394,0.376758,0.356898,0.484646
"[64, 32, 16]",prelu,64,0.06316,0.0527,0.281983,0.270684,0.398314,0.377729,0.334769,0.482065
