layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,215,0.0297119463980197,0.2666806483268736,0.4917505025863647,0.3765085244178769,0.0279834182560443,0.2603197717666624,0.5197304248809814,0.365185282230377,1.0937500519503374e-05
[16],relu,64,267,0.0298143978416919,0.2675554525852202,0.4899203896522522,0.3771548151969907,0.0280779379606246,0.2606077873706816,0.5181855678558349,0.3658027768135068,2.3437501113221515e-06
[16],prelu,32,256,0.0296063630282878,0.2666012513637541,0.4936618328094482,0.3757843208312986,0.0280540993809699,0.2601546227931974,0.5187993526458741,0.3655870699882505,3.906250185536919e-06
[16],prelu,64,267,0.0295300483703613,0.2661944067478178,0.4948589086532592,0.3753383803367612,0.0280023765563964,0.2602319991588591,0.5194010376930237,0.3653166604042051,3.1250001484295358e-06
[32],relu,32,268,0.0292898386716842,0.2659060299396513,0.4988033533096313,0.373869659900665,0.028015479594469,0.2602196609973906,0.519058883190155,0.3654575085639951,2.3437501113221515e-06
[32],relu,64,203,0.0292903536558151,0.2655175995826719,0.4988140225410461,0.3738530731201169,0.0280392497777938,0.2607107913494108,0.5187213540077209,0.3655861258506773,1.4062500667932907e-05
[32],prelu,32,283,0.0290527255833148,0.2649602222442625,0.503033709526062,0.372273631095886,0.0279157246649265,0.2598145937919615,0.5210922837257386,0.3647240352630613,1.7625000737098162e-06
[32],prelu,64,249,0.0291257371008396,0.2648952841758726,0.5017032384872436,0.3727885580062864,0.0279065045714378,0.2601128804683684,0.520957636833191,0.3647210454940793,5.078125241197995e-06
[64],relu,32,284,0.0288627491891383,0.2639910864830015,0.5064039468765259,0.3710286498069761,0.0277308815717697,0.2589126169681547,0.5242968797683716,0.3634677743911741,1.5718750546511727e-06
[64],relu,64,270,0.0288884425163268,0.2639311730861662,0.5059150815010071,0.3711771011352537,0.0278254929184913,0.259354770183563,0.5227831363677978,0.3640920710563657,1.95312509276846e-06
[64],prelu,32,271,0.0288348202407359,0.2637324786186217,0.5068055629730225,0.3708843040466306,0.0278237485885619,0.2594481432437895,0.5223198533058167,0.3641874861717222,2.3437501113221515e-06
[64],prelu,64,266,0.0288278254866599,0.2637999773025511,0.5068323850631714,0.3708686184883115,0.0278874939680099,0.2598383152484892,0.5212806940078736,0.3645980429649351,2.3437501113221515e-06
"[32, 16]",relu,32,275,0.0300052548944949,0.2674285769462584,0.4892414808273315,0.3774375557899473,0.0282619629800319,0.2589922320842741,0.5175873875617981,0.366069960594177,2.7343751298758434e-06
"[32, 16]",relu,64,279,0.0297549247741699,0.2662543809413908,0.493841552734375,0.3756919169425962,0.0281969770789146,0.2588443994522093,0.5188719868659973,0.3654920911788938,2.7343751298758434e-06
"[32, 16]",prelu,32,272,0.0295138643682002,0.2655738973617552,0.4975541710853576,0.3743475008010862,0.0281339983642101,0.259017798900604,0.5195894360542297,0.3652821707725523,3.906250185536919e-06
"[32, 16]",prelu,64,243,0.0294873274862766,0.2659946358203887,0.4978702187538147,0.3742189121246335,0.027998609393835,0.2595083785057066,0.521749758720398,0.3644196939468381,7.031250333966455e-06
"[64, 32, 16]",relu,32,253,0.0300131392478942,0.2659521496295927,0.4932060837745666,0.3759522986412046,0.0283759492635726,0.2589022636413572,0.5195571660995484,0.3652078843116758,5.468750259751687e-06
"[64, 32, 16]",relu,64,232,0.0301367381215095,0.2674505281448363,0.4908889055252075,0.3767971944808957,0.0283809028565883,0.2593212246894835,0.5194344639778137,0.3652698540687559,1.7187500816362444e-05
"[64, 32, 16]",prelu,32,229,0.0296092490851878,0.2648046755790709,0.49940105676651,0.373659653663635,0.0283254647254943,0.2594953072071074,0.5197538137435913,0.3651724505424497,1.4062500667932907e-05
"[64, 32, 16]",prelu,64,298,0.0295756052434444,0.2650210726261137,0.4992897152900696,0.3736927628517149,0.0282589504122733,0.2590436840057372,0.5202186703681946,0.3649995517730711,2.1531250922635083e-06
