layers,activation,batch_size,epoch,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,184,0.029835,0.027974,0.267115,0.260772,0.377277,0.365114,0.489656,0.519896
[16],relu,64,214,0.030023,0.028071,0.267767,0.260766,0.378455,0.365745,0.486388,0.518326
[16],prelu,32,228,0.029869,0.028051,0.267164,0.260172,0.377455,0.365567,0.489127,0.518849
[16],prelu,64,256,0.029781,0.027999,0.266627,0.260212,0.376937,0.365292,0.490494,0.519469
[32],relu,32,208,0.029353,0.02801,0.26595,0.260471,0.374264,0.365408,0.497759,0.519175
[32],relu,64,193,0.029415,0.028024,0.265839,0.260433,0.374645,0.365489,0.496711,0.518972
[32],prelu,32,255,0.029235,0.027914,0.265202,0.259822,0.373445,0.364711,0.499957,0.521125
[32],prelu,64,218,0.029356,0.027905,0.265549,0.260191,0.374252,0.364702,0.49779,0.521007
[64],relu,32,255,0.029009,0.027727,0.264684,0.258959,0.371972,0.36344,0.503867,0.524367
[64],relu,64,279,0.029015,0.027823,0.264479,0.259361,0.371998,0.364078,0.50377,0.522818
[64],prelu,32,287,0.029094,0.027822,0.264616,0.259411,0.372568,0.364178,0.502311,0.522346
[64],prelu,64,276,0.029019,0.027886,0.264665,0.259776,0.372104,0.364587,0.503536,0.52131
"[32, 16]",relu,32,194,0.03013,0.028214,0.267861,0.259629,0.378159,0.365672,0.487284,0.518558
"[32, 16]",relu,64,270,0.029808,0.028174,0.266542,0.258935,0.376029,0.365337,0.493007,0.519291
"[32, 16]",prelu,32,168,0.030023,0.028105,0.267163,0.25966,0.377462,0.364942,0.48916,0.520351
"[32, 16]",prelu,64,285,0.029785,0.027989,0.266252,0.259269,0.376135,0.364375,0.492748,0.521886
"[64, 32, 16]",relu,32,204,0.030384,0.028329,0.267645,0.258861,0.378223,0.364798,0.487134,0.520613
"[64, 32, 16]",relu,64,223,0.030255,0.028314,0.26761,0.259636,0.377535,0.364838,0.488963,0.520497
"[64, 32, 16]",prelu,32,291,0.029841,0.028319,0.265278,0.259206,0.375192,0.365199,0.495214,0.519696
"[64, 32, 16]",prelu,64,258,0.029868,0.02824,0.26585,0.259162,0.375539,0.364862,0.494352,0.520551
