layers,activation,batch_size,duration
[16],relu,32,1625.6989586353302
[16],relu,64,1715.3233318328857
[16],prelu,32,1612.9912588596344
[16],prelu,64,1581.5819020271301
[32],relu,32,1552.3485498428345
[32],relu,64,1550.7452313899994
[32],prelu,32,1603.5952908992767
[32],prelu,64,1593.8278424739838
[64],relu,32,1583.9443168640137
[64],relu,64,1591.829100370407
[64],prelu,32,1625.6973750591278
[64],prelu,64,1641.2086124420166
"[32, 16]",relu,32,1809.051477432251
"[32, 16]",relu,64,1858.9431970119476
"[32, 16]",prelu,32,1901.2775299549103
"[32, 16]",prelu,64,1943.4029715061188
"[64, 32, 16]",relu,32,2291.3511774539948
"[64, 32, 16]",relu,64,2452.6646938323975
"[64, 32, 16]",prelu,32,2611.28147482872
"[64, 32, 16]",prelu,64,2074.968733072281
