layers,activation,batch_size,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],prelu,64,4.404410934448239,3.289728355407713,-73.69889068603516,4.502425575256345,6.305608749389645,5.27514724731445,-137.59483337402344,5.422418403625485,0.0010000000474974513
[16],prelu,64,2.915315437316893,2.5429421424865706,-47.39649963378906,3.6240689277648905,3.150864887237547,3.590412425994871,-66.26625061035156,3.777618885040281,0.0010000000474974513
[16],prelu,64,2.1765917301177966,2.065629386901854,-34.37192916870117,3.0982669830322247,1.5401235580444326,2.327367067337035,-29.876699447631836,2.559381008148192,0.0010000000474974513
[16],prelu,64,1.515700149536132,1.719730281829833,-22.724834442138672,2.5374123573303207,0.8455612421035762,1.5261749267578115,-14.215292930603027,1.796634292602538,0.0010000000474974513
[16],prelu,64,1.2976635932922356,1.5033699989318838,-18.91074562072754,2.324519634246825,0.5228133916854856,1.0016061544418329,-6.9678120613098145,1.3001368045806878,0.0010000000474974513
[16],prelu,64,1.2467980384826653,1.4319728851318352,-18.05499839782715,2.2740181446075427,0.37945711612701394,0.701480913162231,-3.7816715240478516,1.0071853637695307,0.0010000000474974513
[16],prelu,64,1.0030130624771112,1.2746581077575676,-13.787550926208496,2.0032612323760977,0.3209707617759703,0.5746656775474545,-2.5147221088409424,0.8635052919387812,0.0010000000474974513
[16],prelu,64,0.9196607351303095,1.1910521507263176,-12.357135772705078,1.9039087772369374,0.289993232488632,0.5124692201614377,-1.8700647354125977,0.7803067445755,0.0010000000474974513
[16],prelu,64,0.8566555023193354,1.1658669948577873,-11.287412643432617,1.826079511642455,0.27080256342887865,0.4810265421867368,-1.4931864738464355,0.7272721052169796,0.0010000000474974513
[16],prelu,64,0.9120230197906489,1.185132694244384,-12.31113338470459,1.9006274700164785,0.2562409043312071,0.4622702836990354,-1.2203176021575928,0.6863207101821895,0.0010000000474974513
[16],prelu,64,0.7122327089309688,1.0465031147003168,-8.82169246673584,1.6326107025146475,0.24633119702339157,0.44958161115646333,-1.0525217056274414,0.6598776340484616,0.0010000000474974513
[16],prelu,64,0.7275729417800899,1.050869178771972,-9.137103080749512,1.6586181163787832,0.23818938732147202,0.4414339542388913,-0.9250051975250244,0.6390509605407712,0.0010000000474974513
[16],prelu,64,0.751149988174438,1.0382642984390253,-9.598723411560059,1.6959626197814932,0.22380448579788195,0.4206686854362485,-0.6570699214935303,0.592911601066589,0.0010000000474974513
[16],prelu,64,0.6951611995697017,1.0127979040145867,-8.652759552001953,1.6185092926025382,0.21319672465324388,0.40156019926071146,-0.4727656841278076,0.5589672446250912,0.0010000000474974513
[16],prelu,64,0.6517787218093868,0.9489912986755366,-7.929261207580566,1.5566724300384511,0.19885734915733325,0.3668935060501096,-0.20427846908569336,0.5054555654525754,0.0010000000474974513
[16],prelu,64,0.6914166212081905,0.9922793626785272,-8.673604011535645,1.6202559471130362,0.19348840713500964,0.3604030966758726,-0.13786005973815918,0.4913194298744199,0.0010000000474974513
[16],prelu,64,0.529794359207153,0.8505398511886592,-5.857463836669922,1.3641786575317374,0.19075108766555776,0.3510158300399778,-0.12961852550506592,0.48953686952590914,0.0010000000474974513
[16],prelu,64,0.5279051542282102,0.8616107940673823,-5.866409778594971,1.3650681495666497,0.18292189836502065,0.3362226605415342,-0.0068007707595825195,0.4621588826179502,0.0010000000474974513
[16],prelu,64,0.5694317579269406,0.8513458728790279,-6.643113613128662,1.4402060508728018,0.17883932590484608,0.333772015571594,0.031646668910980225,0.45324858427047704,0.0010000000474974513
[16],prelu,64,0.4798924684524533,0.8074370384216304,-5.101162433624268,1.2867546558380119,0.17307368516921987,0.3236230731010435,0.10931265354156494,0.4346925258636472,0.0010000000474974513
[16],prelu,64,0.46316442489623993,0.7813910007476802,-4.846419811248779,1.2596052646636955,0.16913911700248707,0.31451354026794415,0.14623934030532837,0.4255862832069394,0.0010000000474974513
[16],prelu,64,0.44176071882247897,0.7579232454299922,-4.507687568664551,1.2225710391998283,0.1666106343269347,0.31829710006713846,0.15290355682373047,0.42392199039459205,0.0010000000474974513
[16],prelu,64,0.43166906833648655,0.753692507743835,-4.3684492111206055,1.2070183753967278,0.16435115933418265,0.32339233160018904,0.1542239785194397,0.42359147071838354,0.0010000000474974513
[16],prelu,64,0.426477777957916,0.7520584344863888,-4.316055774688721,1.2011139392852777,0.1623209595680236,0.3263691544532774,0.1495659351348877,0.42475633621215797,0.0010000000474974513
[16],prelu,64,0.3863481760025022,0.7060239315032955,-3.644908905029297,1.1227370738983147,0.1585576593875884,0.31843078136444075,0.18631672859191895,0.4154772162437437,0.0010000000474974513
[16],prelu,64,0.349033463001251,0.6763577699661251,-3.022830009460449,1.0448533058166498,0.1560336470603942,0.3148487806320189,0.19528049230575562,0.41318238973617527,0.0010000000474974513
[16],prelu,64,0.36664652824401833,0.6676302909851071,-3.371717929840088,1.0892198324203484,0.15364449620246878,0.3159280300140379,0.20164042711257935,0.4115463852882383,0.0010000000474974513
[16],prelu,64,0.36272138357162453,0.6654863119125363,-3.3393607139587402,1.0851814270019524,0.15226212143898002,0.3190609216690062,0.18565768003463745,0.4156454443931577,0.0010000000474974513
[16],prelu,64,0.33129422664642316,0.6470422267913815,-2.8201420307159424,1.018190932273864,0.14856740534305563,0.30865377187728865,0.22334986925125122,0.40591231584548926,0.0010000000474974513
[16],prelu,64,0.35564775466918924,0.672564339637756,-3.286562442779541,1.0785593748092646,0.14480356872081748,0.30081428289413437,0.26267164945602417,0.39550319910049414,0.0010000000474974513
[16],prelu,64,0.3097240447998045,0.6042624950408932,-2.510260820388794,0.9760209560394282,0.1458619773387908,0.314652371406555,0.19295388460159302,0.4137792348861692,0.0010000000474974513
[16],prelu,64,0.3151050209999083,0.6206830501556393,-2.640751600265503,0.9939968347549433,0.14672362804412833,0.3272318243980406,0.1287652850151062,0.4299194455146787,0.0010000000474974513
[16],prelu,64,0.30866467952728255,0.6037052392959591,-2.561218500137329,0.9830798864364618,0.14422018826007835,0.32507954835891706,0.14205586910247803,0.42662769556045504,0.0010000000474974513
[16],prelu,64,0.28933997154235824,0.5946291446685787,-2.2535204887390137,0.9396502733230585,0.14716959893703452,0.3429056167602537,0.03150433301925659,0.45328187942504855,0.0010000000474974513
[16],prelu,64,0.2779073774814604,0.5751131772994992,-2.084946632385254,0.9149836063385004,0.14259281158447257,0.33258272409439066,0.09335583448410034,0.4385690331459043,0.0010000000474974513
[16],prelu,64,0.2682625293731688,0.5730591773986813,-1.9464452266693115,0.8942082166671748,0.13591449558734886,0.31247262954711896,0.20332753658294678,0.4111113309860227,0.0010000000474974513
[16],prelu,64,0.2625080466270445,0.5606840014457699,-1.8769125938415527,0.8835941076278682,0.1315326422452926,0.29609985351562484,0.26140326261520386,0.3958432316780088,0.0010000000474974513
[16],prelu,64,0.23779315352439867,0.5283678174018857,-1.4714317321777344,0.8189620256423945,0.12926402986049645,0.2971395850181578,0.2733479142189026,0.39262937307357765,0.0010000000474974513
[16],prelu,64,0.2298508465290068,0.512740623950958,-1.3613173961639404,0.8005097866058345,0.12988140285015098,0.311517012119293,0.22051626443862915,0.4066521406173704,0.0010000000474974513
[16],prelu,64,0.22399209737777698,0.513693022727966,-1.2882089614868164,0.7880201339721675,0.1263080567121505,0.30098783969879134,0.2624009847640991,0.3955757617950437,0.0010000000474974513
[16],prelu,64,0.22207934260368334,0.5164217233657834,-1.2842848300933838,0.7873441457748408,0.12701413035392753,0.3162927031517027,0.2085781693458557,0.4097543120384214,0.0010000000474974513
[16],prelu,64,0.22993490695953356,0.5073017477989193,-1.4528725147247314,0.8158812761306757,0.12973013520240775,0.33707492351531965,0.10931718349456787,0.4346914172172544,0.0010000000474974513
