layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,1,4.293672490119931,3.151831870079038,-74.6955696105957,4.3071793437004064,1.375753324031829,1.822326511144637,-22.930577945709228,1.9898805129528032,0.0010000000474974513
[16],relu,32,2,2.2700767219066607,2.1822600913047774,-37.80653057098389,3.077897121906278,0.4962076446413991,0.9355129128694528,-5.828520655632019,1.1364420539140694,0.0010000000474974513
[16],relu,32,3,1.570740345120429,1.7601472735404955,-25.083294296264647,2.5456433224678023,0.3138833217322824,0.6487872311472889,-2.1465731859207153,0.8617784342169756,0.0010000000474974513
[16],relu,32,4,1.1619196516275399,1.4849432748556128,-17.719607734680174,2.1764941966533646,0.28364504396915413,0.6095199936628337,-1.5358505487442016,0.8021051847934718,0.0010000000474974513
[16],relu,32,5,0.9829153501987451,1.3292917478084556,-14.472679710388183,1.9812624347209915,0.272355305701494,0.5938987657427784,-1.380531120300293,0.7799183115363115,0.0010000000474974513
[16],relu,32,6,0.8230271786451334,1.2021732711791984,-11.610177135467529,1.7866029435396182,0.2655916790664194,0.5898230618238445,-1.3210028648376464,0.7719540956616397,0.0010000000474974513
[16],relu,32,7,0.6858529505133625,1.067648459672927,-9.127099418640137,1.60325333893299,0.24478857874870283,0.5248126429319379,-0.9987050533294678,0.7124695223569865,0.0010000000474974513
[16],relu,32,8,0.6584946146607396,1.0343519115447992,-8.678083896636963,1.5727660179138172,0.22835749909281713,0.49869627594947785,-0.7681476831436157,0.6710209494829174,0.0010000000474974513
[16],relu,32,9,0.5686348372697827,0.9379787394404404,-7.084405994415283,1.4334129077196112,0.21056619785726055,0.4582733899354931,-0.5200974106788635,0.6204142087697979,0.0010000000474974513
[16],relu,32,10,0.5077371394634242,0.8740163570642465,-6.030703926086426,1.3352266597747795,0.19441023007035244,0.4180647966265676,-0.29617804288864136,0.5724254068732257,0.0010000000474974513
[16],relu,32,11,0.4700658103823659,0.8364884033799166,-5.386840105056763,1.274754538536071,0.18154518455266938,0.39234657481312724,-0.14078218936920167,0.5343715760111805,0.0010000000474974513
[16],relu,32,12,0.43976009801030125,0.7891724458336824,-4.892772817611695,1.223396584391593,0.17190018914639937,0.3754583849012849,-0.01391991376876831,0.5082523173093793,0.0010000000474974513
[16],relu,32,13,0.39571722090244266,0.7336755266785617,-4.140815353393554,1.1399857687950128,0.16178598664700974,0.3546787124872205,0.09958354234695435,0.4771410115063187,0.0010000000474974513
[16],relu,32,14,0.379690283834934,0.7117272570729252,-3.9086483001708983,1.1123015916347496,0.15684303261339655,0.3522217163443563,0.12638987302780152,0.46966240048408475,0.0010000000474974513
[16],relu,32,15,0.3449315449595449,0.6744395399093623,-3.3311406850814818,1.0435484653711313,0.14882313713431347,0.3324639245867727,0.21695369482040405,0.44543174818158116,0.0010000000474974513
[16],relu,32,16,0.31796000689268095,0.6427244549989697,-2.8859075546264648,0.9868448805809015,0.14314101457595815,0.32244402155280094,0.2651368618011475,0.4324778127670285,0.0010000000474974513
[16],relu,32,17,0.2820969207584856,0.6076880928874011,-2.298996019363403,0.916425647735595,0.13926126174628725,0.32046965822577456,0.2740304350852966,0.4279621894657609,0.0010000000474974513
[16],relu,32,18,0.2810061040520666,0.5956188991665836,-2.326790976524353,0.9165393427014343,0.1355449616536497,0.3160196572542189,0.2883706450462341,0.4239117534458634,0.0010000000474974513
[16],relu,32,19,0.2509198976308106,0.557116242498159,-1.8297417879104614,0.846421082913875,0.13169870499521485,0.31116714730858785,0.31048117876052855,0.41831088811159106,0.0010000000474974513
[16],relu,32,20,0.25043989263474925,0.5530291950702664,-1.8710076332092285,0.8500300607085223,0.1274801713228225,0.3060455842316149,0.3370638370513916,0.41033262148499466,0.0010000000474974513
[16],relu,32,21,0.23263178750872596,0.5317497149109837,-1.5960453510284425,0.8081580564379687,0.1223301497101783,0.29635524213314035,0.38315720558166505,0.39608500912785505,0.0010000000474974513
[16],relu,32,22,0.21652203045785412,0.5094828678667541,-1.3449971437454225,0.7692103159427638,0.12059271369129412,0.3015329089760778,0.3634327411651611,0.4016377671062944,0.0010000000474974513
[16],relu,32,23,0.20777007117867458,0.4983366091549393,-1.2345964908599854,0.7509068652987475,0.11852038245648137,0.3015670818090437,0.3551653981208801,0.4048882168531415,0.0010000000474974513
[16],relu,32,24,0.19552719771862018,0.4809340567886826,-1.0609918594360352,0.7205818241834636,0.11573418132960789,0.3016718661785124,0.3609119296073914,0.40326195269823045,0.0010000000474974513
[16],relu,32,25,0.18180804133415213,0.4629855015873906,-0.8550466775894165,0.6854065760970112,0.11249068196862928,0.2956714971363542,0.3735723376274109,0.3989013510942457,0.0010000000474974513
[16],relu,32,26,0.1710010240972041,0.4419919513165948,-0.7018250823020935,0.6560167196393009,0.10867563974112264,0.289385232105851,0.40247927904129027,0.3902700169384477,0.0010000000474974513
[16],relu,32,27,0.16336344599723804,0.4348295144736764,-0.6084248900413514,0.6384372061491008,0.10611676841974252,0.2872070230543612,0.4042871594429016,0.38895889982581117,0.0010000000474974513
[16],relu,32,28,0.15638265304267396,0.421278427392244,-0.5228615999221802,0.6229992821812625,0.10345359377562993,0.2830693700909613,0.41716077327728274,0.3863115203380582,0.0010000000474974513
[16],relu,32,29,0.15289974205195894,0.4161529251933095,-0.5002237200737,0.6170649185776707,0.10162230949848883,0.28683781035244443,0.4023937821388245,0.38901346966624234,0.0010000000474974513
[16],relu,32,30,0.14195572473108758,0.4038467651605603,-0.34188797473907473,0.5852040943503376,0.0998199097812175,0.28822053201496584,0.3936779260635376,0.3914555594325063,0.0010000000474974513
[16],relu,32,31,0.1407406945526599,0.4008399695158002,-0.3582653284072876,0.5876101398468013,0.09724124412983651,0.2862949538230894,0.40517531633377074,0.38864534765481923,0.0010000000474974513
[16],relu,32,32,0.13083538584411136,0.38502707526087737,-0.21333730220794678,0.5565303525328632,0.09538918901234858,0.28658173963427525,0.3998618721961975,0.38982756137847874,0.0010000000474974513
[16],relu,32,33,0.1264727418869733,0.3779561342298982,-0.1726229190826416,0.5472879429161546,0.09344956923276179,0.2863749854266642,0.3986186981201172,0.3903260983526704,0.0010000000474974513
[16],relu,32,34,0.12298737160861484,0.37389101192355134,-0.14514025449752807,0.5392368704080578,0.08987819228321307,0.2784888794273136,0.43466006517410277,0.38026595130562757,0.0010000000474974513
[16],relu,32,35,0.11733477074652902,0.3660543996095655,-0.07699103355407715,0.5249810716509816,0.08823751963675017,0.27835491098463516,0.42949246168136596,0.38197135224938367,0.0010000000474974513
[16],relu,32,36,0.11104262076318257,0.35541256234049773,0.0028048157691955566,0.5056729498505589,0.08573681298643346,0.2764740662276743,0.4414837121963501,0.377936848402023,0.0010000000474974513
[16],relu,32,37,0.10945289660245172,0.35298096179962135,-0.00018558502197265624,0.5056036747992035,0.08398716863244766,0.2756455378234385,0.44060214757919314,0.3782357084751127,0.0010000000474974513
[16],relu,32,38,0.10374680913984768,0.34429857596755004,0.07100838422775269,0.4883749824762341,0.08225608300417656,0.27741193100810035,0.4396488070487976,0.3784936316311357,0.0010000000474974513
[16],relu,32,39,0.10182940389960997,0.3420698760449884,0.07480437755584717,0.486860767304897,0.07987777713686223,0.27236167773604375,0.4553149461746216,0.3739280763268468,0.0010000000474974513
[16],relu,32,40,0.0995738992094993,0.33873524770140623,0.08474600315093994,0.48378883063793154,0.07843239169567819,0.27388867028057556,0.4490434765815735,0.3756319077312944,0.0010000000474974513
[16],relu,32,41,0.09493457380682224,0.33202954456210115,0.13957711458206176,0.4698549634218213,0.07630790688097472,0.27069386787712557,0.46006194353103635,0.37225839197635624,0.0010000000474974513
[16],relu,32,42,0.09105260159820312,0.32514655679464316,0.18048508167266847,0.4587513880431649,0.07474898688495155,0.2691411076486109,0.4610463857650757,0.37223859697580314,0.0010000000474974513
[16],relu,32,43,0.0882713266089558,0.32292200073599797,0.20267876386642455,0.4529123522341248,0.07337790124118324,0.2686990273743866,0.4585891246795654,0.3731536920368669,0.0010000000474974513
[16],relu,32,44,0.08574814699590201,0.31485768780112244,0.22097262144088745,0.44815792039036717,0.07177034515887495,0.2676267502456902,0.46073962450027467,0.37245917588472344,0.0010000000474974513
[16],relu,32,45,0.0841415818035602,0.3184005707502363,0.22338486909866334,0.4474908868968484,0.07030166190117593,0.2688185788691042,0.4607042193412781,0.3723987746238706,0.0010000000474974513
[16],relu,32,46,0.08089772030711169,0.3116190415620802,0.2571433424949646,0.43736315444111795,0.06844048868864769,0.2658279140293597,0.469270384311676,0.36952816173434233,0.0010000000474974513
[16],relu,32,47,0.08033095832914108,0.3143124878406523,0.24107592105865477,0.4417150464653966,0.06713549301028247,0.26845055855810623,0.46722486019134524,0.3700994664430616,0.0010000000474974513
[16],relu,32,48,0.07540670409798617,0.30467333525419216,0.3070343017578125,0.4230033473670479,0.06573415976017709,0.2683079305291174,0.4683173656463623,0.3697445133328435,0.0010000000474974513
[16],relu,32,49,0.07407935515046116,0.30436824426054937,0.30640134811401365,0.42350002333521813,0.0644584676623344,0.265537393465638,0.4699320554733276,0.36961069270968416,0.0010000000474974513
[16],relu,32,50,0.07178701560944314,0.3010280977189539,0.324415910243988,0.41770008578896495,0.06302899353206154,0.2642804328352211,0.4731130123138428,0.36852561444044085,0.0010000000474974513
[16],relu,32,51,0.06889853496104474,0.29549513787031156,0.3547819256782532,0.4084673064947125,0.06177563801407811,0.26549630105495436,0.4732838153839111,0.36841018751263593,0.0010000000474974513
