layers,activation,batch_size,df,statistic,p_value
[16],relu,32,4,461.4266349015147,4.615064088080034e-09
[16],relu,64,4,401.1380223029188,7.102740482770602e-05
[16],prelu,32,4,427.98827576949554,1.3645438116944177e-06
[16],prelu,64,4,397.57046446073974,0.00011479348416391031
[32],relu,32,4,358.2837155682801,0.010521327584846349
[32],relu,64,4,443.5346188478526,1.0704934004177898e-07
[32],prelu,32,4,554.9118422408011,1.4187324783327233e-17
[32],prelu,64,4,451.37583381330086,2.7738530027802182e-08
[64],relu,32,4,501.73485173683696,1.8060411309106188e-12
[64],relu,64,4,489.7749655988569,2.054924604568587e-11
[64],prelu,32,4,523.5684868953005,1.730924283507126e-14
[64],prelu,64,4,555.5033166099196,1.2349614980913265e-17
"[32, 16]",relu,32,4,522.7769415565002,2.057853682373465e-14
"[32, 16]",relu,64,4,526.217447321669,9.678056228824205e-15
"[32, 16]",prelu,32,4,636.1663047992183,1.8308593384300366e-26
"[32, 16]",prelu,64,4,378.21844566785387,0.0012742478055526873
"[64, 32, 16]",relu,32,4,544.9378512674147,1.435295686996486e-16
"[64, 32, 16]",relu,64,4,600.245143164026,2.173888214243418e-22
"[64, 32, 16]",prelu,32,4,557.0534433885754,8.578674266306368e-18
"[64, 32, 16]",prelu,64,4,567.2176112303429,7.6544337702064785e-19
