layers,activation,batch_size,epoch,loss,mae,root_mean_squared_error,r2_score,val_loss,val_mae,val_root_mean_squared_error,val_r2_score,loss_mean,mae_mean,root_mean_squared_error_mean,r2_score_mean,val_loss_mean,val_mae_mean,val_root_mean_squared_error_mean,val_r2_score_mean
[16],prelu,32,1,2.3364078943694095,1.0535109798925548,1.296202852032048,45.130930655150756,0.35847702621793615,0.6128520665238444,0.6023992650306764,6.756858535874747,3.786277396678922,2.872227727174757,3.998484411239622,-66.86091041564941,0.6660125648975368,1.3413638371229162,1.4816281765699375,-8.687829208374023
[16],prelu,32,2,1.0755009603690666,0.6099636586170438,0.7924404387463511,21.005172640917458,0.0562097753273454,0.22195386468930847,0.22959166623823438,1.606662173309464,2.0502906405925736,2.0042897355556475,2.9288583183288557,-34.47893867492676,0.3164325562119482,0.7251101419329639,0.8892745068669313,-2.3268163800239563
[16],prelu,32,3,0.4036087336081545,0.3106866069215782,0.3734179164286272,8.108054107140592,0.04662336629739827,0.21418445081030507,0.20954105932842834,1.3255347537040536,1.3896234953403463,1.6257914692163458,2.4172582685947406,-22.121311569213866,0.27430061653256393,0.6134849500656123,0.7799203661084171,-1.5476330518722534
[16],prelu,32,4,0.23047793308610598,0.21715467054225404,0.2574824206141268,4.8715264907564615,0.023108331926919655,0.13370774904378507,0.1440869251806901,0.9325622152082552,1.1133397400379175,1.434061099290847,2.1444620108604417,-17.03484115600586,0.2667914842814205,0.6059592542052264,0.7758273753523822,-1.4359001636505127
[16],prelu,32,5,0.21510490830364637,0.21883061934455303,0.26610011830187974,4.6861065112703555,0.0287873309385493,0.12221937151087255,0.14231730024573794,0.9886661740823098,1.0104018896818154,1.3397150909900657,2.0288631016015994,-15.18794002532959,0.26820039995014644,0.6126241496205326,0.7875605475902552,-1.5035931587219238
[16],prelu,32,6,0.13515159596084794,0.18572002571716933,0.2008037684883286,3.0986055026404324,0.03976443939529852,0.12415271273301508,0.15761391884285045,1.0754118981537908,0.8682582974433893,1.2218057101964943,1.8646794110536562,-12.571727752685547,0.25822831839323024,0.5740770637989041,0.7615582054853436,-1.3529015064239502
[16],prelu,32,7,0.10265486144373509,0.14955513781053598,0.17230166092751634,2.428551318639167,0.03903557243945763,0.13251755809830415,0.17701652057203593,1.0111688742024303,0.737997415363788,1.1206787019968025,1.6951914089918123,-10.204094314575196,0.25562173739075644,0.5598055501282211,0.7575811299681658,-1.3109618425369263
[16],prelu,32,8,0.11493157172163611,0.1562238026085814,0.19180171951739453,2.4563751379916203,0.034841038242902564,0.13336416455062955,0.18036200886120674,0.9374882268433027,0.6827626556158062,1.0693463760614388,1.6171529823541628,-9.220402050018311,0.2427847321331499,0.5337255616486068,0.7233263346552844,-1.1045856475830078
[16],prelu,32,9,0.10727143472142209,0.1497405802137359,0.19267549773317535,2.5909076550355734,0.031171782002159018,0.11110582605719344,0.172084245772268,0.7883396370314072,0.6501042479276653,1.0241249266266816,1.5719253468513479,-8.686069297790528,0.22748790942132455,0.49760265931487047,0.6813057467341419,-0.8458126068115235
[16],prelu,32,10,0.10031746575035755,0.16039834115859866,0.1950669223106675,2.306987447297713,0.03709319601961914,0.12670844739670828,0.1997430924242956,0.9210957189477431,0.5825228932499882,0.960490172505378,1.4694192802906028,-7.47171688079834,0.21626071497797947,0.46844256788492167,0.6435552060604091,-0.6730466485023499
[16],prelu,32,11,0.09813889617078496,0.14976265218264787,0.19555552017554548,2.184219340076958,0.028590790000265504,0.11702674229679969,0.1795902861891835,0.7416257446194898,0.5259790250658986,0.905068369507789,1.3782501065731039,-6.474410915374756,0.19668433837592586,0.43137699559330905,0.5815868690609929,-0.3585376977920532
