layers,activation,batch_size,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,0.09506,0.051244,0.327541,0.273014,0.464765,0.375291,-0.431759,0.358081
[16],relu,64,0.108441,0.058152,0.3367,0.281657,0.47866,0.385868,-0.626128,0.288602
[16],prelu,32,0.097141,0.05079,0.332259,0.274803,0.471956,0.376147,-0.449648,0.405116
[16],prelu,64,0.103134,0.056431,0.333811,0.279661,0.472736,0.383036,-0.538676,0.289176
[32],relu,32,0.098594,0.063891,0.320876,0.270082,0.451659,0.370644,-0.224758,0.405384
[32],relu,64,0.09293,0.062369,0.315256,0.270348,0.444725,0.372148,-0.143971,0.404241
[32],prelu,32,0.130902,0.065877,0.343863,0.272821,0.48716,0.375139,-0.779994,0.399964
[32],prelu,64,0.098979,0.060544,0.321502,0.265966,0.45313,0.366833,-0.242022,0.453066
[64],relu,32,0.121887,0.081139,0.322154,0.264424,0.451014,0.364278,-0.263976,0.46918
[64],relu,64,0.123511,0.084713,0.320444,0.264973,0.449847,0.365026,-0.231686,0.468719
[64],prelu,32,0.113585,0.078751,0.31682,0.266908,0.444693,0.367116,-0.177427,0.442112
[64],prelu,64,0.119802,0.079598,0.321833,0.26914,0.452558,0.369744,-0.301184,0.429714
"[32, 16]",relu,32,0.135676,0.088309,0.335061,0.273583,0.465868,0.378123,-0.47128,0.387761
"[32, 16]",relu,64,0.119878,0.082487,0.327755,0.270542,0.453782,0.376349,-0.23553,0.435141
"[32, 16]",prelu,32,0.152485,0.095644,0.350377,0.280395,0.484714,0.386548,-0.679061,0.354933
"[32, 16]",prelu,64,0.124606,0.0856,0.325893,0.269235,0.454949,0.374978,-0.267347,0.434611
"[64, 32, 16]",relu,32,0.18871,0.147563,0.333008,0.279592,0.459997,0.386385,-0.321944,0.399136
"[64, 32, 16]",relu,64,0.176928,0.143055,0.325047,0.277883,0.449181,0.385381,-0.187836,0.397061
"[64, 32, 16]",prelu,32,0.166929,0.134734,0.320782,0.279234,0.444186,0.385515,-0.177379,0.38755
"[64, 32, 16]",prelu,64,0.189311,0.149094,0.331745,0.278204,0.458394,0.384881,-0.299846,0.398341
