layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,289,0.0268166966177522,0.2560342022776602,0.5128338098526001,0.3554935869574544,0.0257349973078816,0.2506478924304245,0.531408166885376,0.3472346900403497,2.031250096479198e-05
[16],relu,64,267,0.0268538525886833,0.255969279706478,0.5120698690414429,0.3556835217773912,0.0257502569258212,0.2507506804913281,0.5313936233520508,0.3472585140168664,4.3750002078013495e-05
[16],prelu,32,287,0.0266371863707899,0.2559449569135902,0.5158439993858337,0.3544005209207532,0.025689641656354,0.2513952969759701,0.5317959785461426,0.3470827203989026,2.8125001335865815e-05
[16],prelu,64,299,0.0266265280172228,0.2563655073940752,0.5161301851272583,0.3542676196992395,0.025538078341633,0.2504225457459686,0.5346145868301392,0.3459736013412473,1.875000089057721e-05
[32],relu,32,244,0.0263197478372603,0.2539624974876641,0.5215858578681946,0.3522921046614645,0.0256317061558365,0.2505177799612282,0.5327044486999511,0.3467197524011133,5.625000267173164e-05
[32],relu,64,285,0.0262970992177724,0.2550784388184546,0.5219678044319153,0.3521248236298558,0.0255543362349271,0.2502203243225811,0.5342255711555481,0.3461749106645582,2.1875001039006747e-05
[32],prelu,32,264,0.0262122410722076,0.2538037287443874,0.5237768650054931,0.3514942485094068,0.0255503016617148,0.2508537763357161,0.5343158721923829,0.346091783493757,5.0000002374872565e-05
[32],prelu,64,286,0.0262630722671747,0.2533269259333609,0.522562563419342,0.3518952344357965,0.0255801276396959,0.2507078067958354,0.5334929943084716,0.3463856184482572,2.5000001187436283e-05
[64],relu,32,281,0.0259400437586009,0.2522852977365253,0.5288384437561036,0.3495899188518522,0.0256122469063848,0.2508578132838009,0.5331917405128479,0.3464910054206845,2.8125001335865815e-05
[64],relu,64,291,0.0259129063412546,0.2533144649118183,0.5289687156677246,0.3495451189577577,0.0255834529455751,0.2508178294450043,0.533363652229309,0.3464279496669767,2.5000001187436283e-05
[64],prelu,32,295,0.0259807420335709,0.2531814300268887,0.5278274893760682,0.3499510610103605,0.0255513055995106,0.2509220234304664,0.5340126872062683,0.3461835835874078,1.5625000742147677e-05
[64],prelu,64,239,0.0259382361546158,0.2528009589761494,0.5288056135177612,0.3496054618060586,0.0256055637542158,0.2507591588050125,0.5333598971366882,0.3464544615149496,6.875000326544978e-05
"[32, 16]",relu,32,275,0.0269306704401969,0.2565082050114868,0.5134658813476562,0.355259656012058,0.0260055365506559,0.251121793463826,0.5283234477043152,0.3481910671293733,4.3750002078013495e-05
"[32, 16]",relu,64,273,0.0266616893559694,0.2551157438755034,0.5194626450538635,0.3530629169940946,0.02595970897004,0.2512692604213951,0.5298370361328125,0.3475618067383764,5.0000002374872565e-05
"[32, 16]",prelu,32,299,0.0267437450960278,0.2555560180544851,0.5181893229484558,0.3535534796118734,0.0258840552903711,0.2506127700954674,0.5320177793502807,0.3468663837015626,3.437500163272489e-05
"[32, 16]",prelu,64,298,0.026983533212915,0.2568819929659365,0.5127199649810791,0.3555064408481119,0.0257822980731725,0.2510367602854965,0.5330722808837891,0.3465077427029607,2.5000001187436283e-05
"[64, 32, 16]",relu,32,259,0.026852704482153,0.254188294559717,0.521396279335022,0.3523703727126119,0.0265830962546169,0.2535533975064752,0.5234919905662536,0.3498923783004282,6.875000326544978e-05
"[64, 32, 16]",relu,64,263,0.0269140539411455,0.2543920180201529,0.5195012331008911,0.353012693673372,0.0263322181813418,0.2524086000025271,0.5280301213264466,0.3483072993159292,5.625000267173164e-05
"[64, 32, 16]",prelu,32,266,0.0267239085771143,0.2541009578853844,0.5219516277313232,0.3521621686220166,0.0262388481292873,0.2517086914926766,0.5289221167564392,0.3480059008300302,5.625000267173164e-05
"[64, 32, 16]",prelu,64,279,0.0267317458055913,0.2541823157668111,0.5219417095184327,0.3521040377020833,0.0262378031294792,0.251571182310581,0.5292126893997192,0.3478950247168538,6.562500311702024e-05
