layers,activation,batch_size,epoch,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,218,0.027391,0.025714,0.257404,0.250909,0.359111,0.346918,0.50281,0.532341
[16],relu,64,268,0.027328,0.025741,0.257266,0.250555,0.358855,0.347195,0.503493,0.531578
[16],prelu,32,237,0.027381,0.025671,0.259308,0.251157,0.35932,0.34687,0.502258,0.532331
[16],prelu,64,275,0.026689,0.025528,0.256601,0.250439,0.354716,0.345889,0.514915,0.534849
[32],relu,32,257,0.026636,0.025611,0.255267,0.250718,0.354444,0.346598,0.515693,0.533002
[32],relu,64,266,0.026693,0.025533,0.255273,0.249857,0.354765,0.346016,0.514851,0.534633
[32],prelu,32,257,0.026547,0.025525,0.255237,0.250475,0.35374,0.345917,0.517621,0.534814
[32],prelu,64,271,0.026658,0.025553,0.255157,0.250726,0.354592,0.346202,0.515313,0.533997
[64],relu,32,269,0.026351,0.025585,0.254532,0.250528,0.352375,0.346291,0.521286,0.533743
[64],relu,64,231,0.02645,0.025551,0.254618,0.250431,0.353072,0.346116,0.51938,0.534216
[64],prelu,32,266,0.026325,0.025523,0.254197,0.250465,0.352295,0.345968,0.521519,0.534573
[64],prelu,64,250,0.026298,0.025572,0.254347,0.250558,0.352095,0.34627,0.521972,0.533829
"[32, 16]",relu,32,293,0.02724,0.025946,0.25764,0.251054,0.357374,0.347859,0.507748,0.529217
"[32, 16]",relu,64,250,0.027116,0.025929,0.257017,0.250766,0.35597,0.347129,0.511391,0.531218
"[32, 16]",prelu,32,298,0.027009,0.025872,0.256599,0.250569,0.355351,0.346765,0.513245,0.532312
"[32, 16]",prelu,64,278,0.027359,0.025773,0.258107,0.25097,0.357982,0.34643,0.505808,0.53322
"[64, 32, 16]",relu,32,256,0.027635,0.026464,0.257774,0.254092,0.357593,0.34906,0.50716,0.525745
"[64, 32, 16]",relu,64,263,0.026914,0.026332,0.254392,0.252409,0.353013,0.348307,0.519501,0.52803
"[64, 32, 16]",prelu,32,271,0.027023,0.026179,0.256097,0.252051,0.354161,0.347585,0.51646,0.530018
"[64, 32, 16]",prelu,64,277,0.027352,0.026152,0.256977,0.251724,0.356212,0.347313,0.510834,0.530769
