layers,activation,batch_size,duration
[16],relu,32,616.7705278396606
[16],relu,64,584.9451293945312
[16],prelu,32,674.7588994503021
[16],prelu,64,548.5429213047028
[32],relu,32,565.0171360969543
[32],relu,64,560.0474345684052
[32],prelu,32,569.100264787674
[32],prelu,64,575.6051893234253
[64],relu,32,657.9558119773865
[64],relu,64,670.17254114151
[64],prelu,32,693.2482063770294
[64],prelu,64,608.2979459762573
"[32, 16]",relu,32,628.9153048992157
"[32, 16]",relu,64,630.2821106910706
"[32, 16]",prelu,32,642.807669878006
"[32, 16]",prelu,64,679.8837115764618
"[64, 32, 16]",relu,32,762.4700481891632
"[64, 32, 16]",relu,64,854.9679081439972
"[64, 32, 16]",prelu,32,727.0652978420258
"[64, 32, 16]",prelu,64,763.4502761363983
