layers,activation,batch_size,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[64],prelu,32,1.5932429015636433,1.407064551115035,-15.781579971313477,2.10364135801792,0.6051550552248951,0.43501486778259246,-0.2440037727355957,0.5903516814112659,0.0010000000474974513
[64],prelu,32,0.8985899463295931,0.9176013171672815,-5.752286911010742,1.33438377380371,0.48588663190603226,0.31094597801566104,0.3742666244506836,0.4186919555068013,0.0010000000474974513
[64],prelu,32,0.6609464332461352,0.7075138315558429,-3.122410774230957,1.0426316842436782,0.41008581891655893,0.30245854035019853,0.4127640724182129,0.40560774579644177,0.0010000000474974513
[64],prelu,32,0.4778085373342034,0.5376876756548878,-1.2702507972717285,0.7737349525094027,0.34723369702696777,0.3243476152420042,0.37059521675109863,0.41991847902536367,0.0010000000474974513
[64],prelu,32,0.36770991832017874,0.4357800833880898,-0.48069095611572266,0.6248668938875194,0.2832347609102724,0.2767496667802332,0.46832603216171265,0.38594255372881864,0.0010000000474974513
[64],prelu,32,0.2852837510406969,0.369624927639961,-0.009215354919433594,0.5158782459795471,0.23279987610876546,0.2765380591154097,0.4839228391647339,0.3802395269274709,0.0010000000474974513
[64],prelu,32,0.22301222868263706,0.32002191245555855,0.26427966356277466,0.4404652789235112,0.1901042893528937,0.2727641381323336,0.5005302429199219,0.3740714438259599,0.0010000000474974513
[64],prelu,32,0.17792542725801455,0.29429583474993687,0.37982290983200073,0.404401886463165,0.15617267191410053,0.2731246240437029,0.4925159811973572,0.37706060633063293,0.0010000000474974513
[64],prelu,32,0.14373465850949277,0.2820615798234938,0.4280390739440918,0.3883635632693765,0.12752408571541302,0.2669239427894352,0.5007295608520508,0.37399679645895934,0.0010000000474974513
[64],prelu,32,0.11609668713062994,0.27363072037696823,0.4660496711730957,0.3752370640635488,0.104751937277615,0.2679114665836094,0.5033061504364014,0.37303048148751233,0.0010000000474974513
[64],prelu,32,0.09522480275481933,0.2692929394543169,0.47687792778015137,0.37141274809837316,0.08756681587547058,0.2665420878678558,0.4919803738594055,0.377259527146816,0.0010000000474974513
[64],prelu,32,0.07829117570072407,0.2652632150799034,0.49351072311401367,0.36546046957373596,0.07433484923094506,0.2663167361170052,0.47968804836273193,0.3817964211106298,0.0010000000474974513
[64],prelu,32,0.06555799683555956,0.26355918869376166,0.49903160333633423,0.36346322000026676,0.06288548093289133,0.2650296296924351,0.4892883896827698,0.37825771942734693,0.0010000000474974513
[64],prelu,32,0.055732056591659744,0.2622333489358423,0.5048543810844421,0.36134477257728553,0.055649151559919084,0.26604350432753543,0.4743093252182007,0.38376474082469914,0.0010000000474974513
[64],prelu,32,0.04824512992054221,0.26079400032758693,0.510767936706543,0.3591804794967172,0.04802771946415302,0.2663085024803875,0.4973633289337158,0.3752554856240747,0.0010000000474974513
[64],prelu,32,0.04260871307924387,0.25776954852044565,0.5162508487701416,0.35716211721301055,0.044974285736680004,0.2657740529626606,0.47462743520736694,0.3836486369371412,0.0010000000474974513
[64],prelu,32,0.03872439088299868,0.2579476289451121,0.5164899826049805,0.35707382187247255,0.040501554869115323,0.2634402494877575,0.49329107999801636,0.3767725251615045,0.0010000000474974513
[64],prelu,32,0.035896156728267646,0.25640002563595754,0.5174703598022461,0.3567116379737852,0.03931899080052969,0.2644109055399893,0.4757225513458252,0.3832485526800153,0.0010000000474974513
[64],prelu,32,0.03397101154550908,0.25690661855041963,0.5170336961746216,0.3568730428814886,0.03615532005205748,0.2628119621425865,0.49956387281417847,0.3744331471621988,0.0010000000474974513
[64],prelu,32,0.03211760031990705,0.25549927540123446,0.5255732536315918,0.3537039257586,0.03584298249334095,0.26209451444447024,0.4874309301376343,0.37894498780369734,0.0010000000474974513
[64],prelu,32,0.03130579818971453,0.25525160953402504,0.5237987041473389,0.35436482727527596,0.034464104659855346,0.2614402607083319,0.49711769819259644,0.37534714490175225,0.0010000000474974513
[64],prelu,32,0.030432057566940764,0.2547435909509657,0.527866780757904,0.352847947925329,0.035056526027619814,0.26276236809790116,0.4800211191177368,0.38167419806122754,0.0010000000474974513
[64],prelu,32,0.030445240996777992,0.25600875169038756,0.52083420753479,0.35546611621975877,0.03622791301459072,0.2659095875918863,0.45723575353622437,0.3899470165371892,0.0010000000474974513
[64],prelu,32,0.03000756874680517,0.25542485229670986,0.5238217115402222,0.3543562412261961,0.033577136555686574,0.26171970777213555,0.4950191378593445,0.37612950056791283,0.0010000000474974513
[64],prelu,32,0.02994128717109559,0.2552171211689709,0.5224243402481079,0.3548757933080194,0.03276547058485446,0.26148222982883434,0.5058543682098389,0.37207236811518646,0.0010000000474974513
[64],prelu,32,0.029780154582113007,0.2549389395862816,0.5235521793365479,0.3544565185904501,0.036078406032174805,0.26793307587504367,0.4533626437187195,0.3913358420133588,0.0010000000474974513
[64],prelu,32,0.029509465768933277,0.25528717115521415,0.5271289348602295,0.35312350243329976,0.03446849379688499,0.2640788849443195,0.4777686595916748,0.3824999645352361,0.0010000000474974513
[64],prelu,32,0.029640088649466614,0.2554352484643458,0.5244284868240356,0.3541304089128969,0.03327992470003662,0.2610828343778847,0.4956313371658325,0.3759014576673505,0.0010000000474974513
[64],prelu,32,0.029618563456460814,0.25578330382704717,0.5242668390274048,0.35419057533144926,0.036014363076537825,0.2668056603521107,0.4530676603317261,0.3914414055645463,0.0010000000474974513
[64],prelu,32,0.029688499309122544,0.2554658763110636,0.5227382183074951,0.35475917682051633,0.03328355094417927,0.26312810815870746,0.4947301745414734,0.3762371145188806,0.0010000000474974513
[64],prelu,32,0.029779129382222873,0.25652418695390206,0.5209640860557556,0.3554179318249223,0.03689754474908111,0.26897932440042477,0.4393385052680969,0.396323952078819,0.0010000000474974513
[64],prelu,32,0.029438761016353947,0.25484569445252403,0.5265398621559143,0.3533434078097341,0.033997858967632036,0.2631167668849228,0.4837700128555298,0.3802958168089387,0.0010000000474974513
[64],prelu,32,0.029501528479158858,0.2550938729196785,0.5253631472587585,0.3537822254002092,0.03622637521475551,0.267385074496269,0.44929128885269165,0.39279044046997996,0.0010000000474974513
[64],prelu,32,0.029584379447624067,0.2554796684533356,0.5237635374069214,0.35437786653637865,0.03363775750622151,0.26293806172907336,0.4887973666191101,0.37843953222036336,0.0010000000474974513
[64],prelu,32,0.029619582649320346,0.25498324744403345,0.5229508876800537,0.35468010827898955,0.03378316769376395,0.26286323815584167,0.48654770851135254,0.37927132174372646,0.0010000000474974513
[64],prelu,32,0.02933669355697928,0.25463210046291335,0.5274628400802612,0.3529988445341585,0.03292271061800418,0.2625154230743645,0.4996793270111084,0.3743899285793302,0.0010000000474974513
[64],prelu,32,0.029548227135092,0.25570333823561653,0.5239475965499878,0.35430940240621545,0.03686548722907898,0.26978356167674045,0.43883711099624634,0.39650115147232984,0.0010000000474974513
[64],prelu,32,0.02945159603841601,0.25512161739170536,0.5253821611404419,0.3537751451134679,0.03623940246179697,0.26985212191939334,0.44841378927230835,0.3931032866239545,0.0010000000474974513
[64],prelu,32,0.029453271999955156,0.25532489530742153,0.5253180265426636,0.3537990771234033,0.035651442315429424,0.2669568933546541,0.45751285552978516,0.3898474439978597,0.0010000000474974513
[64],prelu,32,0.02965757311321793,0.2555162232369183,0.5219292044639587,0.35505972057580926,0.03331896839663384,0.26427586749196036,0.49334460496902466,0.37675262987613656,0.0010000000474974513
[64],prelu,32,0.029505873564630726,0.25572635717689973,0.5243363976478577,0.3541646890342233,0.03419818943366406,0.26476085111498815,0.4797770380973816,0.3817637749016282,0.0010000000474974513
[64],prelu,32,0.029241061629727463,0.25459649078547936,0.5285298228263855,0.35260007381439185,0.03343023061752317,0.26319530680775627,0.491449236869812,0.3774566859006879,0.0010000000474974513
[64],prelu,32,0.02928866334259508,0.2542945694178341,0.5277419090270996,0.3528945945203302,0.034194308891892414,0.26502272561192497,0.4796344041824341,0.3818160921335218,0.0010000000474974513
[64],prelu,32,0.02920050215907393,0.25449949726462345,0.5290486812591553,0.3524060226976869,0.03287228359840808,0.26099401041865333,0.5000004768371582,0.3742697879672048,0.0010000000474974513
[64],prelu,32,0.029415451735258082,0.25497913062572464,0.5254579782485962,0.3537469200789926,0.032388251088559604,0.26302232034504397,0.5072299242019653,0.3715541295707223,0.0010000000474974513
[64],prelu,32,0.029604735272005182,0.25554199740290623,0.5223115682601929,0.35491769835352877,0.0340071218088269,0.263613075762987,0.48228979110717773,0.3808406785130498,0.0010000000474974513
[64],prelu,32,0.029174471693113428,0.25429080501198753,0.5292822122573853,0.35231862440705275,0.0331419712398201,0.26370196379721145,0.4956594705581665,0.3758909493684766,0.0010000000474974513
[64],prelu,32,0.029549624770879725,0.2554419763386248,0.523166298866272,0.3546000465750692,0.03366498136892913,0.2638856988400219,0.487527072429657,0.3789094261825082,0.0010000000474974513
[64],prelu,32,0.029292375687509756,0.25471376404166207,0.5272845029830933,0.3530654504895208,0.03416125820949671,0.26455207876861075,0.4799283742904663,0.38170822188258147,0.0010000000474974513
[64],prelu,32,0.029378876928240042,0.2548186227679251,0.5258849263191223,0.3535877257585523,0.03508190372958777,0.2656262159347532,0.46564018726348877,0.3869161412119863,0.0010000000474974513
[64],prelu,32,0.029451373778283576,0.2557721707969902,0.5247159004211426,0.3540233716368673,0.03364020036533473,0.2638321962207554,0.4878869652748108,0.37877637445926643,0.0010000000474974513
[64],prelu,32,0.02944249138236044,0.255139798671007,0.5247422456741333,0.35401356816291785,0.033149946574121694,0.2642625879496334,0.4953267574310303,0.37601493448019,0.0010000000474974513
[64],prelu,32,0.029208984086289982,0.2542523760348557,0.5286082029342651,0.35257079154252985,0.032194568403065185,0.26103565916419014,0.5103096961975098,0.3703912645578382,0.0005000000237487257
[64],prelu,32,0.029121301462873797,0.2542991347610949,0.5298736095428467,0.3520972132682798,0.03221699264831839,0.26087915599346145,0.5097519159317017,0.37060213536024067,0.0005000000237487257
[64],prelu,32,0.02900382196530698,0.25395497195422634,0.5317550897598267,0.35139197185635546,0.0323280786629766,0.26085610501468165,0.5079903602600098,0.3712673299014566,0.0005000000237487257
[64],prelu,32,0.02927577826194463,0.2547403231263159,0.5272247791290283,0.35308774858713127,0.03184508536942301,0.26105233468115313,0.5153408050537109,0.36848359182476975,0.0005000000237487257
[64],prelu,32,0.029253656370565276,0.25409226864576323,0.5275461673736572,0.35296770408749556,0.03253018520772455,0.26079158149659615,0.5047670602798462,0.3724815189838407,0.0005000000237487257
[64],prelu,32,0.029130131797865014,0.2541814930737017,0.5294841527938843,0.35224304795265177,0.03256119550205765,0.2611603330820797,0.5042216777801514,0.37268655896186803,0.0005000000237487257
[64],prelu,32,0.029091614717617613,0.2537891298532484,0.5300615429878235,0.35202685892581914,0.031650809990242106,0.26162542141973955,0.5183171033859253,0.367350425571203,0.0005000000237487257
[64],prelu,32,0.029282075632363538,0.25449336208403095,0.5269529819488525,0.3531892433762548,0.032402207423001504,0.26120108477771264,0.5066328048706055,0.3717792250216005,0.0005000000237487257
[64],prelu,32,0.02867004331201313,0.25311195328831654,0.5368629693984985,0.34947010651230787,0.03175971745513378,0.26067550964653474,0.5165309906005859,0.36803090199828126,0.0005000000237487257
[64],prelu,32,0.028996815765276532,0.25340709872543793,0.5315090417861938,0.3514842718839643,0.031764599168673135,0.26050404496490936,0.5163708925247192,0.3680918373167512,0.0005000000237487257
[64],prelu,32,0.029085823940113168,0.2541982647031544,0.5299962162971497,0.3520513355731962,0.0320253243204206,0.260378986597061,0.5123640894889832,0.36961345821619007,0.0005000000237487257
[64],prelu,32,0.029144388483837227,0.25441233925521356,0.5290312170982361,0.35241255834698654,0.032240484142675975,0.26064895056188087,0.508957028388977,0.3709024548530576,0.0005000000237487257
[64],prelu,32,0.029304776201024632,0.2544981997460125,0.5263158082962036,0.3534270256757734,0.03206490464508532,0.2605742391198872,0.5116263031959534,0.36989298537373516,0.0005000000237487257
[64],prelu,32,0.029085851972922662,0.2538131900131701,0.5299023985862732,0.35208644866943334,0.031694561196491104,0.2635271992534397,0.5172712802886963,0.36774903610348675,0.0005000000237487257
[64],prelu,32,0.02905525015667079,0.2541237294673918,0.5303177237510681,0.3519308745861051,0.032333374861627795,0.2605941504240034,0.5074511170387268,0.3714707680046556,0.0005000000237487257
[64],prelu,32,0.029342524381354432,0.2546192213892935,0.5256128311157227,0.3536891885101793,0.0325995684135705,0.2605481605976818,0.5032789707183838,0.37304070144891716,0.0005000000237487257
[64],prelu,32,0.028982206666842085,0.25341501198708993,0.5314079523086548,0.3515222042798994,0.03239474669098852,0.26052363589405997,0.5064800977706909,0.37183673232793785,0.0005000000237487257
