layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,1,1.8877822020649897,1.790241852402686,-27.246454429626464,2.6696437346935253,0.24816831447184068,0.508960575163364,-0.913889217376709,0.702022418826818,0.0010000000474974513
[16],relu,32,2,0.6088806508481499,0.9417291146516794,-6.881939029693603,1.432301781475543,0.1836581367999314,0.3867756119370458,-0.13520876169204712,0.5429424978792664,0.0010000000474974513
[16],relu,32,3,0.383594169989228,0.7017789146304125,-3.481101131439209,1.077565754950046,0.1424961593747138,0.3203140303492544,0.2975301742553711,0.43115333706140485,0.0010000000474974513
[16],relu,32,4,0.2691112612187861,0.5609093309938904,-1.8453020572662353,0.8565128466486925,0.12535005483776324,0.30267478063702563,0.3744871377944946,0.4076465992629525,0.0010000000474974513
[16],relu,32,5,0.2016788537800311,0.4732643772661683,-0.9460581541061401,0.709014397412538,0.11258317332714789,0.29335067734122255,0.40320481061935426,0.3985007846355436,0.0010000000474974513
[16],relu,32,6,0.15951420363038765,0.41225044518709153,-0.4330484509468079,0.6097483736276622,0.1006142529472708,0.2820924191176889,0.4383778214454651,0.38644967526197405,0.0010000000474974513
[16],relu,32,7,0.13129577208310356,0.37217622086405727,-0.12594906091690064,0.5425182573497291,0.09079656396061177,0.27626405842602236,0.45794652700424193,0.3796034672856328,0.0010000000474974513
[16],relu,32,8,0.10855717170983545,0.3394361868500707,0.11095114946365356,0.48433466508984535,0.08164813587442035,0.2670350328087805,0.48310136795043945,0.37072478771209694,0.0010000000474974513
[16],relu,32,9,0.09447733912616962,0.32007986828684787,0.22287217378616334,0.4532717619836328,0.07436452956870193,0.2634703775495289,0.49212294816970825,0.36754607856273624,0.0010000000474974513
[16],relu,32,10,0.08292389782145614,0.30469789728522284,0.3068974733352661,0.4290409639477727,0.06812578216195102,0.2612076108157633,0.49668105840682986,0.3657994903624055,0.0010000000474974513
[16],relu,32,11,0.07344124415889378,0.29335459873080233,0.36947336196899416,0.4096954420208928,0.06333978785201903,0.25990124344825727,0.48847781419754027,0.3686609770357606,0.0010000000474974513
[16],relu,32,12,0.06615916524082419,0.28465984001755695,0.40681191682815554,0.3976198816299436,0.05771992959082123,0.25721687287092193,0.5039467215538025,0.3630813074111936,0.0010000000474974513
[16],relu,32,13,0.05990124899893995,0.278146245330572,0.43670904636383057,0.38757598549127553,0.053430938571691476,0.25577316395938376,0.5066011428833008,0.3621947017312047,0.0010000000474974513
[16],relu,32,14,0.05451605819165704,0.2728950433433054,0.46081621646881105,0.37930724218487716,0.049572774190455644,0.25441092319786535,0.5102566123008728,0.36101041004061674,0.0010000000474974513
[16],relu,32,15,0.05040261102840301,0.26877352192997916,0.47205686569213867,0.3753834497928617,0.046547355651855436,0.2549070943146942,0.5068050384521484,0.3619168277084825,0.0010000000474974513
[16],relu,32,16,0.04670864602550861,0.2665649626404045,0.4834377408027649,0.37133411526679966,0.043388184970244735,0.25354563847184164,0.5134429693222046,0.35974041804671264,0.0010000000474974513
[16],relu,32,17,0.044081994201987953,0.26554287359118445,0.4839272379875183,0.37114309489726993,0.04082041245885191,0.2533355205506085,0.5157942414283753,0.35864913761615724,0.0010000000474974513
[16],relu,32,18,0.04141335003077981,0.26390314966440187,0.49087369441986084,0.36866366177797294,0.03854212716221807,0.2524421165138481,0.5197581052780151,0.3575032781064508,0.0010000000474974513
[16],relu,32,19,0.0390123875532299,0.2623701394349335,0.4988423943519592,0.365763736516237,0.03675236883573232,0.2529069549590347,0.5202320337295532,0.35716999202966665,0.0010000000474974513
[16],relu,32,20,0.037466140231117585,0.2620088141411541,0.49779543876647947,0.36615472212433786,0.03598263634368774,0.25481222808361037,0.5076753973960877,0.36104981616139387,0.0010000000474974513
[16],relu,32,21,0.03578946826048193,0.26097401261329634,0.5030488729476928,0.3642303706705568,0.03380305216647682,0.2519164741039274,0.5245750665664672,0.3556983624398706,0.0010000000474974513
[16],relu,32,22,0.03482517805881796,0.2613560437411068,0.5008023858070374,0.3650567330420015,0.033012393182143544,0.2521723383665083,0.5208003401756287,0.3569149927794931,0.0010000000474974513
[16],relu,32,23,0.033993105804547646,0.26133207969367483,0.49996042251586914,0.36535705894231774,0.032871865509077884,0.2531136128306387,0.5098217964172364,0.3607922731339929,0.0010000000474974513
[16],relu,32,24,0.03296185282990334,0.26011437930166703,0.5051113128662109,0.36348133400082566,0.031805156636983134,0.252638323754072,0.5175649046897888,0.35821840628981566,0.0010000000474974513
[16],relu,32,25,0.03247814910486339,0.2604476621747015,0.5043495059013366,0.36375990003347375,0.031249780226498824,0.25321950636804086,0.519348680973053,0.3575571587681768,0.0010000000474974513
[16],relu,32,26,0.03197896966710685,0.260242250561714,0.5060391068458557,0.3631520590186117,0.03108493569307027,0.2534037315845488,0.5159062147140503,0.35851316407322864,0.0010000000474974513
[16],relu,32,27,0.03156568516045807,0.2599778354912995,0.5080894947052002,0.36238579899072626,0.030623646602034548,0.2526531090587376,0.5202640652656555,0.35722453907132123,0.0010000000474974513
[16],relu,32,28,0.03137386865913866,0.26003763347864134,0.5080551505088806,0.3624046242237089,0.03075919444672761,0.2540760833024977,0.5152718663215637,0.3589872549474237,0.0010000000474974513
[16],relu,32,29,0.031282563395798185,0.259655461385846,0.5073870420455933,0.36264912158250784,0.030640176348388178,0.25290220379829387,0.515332555770874,0.3590374769270418,0.0010000000474974513
[16],relu,32,30,0.03134039828553794,0.26012276031076886,0.5050536751747131,0.36350729718804337,0.0300112386420369,0.25305040605366214,0.5247376322746277,0.3555943174660204,0.0010000000474974513
