layers,activation,batch_size,df,statistic,p_value
[16],relu,32,4,383.93657111371095,0.0006483029332705763
[16],relu,64,4,279.3063848438502,0.787072857095513
[16],prelu,32,4,245.37021336175894,0.9896169169268408
[16],prelu,64,4,332.53632949244235,0.08846576398316613
[32],relu,32,4,279.76227922689407,0.7813640772429653
[32],relu,64,4,350.2309195092857,0.022060994399165895
[32],prelu,32,4,409.6870139404955,2.1511161367314094e-05
[32],prelu,64,4,342.5662852683195,0.04193474231266151
[64],relu,32,4,305.21031069867325,0.38995328900848714
[64],relu,64,4,347.0270054987847,0.029072308208013785
[64],prelu,32,4,307.89044992188224,0.349298540291596
[64],prelu,64,4,370.2659132515517,0.0030984788963207065
"[32, 16]",relu,32,4,434.2827058811781,4.975571440432791e-07
"[32, 16]",relu,64,4,311.19676038700396,0.30177135084012774
"[32, 16]",prelu,32,4,452.92897008663545,2.11196360515042e-08
"[32, 16]",prelu,64,4,352.54559752683576,0.017953845160156825
"[64, 32, 16]",relu,32,4,412.38710295959953,1.4565231236060898e-05
"[64, 32, 16]",relu,64,4,418.79951389824015,5.633892923753796e-06
"[64, 32, 16]",prelu,32,4,424.70272393065125,2.2828021068097108e-06
"[64, 32, 16]",prelu,64,4,428.4557846989239,1.2673439701285703e-06
