layers,activation,batch_size,epoch,loss,mae,root_mean_squared_error,r2_score,val_loss,val_mae,val_root_mean_squared_error,val_r2_score,loss_mean,mae_mean,root_mean_squared_error_mean,r2_score_mean,val_loss_mean,val_mae_mean,val_root_mean_squared_error_mean,val_r2_score_mean
[16],prelu,32,1,0.7055270108250976,0.43648145539957606,0.5943527309682055,11.594854361866373,0.02284677207163805,0.09955769572910117,0.12139019171342769,0.7492608974355942,1.6279643201827994,1.6620128232240667,2.484208910465239,-23.16931495666504,0.24333265483379346,0.5421232798695561,0.7139743465185161,-0.9810232639312744
[16],prelu,32,2,0.11761608427458733,0.16918801153282778,0.20117788897662534,2.0945506585548923,0.015781115145417114,0.09172267997126593,0.11430535552026129,0.5663555593203928,0.6231133663654324,0.9880238866806023,1.464534181356429,-7.1408082962036135,0.1881718131899832,0.420373783111572,0.5653563149273392,-0.25453193187713624
[16],prelu,32,3,0.07868885421639293,0.13863272279296535,0.18240045088567247,1.4690830969647581,0.015535688608637395,0.04679939814187644,0.04926991991696591,0.1804654085423774,0.4094490352272985,0.7605275073647494,1.1303889870643609,-3.8763068675994874,0.14360694423317896,0.3197286860644815,0.42701891735196085,0.3058027029037475
[16],prelu,32,4,0.058895254643235355,0.1127344736869398,0.1621701765956256,1.0629860548822965,0.01683213437373854,0.02907638685095953,0.025672058766568206,0.09289513891420544,0.29327327795326685,0.6144900384545322,0.9106597656011575,-2.180354285240173,0.12820170439779746,0.30179804891347867,0.40304743081331224,0.3874236345291137
[16],prelu,32,5,0.03619745918318432,0.08376557702987043,0.11803731216265065,0.6413789710832168,0.015864809741888596,0.02221269562296145,0.01804988155471516,0.06766848331877227,0.2149235585331915,0.5046979798376556,0.7390088436007496,-1.0854079246520996,0.11552550822496399,0.287512032613158,0.38855701208114596,0.431760573387146
[16],prelu,32,6,0.026541478119922152,0.06652822990051825,0.09550747296881033,0.4418291429500482,0.014045300246140688,0.024707895045955046,0.01874814612312061,0.06837996916736584,0.16863136872649181,0.43589020907878845,0.6265471772849556,-0.4965374946594238,0.10510845053941001,0.2811031717061995,0.3828276120126245,0.44827693700790405
[16],prelu,32,7,0.0189886459440127,0.04880611294193233,0.07320554127308106,0.2947325647319255,0.012276197890684954,0.02302818334922275,0.016374989694319463,0.06421466061048098,0.1386827105283736,0.3901936091482637,0.5530437731742854,-0.16062121391296386,0.09541562769561995,0.27648734375834444,0.3775726936757562,0.4633202195167542
[16],prelu,32,8,0.01578379229452945,0.0358228392420886,0.05253827796779402,0.19234536899285168,0.01296466705884658,0.005398881600896466,0.009831812665657623,0.023954992131996988,0.11553280156105745,0.352899150252342,0.49456084176897963,0.07603917121887208,0.08562927458435288,0.26354167699813824,0.36801788836717575,0.4919193148612976
[16],prelu,32,9,0.013273246108439756,0.02810932576429897,0.03957811704588185,0.13576350780017574,0.011879332852338465,0.004675255914028374,0.011435025837748851,0.021672421729463574,0.09965482123196115,0.3309151418507097,0.4590119907259938,0.2063412070274353,0.0777520783431827,0.2619995873421429,0.3654020972549913,0.4992835521697998
[16],prelu,32,10,0.010796250043326608,0.020682587194053866,0.029409078563445223,0.093949085688529,0.010237791915134613,0.006286517749680908,0.009350109301717804,0.01683865164174005,0.0866461206972598,0.31082883611321427,0.4310806888341901,0.3015300750732422,0.07068536268547168,0.2594555794447658,0.3635927668213842,0.5042497277259826
[16],prelu,32,11,0.009351989481054167,0.01538680334792613,0.021871992530529676,0.06719177500952393,0.00865224010456321,0.008460223520033547,0.010038548184573478,0.022499740569801075,0.07644707256928077,0.298447862267494,0.41212351262569397,0.36246180534362793,0.06475685117766253,0.2594250092655418,0.3644134201109407,0.5018733978271485
[16],prelu,32,12,0.007998296147245896,0.011879908904536928,0.01617510356406574,0.04823645261094729,0.007057325402229807,0.0062934240532905176,0.009734638882405808,0.025859469625845413,0.06799655811861147,0.28828148037195184,0.3978845305740831,0.4062548041343689,0.058661074303090456,0.2596378087252377,0.36020496174693084,0.5131423711776734
[16],prelu,32,13,0.006203406336031804,0.008120360450900983,0.009418901803229067,0.027575434088475546,0.00585138368043155,0.00743928570749489,0.010794806948981944,0.02823166075404113,0.061068770661950024,0.28054106101393683,0.387852167934179,0.4362736701965332,0.05385523276403538,0.2566923581808803,0.359806024432182,0.5141796588897705
[16],prelu,32,14,0.004665784597117145,0.006515703092701797,0.006970554101186424,0.018799363467663876,0.0036105097759411087,0.006596179641542302,0.01389477934769307,0.05094967158537669,0.05531608814373604,0.2745043444633482,0.3805761320888993,0.45737059116363527,0.0501354463398456,0.25656554095447043,0.36224548116326305,0.506475818157196
[16],prelu,32,15,0.0036293679601210388,0.005859806717037259,0.008358778494670312,0.021673862734951293,0.004212716119992148,0.006043691040979073,0.011822207237546433,0.024566129011698197,0.05083846114575856,0.2712724242359398,0.3770701022446153,0.4672925114631653,0.04597016250714652,0.2541002940386532,0.35885978415608377,0.5169470906257629
[16],prelu,32,16,0.0026831715793622407,0.0035312724185683543,0.005541029650476294,0.014556153920162126,0.002773725473864892,0.0071619060718771015,0.01594988393366779,0.05471426059497915,0.04684914166107766,0.26792572006583193,0.3732602864503858,0.47807084321975707,0.04362677421420804,0.2550185239315031,0.36301613032817814,0.5042600512504578
[16],prelu,32,17,0.001907995137346718,0.00327928710777487,0.005776348102297537,0.013859786036958414,0.0026799479111619547,0.0070999956098260295,0.014933457387952981,0.04364708868175201,0.043304990399628804,0.26524930119514445,0.36902884438633893,0.48985632658004763,0.04031580947339526,0.2524989958852527,0.35862147003412226,0.5167979598045349
[16],prelu,32,18,0.0013105648356351452,0.00219851592315255,0.004049478854693714,0.009170518043698062,0.0021662885427768167,0.006459293710302888,0.012726443792767647,0.03385094845956115,0.04074134111404412,0.26382218450307826,0.36787287384271594,0.493079936504364,0.0378143681958317,0.25198434233665445,0.35669556155800797,0.5223708748817444
[16],prelu,32,19,0.0009556592243127847,0.0018199365060482262,0.003707762828934675,0.006556923449472895,0.002629262643644993,0.006940417157199841,0.01759072366180083,0.05977527239062744,0.03851701537147158,0.26264855809509735,0.3663774403929708,0.49721670150756836,0.03634364767000074,0.25333194836974127,0.3583859367668626,0.51640545129776
[16],prelu,32,20,0.0009085521009339599,0.0019512900076331136,0.004053556840010343,0.006348453111469367,0.0027683894409209014,0.0074077615259342975,0.017336586285263494,0.05714759661639275,0.0370835071988403,0.26289374746382216,0.3674434304237363,0.49429701566696166,0.0351845314446836,0.25293666332960113,0.360174968242645,0.5118460655212402
[16],prelu,32,21,0.0008696293418552749,0.0016982196348827431,0.0037073846428474907,0.006428519345799127,0.003772464290103906,0.00867428700692994,0.02273023468506488,0.07495089222477043,0.035604837369173706,0.26197849705815296,0.36645687416195843,0.4970000505447388,0.03422170255333176,0.2540684295445679,0.3611329342424867,0.5081592082977295
[16],prelu,32,22,0.0008916422844827644,0.001745573585784678,0.003390319725066249,0.0036300724055799106,0.002826332042508661,0.006634947681337485,0.017478991375666712,0.056574981358352254,0.03420085735619062,0.2610078922659157,0.3643185250461099,0.50286865234375,0.03264883167110376,0.25224766172468643,0.35744191989302604,0.5191828489303589
[16],prelu,32,23,0.0009306093325499557,0.001888852510707028,0.003489114396965109,0.004102525584634146,0.0029591026254035696,0.006528985352653646,0.01693824935225025,0.060125264365372154,0.03329264358617358,0.2603391639888285,0.36373597443103767,0.504456353187561,0.0322983150277286,0.25389788433909394,0.35961656749248483,0.5130937576293946
[16],prelu,32,24,0.0007474521495759089,0.001493794577959568,0.00246015964460577,0.004790439621302775,0.0022663503040281975,0.007290383874296376,0.013232613040217528,0.0426826335478656,0.03266561171039932,0.260500623360276,0.3636852847039697,0.5045713663101197,0.03131180161610238,0.25273995630443075,0.3569777734577653,0.5211558699607849
[16],prelu,32,25,0.0005770005684754824,0.0011969413627583199,0.0021143394229572988,0.006654457682021327,0.0023481611228743015,0.005496149805968962,0.014279080833606664,0.046760479169319656,0.032117964746430486,0.2598740211874245,0.3631577809154985,0.5059852242469788,0.030951650096103477,0.25281667649745926,0.35719029739499064,0.5203616142272949
[16],prelu,32,26,0.0007090317491528625,0.0017641173936536558,0.0034963887282068794,0.004504570686255866,0.0027289928723057077,0.005725035754969249,0.016392933086459376,0.05781504164810322,0.03166382842697196,0.259566054344177,0.36238251835107776,0.5081347823143005,0.0308531039580702,0.2532710579037664,0.35812944456934903,0.5171781420707703
[16],prelu,32,27,0.000621561240379971,0.0016763151823806324,0.0032700708611233978,0.004591620789985384,0.0025405014167426713,0.006795654131705926,0.015431731319062015,0.05407829566804115,0.03150764523074026,0.25994071684777714,0.3628414106369016,0.5068830013275146,0.0305284796189516,0.2522163899242876,0.3573965355753896,0.5193397402763367
[16],prelu,32,28,0.0006706801439150805,0.002204974536029571,0.003618601367694996,0.0034381013125268714,0.0023142590748689838,0.006242748000397708,0.014049336679599,0.04294765325385317,0.03121254464611404,0.2593850264698265,0.3620656290650365,0.5090041160583496,0.030652189208194534,0.2529566931724546,0.35895083472132655,0.515884280204773
[16],prelu,32,29,0.00046073045112656526,0.0010145850197573023,0.0022448903595265273,0.004413178385641431,0.002235759471752962,0.006967764498083197,0.013600985996686488,0.04975164825225365,0.03145269611850376,0.2602490457147358,0.3641028998792169,0.5034324288368225,0.03055269916541866,0.2522656091302632,0.3589249868690965,0.5154546618461608
[16],prelu,32,30,0.00035095072446191704,0.0008887875899358346,0.0017149450675184065,0.0038084489918110637,0.002777632249431791,0.005796071828531275,0.01695670572690739,0.05770534400191553,0.03130427000112826,0.25983874469995477,0.3636799857020376,0.5045831680297852,0.03022489550523454,0.2533196459710596,0.3571101459860799,0.5199371933937073
[16],prelu,32,31,0.0005794289993757681,0.002212197261212428,0.0035168351535739295,0.006231409934791613,0.002991617199819333,0.007247937697754507,0.018035383383018896,0.06499670739648342,0.03108576666563744,0.2596359601616858,0.3626593863964078,0.5073683738708497,0.030460961395874557,0.25363656729459744,0.3588320076465604,0.514847731590271
[16],prelu,32,32,0.0005971249873160318,0.002040072674196529,0.0034056856714516403,0.0054621025529442944,0.002326339113384363,0.006379861792799559,0.014238517624700868,0.04758051618351581,0.03115950617007906,0.25983109414577465,0.3633412148058412,0.5055192828178405,0.030481667630374343,0.2524424016475676,0.35924441993236517,0.5148300051689148
[16],prelu,32,33,0.00047171052748801434,0.0016851633553075097,0.002512728206222253,0.002411644372766496,0.0025738722289937854,0.005846463688280778,0.015818833412309975,0.05398994912476667,0.0307971833087503,0.25916810378432253,0.36134425997734043,0.5109433174133301,0.029918544553220176,0.25322914965450743,0.3559315505623815,0.5233014106750489
[16],prelu,32,34,0.0004276182992106635,0.0014945542347432202,0.0022111148477820487,0.0033441554576387144,0.002504179096599738,0.005376711882724086,0.015229751271229736,0.051380219606220405,0.030871942806988878,0.2597098962962625,0.36193448036909076,0.509335708618164,0.03004583713598542,0.2527097737789152,0.356877284646034,0.5208785653114318
[16],prelu,32,35,0.0005998858928450035,0.0016821878868052622,0.003519464522416017,0.004216753591290356,0.002570623517195686,0.007002234573638852,0.015643033890561906,0.04822627570992773,0.03088360966183238,0.2595768830180166,0.36209421291947336,0.5089195728302002,0.029977916441857745,0.2517159289866684,0.35650773853063555,0.5221691966056824
[16],prelu,32,36,0.0005267935613920618,0.0016471802978992576,0.003009068704951999,0.003444232377616234,0.0029956787882888646,0.007862008324451572,0.017797521293719722,0.06735089493761842,0.030867852419614723,0.25966538660228233,0.3621004986762998,0.5088974118232727,0.030705738682299775,0.2539623822271822,0.36092292204499216,0.5089312553405761
[16],prelu,32,37,0.0004180776322698749,0.0015672066535594473,0.0022846503938057363,0.002927322249957926,0.0021609128270026912,0.006387676391453876,0.013283606674590468,0.03887780144943092,0.03081439585424952,0.25936135075986366,0.36187771633267374,0.5094927310943603,0.02963592177256934,0.2524039662629364,0.3546956016123292,0.5274502992630005
[16],prelu,32,38,0.00024884057354856304,0.0010903655126556667,0.0014902702051579893,0.0032434297824264382,0.002133977876259747,0.005437221923200178,0.013099176928140258,0.04037969856378908,0.030606505339965163,0.25872134089469895,0.360685351192951,0.5127092123031616,0.029851339897140783,0.25279303923249224,0.3560696129500863,0.5236894369125367
[16],prelu,32,39,0.00037505127535914683,0.001618763378699916,0.0021075439359543357,0.0033565984343990308,0.002771595921841784,0.00723482085451092,0.01660264666210731,0.05849029800860895,0.0307978601008653,0.25977497085928897,0.36188648819923375,0.5094644665718079,0.030733009399846124,0.253268206566572,0.3613253194093701,0.5085853457450866
[16],prelu,32,40,0.000534165884069068,0.0017293207778724584,0.002992661848337338,0.00457187157471522,0.0022648720952231083,0.0065020544000404246,0.013766812736451911,0.04789459105722031,0.03054814583621912,0.2587592925131319,0.3604545466601846,0.5133443117141724,0.030264168269932203,0.25287876836955525,0.35865705087780925,0.5163092017173767
[16],prelu,32,41,0.00048071237919468894,0.0015986161385113825,0.0027616926446775614,0.0012591228496679166,0.0026708346760586175,0.006214720917885862,0.016143562732304207,0.05229729090686791,0.030853457171469856,0.25924047969281655,0.3623310661315915,0.5082758665084839,0.030248748222365902,0.2534016523510216,0.35851192101836177,0.5165432572364808
[16],prelu,32,42,0.0005292664510830095,0.0017187764332404778,0.002905829903025626,0.006179945670167777,0.002691813351283758,0.0072669987598699805,0.016245607407333433,0.057666788328131484,0.0306491576600819,0.2589384077489374,0.3611507278680799,0.5114468455314636,0.03006151268258684,0.2525841996073721,0.3574231779575345,0.5190719127655029
