layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,243,0.0300173858366906,0.2576619249582289,0.5189504384994507,0.3583668616414067,0.0282649932429194,0.2516607668250797,0.5466867208480835,0.347589825838804,6.250000296859071e-06
[16],relu,64,279,0.0300412709917872,0.2581738969683645,0.5184684157371521,0.3585368205606934,0.0283405564818531,0.2518516558408735,0.5454220533370971,0.3480720478296277,2.7343751298758434e-06
[16],prelu,32,223,0.0298658592905849,0.2571219649910925,0.5214542150497437,0.357427195459604,0.0282069408986717,0.2510336328297852,0.5478989601135253,0.3471530842781064,1.0937500519503374e-05
[16],prelu,64,254,0.0299325333256274,0.257501103132963,0.5203232765197754,0.3578634116053579,0.0282662947662174,0.2512609324604271,0.5467032194137573,0.3475830402970311,4.687500222644303e-06
[32],relu,32,213,0.0296026516333222,0.2563763979822395,0.5256501078605652,0.355863368362188,0.0282585068512707,0.25149774082005,0.5468610525131226,0.347522470206022,1.0937500519503374e-05
[32],relu,64,226,0.0295454983413219,0.255873178616166,0.5266339302062988,0.355498531758785,0.0281197444442659,0.2509832026064394,0.5491474986076355,0.3466326735913751,1.4062500667932907e-05
[32],prelu,32,279,0.0294027212355285,0.2555006818473337,0.5290092349052429,0.3546030260622499,0.0281538775935768,0.2509661971032618,0.5486461520195007,0.3468432880938051,2.7343751298758434e-06
[32],prelu,64,261,0.0293948808591812,0.2553806437551973,0.5291226625442504,0.3545532910525796,0.0281040536798536,0.2506933113187549,0.5496850848197937,0.3464849102497098,4.687500222644303e-06
[64],relu,32,253,0.0291147930454462,0.2544674725830553,0.5338489532470703,0.3527727302908895,0.0279325637686997,0.2500344890356062,0.5523871541023254,0.3453750544786451,7.812500371073838e-06
[64],relu,64,279,0.0291406493075191,0.2547843650728462,0.5333919286727905,0.35294125393033,0.028010111330077,0.2506894892454145,0.5512422084808349,0.3458803562819955,1.7625000737098162e-06
[64],prelu,32,239,0.029168972056359,0.2550141732394694,0.5327565908432007,0.3531821182370184,0.0280820026714354,0.2506920874863861,0.550028395652771,0.3463519418239591,7.812500371073838e-06
[64],prelu,64,281,0.0291950990352779,0.2550301855802534,0.5322742342948914,0.3533730168640611,0.0281539789121597,0.2508814739435909,0.5485217213630676,0.3468499454855916,1.95312509276846e-06
"[32, 16]",relu,32,257,0.0303984242025762,0.2589280564337967,0.5146215677261352,0.3599839606881139,0.0281714541651308,0.2500257524102924,0.5498871207237244,0.3463254724442957,6.250000296859071e-06
"[32, 16]",relu,64,218,0.0302205544244497,0.2581561225652692,0.5177185535430908,0.3588187633454797,0.0281884472537785,0.2497582841664551,0.5497549295425415,0.3463339303433893,2.3437501113221515e-05
"[32, 16]",prelu,32,295,0.0298353403713553,0.2569399599730967,0.5240456938743592,0.3564662371575829,0.0281191056966781,0.2499238795787094,0.5512390375137329,0.3458266294002531,2.1531250922635083e-06
"[32, 16]",prelu,64,223,0.0299869153741746,0.2572806018590925,0.5211563110351562,0.3575466376543043,0.0282308821193873,0.2505953342467545,0.5489139795303345,0.3467094290256498,9.375000445288606e-06
"[64, 32, 16]",relu,32,297,0.0303244107775389,0.257455853372812,0.5202447772026062,0.3578812885284421,0.028513133265078,0.2500547783821819,0.549035108089447,0.346705610156059,1.9625000732048647e-06
"[64, 32, 16]",relu,64,245,0.0305806270521133,0.2579636060446499,0.5158959150314331,0.359512798041105,0.0284074515756219,0.249777330458164,0.5504483819007874,0.3461675788462159,7.031250333966455e-06
"[64, 32, 16]",prelu,32,280,0.029966144664213,0.2562550527602432,0.5258231878280639,0.3557955577969549,0.0284224611427634,0.2499741976708172,0.5502278923988342,0.3462186145782468,3.906250185536919e-06
"[64, 32, 16]",prelu,64,290,0.0299517606291919,0.2559353601932524,0.5254241704940796,0.3559442053735254,0.0284018702432513,0.2502685517817734,0.549959945678711,0.3463342827558515,2.3437501113221515e-06
