layers,activation,batch_size,epoch,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,215,0.030375,0.028251,0.258372,0.251609,0.360493,0.347501,0.513231,0.546923
[16],relu,64,209,0.03043,0.02833,0.258961,0.25175,0.360861,0.347996,0.5122,0.54562
[16],prelu,32,178,0.030015,0.028183,0.257352,0.250944,0.358302,0.34699,0.519143,0.548344
[16],prelu,64,168,0.030237,0.028246,0.257981,0.251028,0.359651,0.34742,0.515516,0.54714
[32],relu,32,217,0.029723,0.028247,0.256528,0.251516,0.356579,0.347451,0.523742,0.547066
[32],relu,64,234,0.02961,0.028114,0.256263,0.251007,0.355889,0.346595,0.525591,0.549242
[32],prelu,32,201,0.029623,0.028138,0.256042,0.250655,0.355911,0.346734,0.525522,0.548941
[32],prelu,64,183,0.029662,0.028094,0.256285,0.250671,0.356134,0.346395,0.524927,0.549928
[64],relu,32,213,0.029183,0.027914,0.254793,0.249783,0.353168,0.345247,0.532816,0.552723
[64],relu,64,207,0.029344,0.027991,0.255393,0.250571,0.35416,0.345748,0.530159,0.551601
[64],prelu,32,172,0.029364,0.02807,0.255513,0.250525,0.354331,0.346239,0.529698,0.550332
[64],prelu,64,188,0.029358,0.028136,0.255407,0.250675,0.354344,0.34672,0.529711,0.548871
"[32, 16]",relu,32,182,0.030959,0.02816,0.260104,0.249744,0.363255,0.346189,0.505755,0.550266
"[32, 16]",relu,64,218,0.030221,0.028188,0.258156,0.249758,0.358819,0.346334,0.517719,0.549755
"[32, 16]",prelu,32,245,0.030318,0.028097,0.258349,0.249757,0.359365,0.345683,0.516255,0.551618
"[32, 16]",prelu,64,201,0.030143,0.02821,0.25771,0.250087,0.358477,0.346567,0.518666,0.549277
"[64, 32, 16]",relu,32,238,0.030625,0.028448,0.258263,0.249743,0.359633,0.346253,0.515554,0.550215
"[64, 32, 16]",relu,64,210,0.030812,0.028392,0.259138,0.2496,0.360841,0.34603,0.512288,0.550804
"[64, 32, 16]",prelu,32,279,0.030307,0.028398,0.256672,0.249907,0.357843,0.346064,0.520348,0.550618
"[64, 32, 16]",prelu,64,292,0.030057,0.028383,0.256172,0.250296,0.356581,0.346216,0.523736,0.550269
