layers,activation,batch_size,duration
[16],relu,32,1603.2339932918549
[16],relu,64,1685.617580652237
[16],prelu,32,1586.247338294983
[16],prelu,64,1555.6298117637634
[32],relu,32,1527.1025590896606
[32],relu,64,1526.2124183177948
[32],prelu,32,1575.1855916976929
[32],prelu,64,1563.8238577842712
[64],relu,32,1553.127247095108
[64],relu,64,1557.6192653179169
[64],prelu,32,1602.3889605998993
[64],prelu,64,1608.623445034027
"[32, 16]",relu,32,1774.511195898056
"[32, 16]",relu,64,1810.650223493576
"[32, 16]",prelu,32,1895.3927087783813
"[32, 16]",prelu,64,1905.7569229602814
"[64, 32, 16]",relu,32,2252.1176283359528
"[64, 32, 16]",relu,64,2308.338046312332
"[64, 32, 16]",prelu,32,2613.2730877399445
"[64, 32, 16]",prelu,64,2324.118702173233
