layers,activation,batch_size,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[32],prelu,32,3.5710785210132574,2.5854487836360915,-55.54134750366211,3.7534808039665197,1.0369258061051363,1.5545391708612433,-11.044500350952148,1.7892535597085941,0.0010000000474974513
[32],prelu,32,1.3332361906766883,1.423188766837119,-17.004276275634766,2.118063357472418,0.40482753664255117,0.4630802273750302,-0.9050122499465942,0.7115843877196307,0.0010000000474974513
[32],prelu,32,1.047163195908069,1.218773263692855,-12.167609214782715,1.8113591760396945,0.36031050607562043,0.3864165805280206,-0.2847365140914917,0.5843654111027714,0.0010000000474974513
[32],prelu,32,0.9771014839410775,1.1689655929803842,-11.067569732666016,1.7340476989746083,0.3574076525866983,0.43082666993141144,-0.3415968418121338,0.5971570223569866,0.0010000000474974513
[32],prelu,32,0.9124274536967272,1.1240932345390313,-10.063455581665039,1.6603380054235448,0.36088634803891156,0.4596756666898724,-0.5040706396102905,0.6322831898927684,0.0010000000474974513
[32],prelu,32,0.7955378785729403,1.016780307888984,-8.161081314086914,1.5108609139919271,0.3481555439531801,0.4575121104717252,-0.4063582420349121,0.6114000603556629,0.0010000000474974513
[32],prelu,32,0.7204371809959407,0.966454911231994,-6.979882717132568,1.4100982457399358,0.351742750406265,0.4902793571352955,-0.5707715749740601,0.6461510047316547,0.0010000000474974513
[32],prelu,32,0.7039010271430011,0.939341834187507,-6.807669639587402,1.3947997003793706,0.3274151735007761,0.4541164241731164,-0.2835690975189209,0.584099884331226,0.0010000000474974513
[32],prelu,32,0.6868775188922878,0.9202998995780939,-6.626727104187012,1.378542721271514,0.2988930553197859,0.37574562728404975,0.07259148359298706,0.4964929014444348,0.0010000000474974513
[32],prelu,32,0.5502636104822155,0.8080838903784746,-4.381684303283691,1.1580044120550148,0.29576661214232425,0.384784013777971,0.017617225646972656,0.5109964363276955,0.0010000000474974513
[32],prelu,32,0.5490090861916539,0.7849833816289896,-4.472259998321533,1.1677085697650902,0.27558917254209503,0.33362676352262477,0.2391865849494934,0.44969345554709406,0.0010000000474974513
[32],prelu,32,0.5004555232822891,0.7545860767364497,-3.744537830352783,1.087296760082244,0.2628364868462084,0.3096322163939474,0.34467458724975586,0.4173553831875321,0.0010000000474974513
[32],prelu,32,0.5025164954364296,0.7390844136476512,-3.8876867294311523,1.1035774469375603,0.24986633062362654,0.2907352514564989,0.45258593559265137,0.3814481094479558,0.0010000000474974513
[32],prelu,32,0.45474839583039256,0.6783580437302585,-3.1710681915283203,1.0194707527756683,0.24396792314946636,0.2877854630351065,0.4484626054763794,0.3828820437192914,0.0010000000474974513
[32],prelu,32,0.42129852622747394,0.6538722336292263,-2.699578046798706,0.9601237893104547,0.24109584167599662,0.27972287461161593,0.39632970094680786,0.4005690485239026,0.0010000000474974513
[32],prelu,32,0.39050651937723135,0.6064319416880604,-2.2724084854125977,0.902994012832641,0.24075204730033858,0.2917338602244852,0.3050388693809509,0.42979144230484934,0.0010000000474974513
[32],prelu,32,0.34264314025640463,0.5564960569143291,-1.5486581325531006,0.796905687451362,0.22613362595438943,0.2780340500175951,0.44708502292633057,0.3833598829805848,0.0010000000474974513
[32],prelu,32,0.3599530316889284,0.5847324326634403,-1.9467430114746094,0.8568844944238657,0.21921722702682003,0.2712991274893282,0.46668899059295654,0.37650241702795006,0.0010000000474974513
[32],prelu,32,0.3378398545086382,0.5501908212900158,-1.663135051727295,0.8146062120795244,0.21713634356856332,0.2743933089077471,0.4094793200492859,0.39618228226900076,0.0010000000474974513
[32],prelu,32,0.32210351675748805,0.5293208271265026,-1.486987829208374,0.7872052460908885,0.20740110948681817,0.2684211511164902,0.47892093658447266,0.3721596702933309,0.0010000000474974513
[32],prelu,32,0.30672407671809176,0.5173932991921898,-1.314671277999878,0.7594440504908556,0.20088022947311387,0.27036456167697887,0.49775850772857666,0.365370764583349,0.0010000000474974513
[32],prelu,32,0.2797189980745314,0.48800491914153066,-0.9403362274169922,0.695327857136726,0.1954734694212674,0.2613728538155554,0.5004122853279114,0.36440419331192947,0.0010000000474974513
[32],prelu,32,0.2815565086901186,0.4874639660120007,-1.0611240863800049,0.7166435569524761,0.1901385214179753,0.2716763049364088,0.5043154954910278,0.36297788396477676,0.0010000000474974513
[32],prelu,32,0.24847825802862628,0.43777316808700534,-0.5771323442459106,0.6268810912966724,0.1844677563756703,0.26779420934617504,0.5160795450210571,0.35864474847912764,0.0010000000474974513
[32],prelu,32,0.2353502850979565,0.42642372474074336,-0.434958815574646,0.5979582160711284,0.17985334768891323,0.2611307624727486,0.5120209455490112,0.36014560908079124,0.0010000000474974513
[32],prelu,32,0.23541492074727996,0.4273898474872109,-0.519152045249939,0.6152501344680782,0.17528331093490113,0.2634938962757586,0.5089454054832458,0.3612787432968614,0.0010000000474974513
[32],prelu,32,0.22113709002733217,0.4133547008037564,-0.35363852977752686,0.5807677283883091,0.16912339739501464,0.25702288262546047,0.5344213247299194,0.3517823487520216,0.0010000000474974513
[32],prelu,32,0.21177647039294228,0.4028979822993276,-0.270266056060791,0.5625983670353886,0.16812244988977898,0.26049808599054797,0.47796452045440674,0.3725010618567464,0.0010000000474974513
