layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,1,3.9138244760036445,2.8123008888959866,-62.02377433776856,3.896303553581235,0.9263648699969048,1.3147984832525244,-12.545448446273804,1.5209336310625066,0.0010000000474974513
[16],relu,32,2,2.104284081459044,1.9669447159767137,-31.88523178100586,2.8051135456562024,0.4154177489876744,0.754808968007564,-3.8289885759353637,0.9657377326488488,0.0010000000474974513
[16],relu,32,3,1.3925217831134786,1.5595140814781179,-20.114323234558107,2.2675473433732973,0.2911211655288933,0.5748315390944476,-1.7684630632400513,0.7809754459559912,0.0010000000474974513
[16],relu,32,4,1.0378938895463938,1.319134040772914,-14.248580169677734,1.93380143880844,0.26231115199625477,0.5374015615880486,-1.2956578969955443,0.729547421187162,0.0010000000474974513
[16],relu,32,5,0.8435065521299834,1.1699066880345337,-11.112458610534668,1.7310338163375842,0.2421397674828766,0.4955279256403443,-1.0063013553619384,0.6849024456739421,0.0010000000474974513
[16],relu,32,6,0.744075746685266,1.0697501051425928,-9.461630058288574,1.6102834153175345,0.22859311252832398,0.4664429086446759,-0.841740345954895,0.6536912089586253,0.0010000000474974513
[16],relu,32,7,0.6187151435017582,0.9687453231215469,-7.4017565727233885,1.4427047538757314,0.2234560184925793,0.45339522168040247,-0.8243121147155762,0.6430893413722512,0.0010000000474974513
[16],relu,32,8,0.5557798586785789,0.9114411473274225,-6.375335693359375,1.351710254251956,0.213050543963909,0.43796622604131674,-0.6901170372962951,0.6197357748448844,0.0010000000474974513
[16],relu,32,9,0.5350606457889077,0.8674393245577807,-6.076480913162231,1.3242966911196699,0.19928791783750044,0.4145875421166417,-0.5187709927558899,0.5831273092329499,0.0010000000474974513
[16],relu,32,10,0.48765444815158815,0.8140662905573839,-5.321973037719727,1.245488255620002,0.18490611903369417,0.3955212974548338,-0.2991794586181641,0.5468880757689473,0.0010000000474974513
[16],relu,32,11,0.4412788711488244,0.7654366001486773,-4.585305404663086,1.1754925537109366,0.1726118178293108,0.3719956639409063,-0.1462831974029541,0.5099280627071854,0.0010000000474974513
[16],relu,32,12,0.4063054519891736,0.7280277481675144,-4.040973949432373,1.115470252633094,0.16078824196010819,0.35215422078967074,0.027201879024505615,0.4776695202291009,0.0010000000474974513
[16],relu,32,13,0.3672427795827386,0.677220424264669,-3.425772857666016,1.0458392143249504,0.15079980432987203,0.33010460600256897,0.15998053550720215,0.4474352413415906,0.0010000000474974513
[16],relu,32,14,0.3418823906779287,0.6508143378794189,-3.0415485382080076,1.0000145092606538,0.1451891976967453,0.3201690478622911,0.20846834182739257,0.4334777727723119,0.0010000000474974513
[16],relu,32,15,0.3093421489000318,0.6097838519513603,-2.542071509361267,0.9333385583758348,0.14114632032811633,0.317837073728442,0.23569999933242797,0.42665796369314163,0.0010000000474974513
[16],relu,32,16,0.2944414419680832,0.5916741700470444,-2.3226410388946532,0.9034780481457705,0.13588932756334535,0.30768849827349165,0.28124451637268066,0.4130734948813912,0.0010000000474974513
[16],relu,32,17,0.27157459869980793,0.5607936564087864,-1.989724373817444,0.8586530795693392,0.13170887157320968,0.30397382743656615,0.31579909324645994,0.4051299898326395,0.0010000000474974513
[16],relu,32,18,0.259469743221998,0.5446481037139889,-1.8205726623535157,0.8342235529422755,0.12923184767365448,0.3054761265218256,0.31635921001434325,0.4055090831220148,0.0010000000474974513
[16],relu,32,19,0.24921323023736458,0.5310916805267331,-1.6892799377441405,0.81257084429264,0.12457972925156346,0.2938021721690891,0.35628796815872193,0.39345687806606267,0.0010000000474974513
[16],relu,32,20,0.22610380545258507,0.501851980090141,-1.336924958229065,0.7588147956132885,0.12178609799593679,0.2903668971359728,0.3645511269569397,0.39106163948774314,0.0010000000474974513
[16],relu,32,21,0.22075810726732,0.49322950437664953,-1.2905251026153564,0.7496568708121771,0.11845519792288535,0.2877495137602089,0.38244922161102296,0.38596099451184246,0.0010000000474974513
[16],relu,32,22,0.2010842442512511,0.4710276089608666,-0.9961366653442383,0.7011056210100646,0.11522737849503747,0.2848547048866747,0.40256319046020506,0.3808375900983808,0.0010000000474974513
[16],relu,32,23,0.19542006772011505,0.46228757485747307,-0.9421621084213256,0.6927200433611865,0.11305980797857038,0.2854349007457493,0.3996214509010315,0.3812761513888833,0.0010000000474974513
[16],relu,32,24,0.18644283920526492,0.4452480478584763,-0.8292079448699952,0.6706647771596904,0.11058777231723063,0.2834667155891655,0.40699057579040526,0.3794936171174047,0.0010000000474974513
[16],relu,32,25,0.17746613450348364,0.43520813718438117,-0.713702130317688,0.648449355512857,0.10859259396791451,0.284910514205694,0.40735453367233276,0.3804257224500177,0.0010000000474974513
[16],relu,32,26,0.16933351211249817,0.427001130133867,-0.6140171408653259,0.6310798871517178,0.10672890871763223,0.28623190715908986,0.4023531198501587,0.3816783757507799,0.0010000000474974513
[16],relu,32,27,0.158295708708465,0.41079833284020395,-0.4604815125465393,0.6000211809575553,0.10518539339303964,0.28589026249945143,0.39933072328567504,0.38373782932758305,0.0010000000474974513
[16],relu,32,28,0.15423873484134665,0.4011410972476003,-0.4260015845298767,0.5933550301194187,0.10292681235820048,0.285213717073202,0.40356858968734743,0.3821472445130346,0.0010000000474974513
[16],relu,32,29,0.1458955940604209,0.38864556372165654,-0.3172585964202881,0.5701321573555467,0.09956898476928466,0.2789548204839228,0.42958477735519407,0.37433941826224304,0.0010000000474974513
[16],relu,32,30,0.13877634171396486,0.38057855412363983,-0.2322772979736328,0.5530136387050149,0.09723340641707176,0.27723741844296435,0.43611927032470704,0.3718718326091764,0.0010000000474974513
[16],relu,32,31,0.13591260761022558,0.3759367181360719,-0.21663323640823365,0.5496037469804284,0.09567593876272433,0.27819530434906464,0.43078250885009767,0.37327991902828195,0.0010000000474974513
[16],relu,32,32,0.12848832786083214,0.3680013377964494,-0.12107714414596557,0.5280778875946995,0.09318954229354852,0.2747086155414579,0.4457227349281311,0.3691974449157712,0.0010000000474974513
[16],relu,32,33,0.12097092472016804,0.3539518767595289,-0.02448216676712036,0.5053054620325562,0.09071994788944715,0.27277506612241254,0.4560046911239624,0.36522457748651477,0.0010000000474974513
[16],relu,32,34,0.119738267622888,0.35292676016688324,-0.030656039714813232,0.5053572858870026,0.08927765903994436,0.2732139702141283,0.452439546585083,0.3664278930425641,0.0010000000474974513
[16],relu,32,35,0.1166205818951129,0.345665865242481,-0.008409929275512696,0.5005142351984975,0.08699623286724086,0.2693472430109976,0.4627576470375061,0.36277049243450143,0.0010000000474974513
[16],relu,32,36,0.11102517224848263,0.34233304291963557,0.05831708908081055,0.4853484980762001,0.08568225098773832,0.2718778304010628,0.4586016297340393,0.36463851556181887,0.0010000000474974513
[16],relu,32,37,0.10782224996015422,0.3376367944478986,0.0852051019668579,0.477701788395643,0.08366553382948036,0.2691331428289412,0.4666127562522888,0.3619493842124936,0.0010000000474974513
[16],relu,32,38,0.10472263738512985,0.32962125629186606,0.11224489212036133,0.4702363084256646,0.0811764782480895,0.263333510160446,0.48311164379119875,0.35614372849464393,0.0010000000474974513
[16],relu,32,39,0.10047794220969075,0.3284792861342428,0.15538060665130615,0.4597974860668179,0.08022539390251035,0.2668931867927311,0.4753657698631287,0.3592626620829103,0.0010000000474974513
[16],relu,32,40,0.09639472402632229,0.3207531939446924,0.20075079202651977,0.4477241362631318,0.07854071736335749,0.26437863096594794,0.4782497763633728,0.3578312203288076,0.0010000000474974513
[16],relu,32,41,0.09338750999420875,0.3174172319471834,0.22721132040023803,0.44045971080660795,0.07715914197266097,0.26462029621005045,0.47739150524139407,0.3580149105191229,0.0010000000474974513
[16],relu,32,42,0.09310466615483158,0.316519490033388,0.20964243412017822,0.4450117713212964,0.0756902427785098,0.2638426788896321,0.4788761854171753,0.3575903688371179,0.0010000000474974513
[16],relu,32,43,0.0899271760322153,0.3134667010605333,0.23924798965454103,0.43662072166800475,0.0738814153335988,0.26239508062601075,0.4859859347343445,0.35518569841980907,0.0010000000474974513
[16],relu,32,44,0.08732991460710758,0.30931002169847466,0.2600834846496582,0.43129186078906034,0.07272982271388169,0.2634012470394371,0.48431897163391113,0.3560632695257661,0.0010000000474974513
[16],relu,32,45,0.08519409244880075,0.3058619540929792,0.274007248878479,0.4268637789785859,0.07167448434978718,0.2638083699345587,0.47920273542404174,0.35747094586491557,0.0010000000474974513
[16],relu,32,46,0.08307334953919047,0.3033457034826277,0.2879221439361572,0.4227739298343655,0.07011259471997613,0.2615832152217625,0.4850385785102844,0.35549563556909536,0.0010000000474974513
[16],relu,32,47,0.07946117626503105,0.29769951440393905,0.32724677324295043,0.41117340862750984,0.06884550292044873,0.26054902561008914,0.48638678789138795,0.35523897036910035,0.0010000000474974513
[16],relu,32,48,0.07742215299978847,0.29509811453521234,0.3405803799629211,0.4072591826319692,0.06748397018760438,0.2593322158604859,0.4905612587928772,0.35415323883295036,0.0010000000474974513
[16],relu,32,49,0.07630015982314939,0.2959367184340952,0.34068071842193604,0.4072064296901224,0.0664220633357763,0.25869802720844726,0.49023215770721434,0.3545536947250364,0.0010000000474974513
[16],relu,32,50,0.07484380330890412,0.29310412637889366,0.3461385011672974,0.4053816251456735,0.06480559462681408,0.25800792671740036,0.4974202036857605,0.351781253069639,0.0010000000474974513
[16],relu,32,51,0.07227853853255506,0.28882800802588443,0.368347704410553,0.39850399479269955,0.06373149991035457,0.2577901294082402,0.4961269378662109,0.35221679642796494,0.0010000000474974513
[16],relu,32,52,0.07069103972986336,0.28674019165337067,0.377257764339447,0.39578548505902267,0.06224283037707205,0.2564614927768706,0.5034300208091735,0.34974321335554104,0.0010000000474974513
[16],relu,32,53,0.06882300859317178,0.2849445156008003,0.3911704897880554,0.3914924797415731,0.06173341816291209,0.25716721475124343,0.49466190338134763,0.35303827628493284,0.0010000000474974513
[16],relu,32,54,0.06796323191374536,0.2863023319840429,0.3876200556755066,0.3926858444511888,0.06041180174797769,0.25618138253688794,0.5000314116477966,0.35106527268886545,0.0010000000474974513
[16],relu,32,55,0.06632126456126566,0.2825909513980148,0.3987675070762634,0.3890961711108682,0.05907550094649192,0.2544461356103419,0.5053632140159607,0.34927399858832336,0.0010000000474974513
[16],relu,32,56,0.0651834841072559,0.2828919661045073,0.40163583755493165,0.3879938185214994,0.057509367950260605,0.25354426406323893,0.5140867352485656,0.34587516620755177,0.0010000000474974513
[16],relu,32,57,0.06325209882110353,0.28009906850755195,0.41646498441696167,0.38321142122149443,0.05650845007970925,0.25416165865957724,0.5145150423049927,0.34570983350276924,0.0010000000474974513
[16],relu,32,58,0.06200359037145968,0.27868476040661316,0.4216008186340332,0.3814478403329847,0.0558150849677622,0.25302018828690037,0.5131909608840942,0.34662615075707415,0.0010000000474974513
