layers,activation,batch_size,df,statistic,p_value
[16],relu,32,4,549.8268811435728,4.643885644581432e-17
[16],relu,64,4,404.6463921551917,4.38300622025637e-05
[16],prelu,32,4,423.6496377525109,2.6873817815250602e-06
[16],prelu,64,4,472.9899291481527,5.392716640576479e-10
[32],relu,32,4,466.8708499955038,1.6979818203798128e-09
[32],relu,64,4,468.8403583446738,1.1769398058531755e-09
[32],prelu,32,4,554.1432527156237,1.6985620927388084e-17
[32],prelu,64,4,496.29184969330345,5.518894852621226e-12
[64],relu,32,4,540.757883686114,3.7317560442979983e-16
[64],relu,64,4,528.2767684217077,6.143286596332625e-15
[64],prelu,32,4,505.64125614194535,8.017031417770012e-13
[64],prelu,64,4,529.9817994976722,4.209688317352138e-15
"[32, 16]",relu,32,4,591.4898873389805,1.9813923252571078e-21
"[32, 16]",relu,64,4,503.6108630343222,1.2240799044704099e-12
"[32, 16]",prelu,32,4,657.6364686990735,5.359649819574248e-29
"[32, 16]",prelu,64,4,332.5557276034208,0.08834733308427825
"[64, 32, 16]",relu,32,4,628.591491031317,1.3787682805608514e-25
"[64, 32, 16]",relu,64,4,582.5308886283216,1.839455371364956e-20
"[64, 32, 16]",prelu,32,4,631.8421911583172,5.811871173827681e-26
"[64, 32, 16]",prelu,64,4,570.5968848825612,3.39204045903581e-19
