layers,activation,batch_size,epoch,loss,mae,root_mean_squared_error,r2_score,val_loss,val_mae,val_root_mean_squared_error,val_r2_score,loss_mean,mae_mean,root_mean_squared_error_mean,r2_score_mean,val_loss_mean,val_mae_mean,val_root_mean_squared_error_mean,val_r2_score_mean
[16],prelu,32,1,2.0640826157542906,0.9320764958391917,1.145529325034016,34.28613519359241,0.1561009044836183,0.34874681892215725,0.33637172466019155,3.907312357303153,3.422848482728002,2.5591220605373364,3.6202978551387766,-54.93283920288086,0.4249924912303683,0.9188246113061899,1.0856819549202912,-4.6049363851547245
[16],prelu,32,2,0.831522676868212,0.5230287789707221,0.6592413482418032,14.045198648987087,0.07608305938212348,0.2396496350521019,0.24721634695917397,1.184162143123455,1.7158865648508062,1.7703324705362309,2.5448219317197784,-26.05964527130127,0.2743692583590744,0.5915008920431133,0.761825480908155,-1.4287942528724673
[16],prelu,32,3,0.40644954473800093,0.3097802945973917,0.40791853624925467,7.022404346315446,0.04222156443024109,0.1716015423170678,0.1834015168641274,0.6845292518216709,1.2048633259534829,1.4527666038274756,2.121609985232352,-17.386880683898926,0.24095434807240945,0.5149664139747616,0.6832837383449073,-0.9056573867797851
[16],prelu,32,4,0.26603696914115516,0.2248329492834766,0.3045187353653947,4.86402595693008,0.02871177137301444,0.13148480091894502,0.1534774324537951,0.6779241817499851,1.0574791288375847,1.3135428440570824,1.9836591136455521,-14.915743446350097,0.24464598715305313,0.5342487579584118,0.7068367511034007,-1.0664164185523988
[16],prelu,32,5,0.1628517813473512,0.19771547022483824,0.22431676562109842,3.330365134456185,0.02978030647348993,0.11661966718977312,0.14649579548875552,1.031649339438354,0.8483186417818065,1.1846225738525382,1.7545171988010395,-11.40973720550537,0.24881051890552022,0.5465864491462703,0.7267699560523029,-1.2582786321640014
[16],prelu,32,6,0.13358135515951144,0.17541614993975269,0.1982360513661281,2.679885409917748,0.03926407897113231,0.12976970117882777,0.16329559941881575,1.257238533357483,0.7697833964228625,1.1057279831171027,1.6608728009462346,-10.07840337753296,0.2514763205498455,0.5526476295292374,0.7379132637381549,-1.3692685842514039
[16],prelu,32,7,0.12074905504678692,0.14697553219986276,0.1935319410396273,2.305787619262459,0.03607139937129892,0.1290007495184629,0.16230467226699807,1.0896954784663233,0.6692065840959545,1.019175905287265,1.5285476112365712,-8.38546895980835,0.23746749907731993,0.5214329904317851,0.7024565973877903,-1.144355583190918
[16],prelu,32,8,0.08664057286508385,0.142891381864668,0.1461652441349021,1.855144625546473,0.04979995109044676,0.15693864438368677,0.2014303630168951,1.414906684780606,0.6472893482446667,0.9831446912884705,1.504713072180747,-8.061906433105468,0.23659883439540846,0.5231110183894631,0.6982970538735385,-1.2019789695739747
[16],prelu,32,9,0.09632391170458847,0.14708106813827102,0.17677462116590217,1.9770990520836198,0.035627992920821486,0.13575136000880103,0.17842461128755005,0.9081177598977259,0.5493517400324341,0.9076882365345949,1.3580751436948766,-6.426502132415772,0.21612190507352333,0.4789195656776425,0.6447921471297737,-0.7984290957450867
[16],prelu,32,10,0.1126857081494615,0.15142581788440204,0.2070232493791276,2.247442970807085,0.031592798263815114,0.1293480592345689,0.17220192576267665,0.701997377878924,0.5343405838310715,0.874392742812633,1.33410028040409,-6.207651996612549,0.19798622794449314,0.43763144060969317,0.5906328617036338,-0.48474879264831544
[16],prelu,32,11,0.09607256102312052,0.1436831548600168,0.1928071776220499,2.0858803442826375,0.020800631978705745,0.09873376374562942,0.1388093634920385,0.48175979823181014,0.48588205054402317,0.8390494507551187,1.259040859937667,-5.430862998962402,0.17939424715936164,0.39335923418402646,0.5350952398777004,-0.1920509696006775
