layers,activation,batch_size,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,0.09052,0.049214,0.313448,0.261133,0.438489,0.355847,-0.248737,0.425618
[16],relu,64,0.099927,0.053678,0.319982,0.266988,0.449706,0.362307,-0.397902,0.375632
[16],prelu,32,0.090182,0.047852,0.316839,0.260448,0.442433,0.353619,-0.244021,0.459987
[16],prelu,64,0.096854,0.051416,0.319033,0.266351,0.445477,0.360859,-0.350737,0.394046
[32],relu,32,0.090163,0.059326,0.30403,0.257557,0.421537,0.35016,-0.03711,0.461495
[32],relu,64,0.088646,0.05983,0.302216,0.259477,0.42058,0.35324,-0.024774,0.45618
[32],prelu,32,0.119013,0.062281,0.326065,0.26017,0.453701,0.353749,-0.487105,0.454842
[32],prelu,64,0.0919,0.057606,0.305969,0.254887,0.42473,0.347965,-0.07678,0.49081
[64],relu,32,0.114017,0.077233,0.307184,0.25428,0.424149,0.346158,-0.103572,0.503471
[64],relu,64,0.114446,0.079391,0.305539,0.254115,0.422276,0.345333,-0.071908,0.502977
[64],prelu,32,0.105586,0.074519,0.302251,0.256059,0.417608,0.347657,-0.017372,0.484556
[64],prelu,64,0.110961,0.075096,0.306357,0.258765,0.424638,0.350847,-0.122952,0.462994
"[32, 16]",relu,32,0.125163,0.081885,0.319298,0.260503,0.438888,0.355587,-0.278392,0.459695
"[32, 16]",relu,64,0.110659,0.077025,0.312525,0.257818,0.426893,0.355577,-0.075551,0.476078
"[32, 16]",prelu,32,0.138754,0.087604,0.332421,0.265284,0.454255,0.360905,-0.428698,0.436405
"[32, 16]",prelu,64,0.117083,0.080643,0.311994,0.256474,0.42965,0.351998,-0.110873,0.484907
"[64, 32, 16]",relu,32,0.174162,0.135676,0.317406,0.261338,0.43434,0.359202,-0.156981,0.466273
"[64, 32, 16]",relu,64,0.166276,0.133548,0.311572,0.260674,0.426747,0.359708,-0.059518,0.462639
"[64, 32, 16]",prelu,32,0.158616,0.126773,0.308835,0.262855,0.422817,0.360321,-0.060148,0.456771
"[64, 32, 16]",prelu,64,0.17496,0.137765,0.316797,0.262228,0.432003,0.358654,-0.132318,0.462095
