layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,255,0.0271807494480162,0.2495857686549423,0.542202627658844,0.3396202743053434,0.026221246048808,0.2438620584458111,0.5470118284225464,0.333108736425638,6.25000029685907e-05
[16],relu,64,259,0.0270705000124871,0.2488228437304495,0.5441697597503662,0.3389387919008729,0.0261177805531769,0.2434143824875353,0.5481702446937561,0.3325536099076268,0.0001000000047497
[16],prelu,32,196,0.0278185935784131,0.2513347084075211,0.5313174605369568,0.3435751879215238,0.0259027328621595,0.2438530559092758,0.5521659612655639,0.3310523584485051,0.0003500000166241
[16],prelu,64,267,0.0270650256052613,0.2490444951504467,0.5442463159561157,0.3388896591961381,0.0261368793062865,0.2438925901800392,0.5484320521354675,0.3325771382451055,3.750000178115442e-05
[32],relu,32,247,0.0266793377976864,0.2472010191529987,0.5506072282791138,0.3365217998623845,0.0261211156565695,0.2433939746022222,0.5484366536140441,0.3325808417797086,6.25000029685907e-05
[32],relu,64,262,0.0266597901191562,0.2474814209342001,0.5509746432304382,0.336357671767473,0.0262259727809578,0.2440208907425402,0.5466105103492737,0.3331988002359865,3.125000148429535e-05
[32],prelu,32,240,0.0269298517983406,0.248219849988818,0.5461466550827027,0.338152194470167,0.025869874805212,0.2428136922419069,0.5519534945487976,0.3310435865819452,0.0001625000077183
[32],prelu,64,203,0.0269341207947581,0.2484576643258331,0.5470201015472412,0.3379203711450097,0.0259227995481341,0.2427005934715269,0.5516855359077454,0.3311448250710962,0.0002250000106869
[64],relu,32,225,0.0267904474399983,0.2481608913838862,0.5491902947425842,0.3370650468766687,0.0259802872315049,0.243394154012203,0.5505916714668274,0.3315578588843343,0.0001250000059371
[64],relu,64,226,0.0264429527334868,0.2464932211488483,0.5548293590545654,0.3349427933990953,0.0260331599134951,0.2432311824709175,0.5495148062705993,0.3319794979691503,0.0001250000059371
[64],prelu,32,252,0.0264675447158515,0.2469485796988008,0.5543139457702637,0.3351116374135015,0.0260907733440399,0.2437102840095756,0.5485270857810974,0.3323509983718393,3.437500163272489e-05
[64],prelu,64,249,0.0265056260861456,0.2470669934898613,0.5532468438148499,0.3355296178162096,0.0259802451822906,0.2436788936704395,0.5498682618141174,0.3318267624080179,7.500000356230885e-05
"[32, 16]",relu,32,275,0.0274835101980715,0.2504821073263882,0.5398092985153198,0.3404811987280843,0.0263156821765005,0.2439465541392563,0.5480727076530456,0.3326566232740877,5.625000267173164e-05
"[32, 16]",relu,64,235,0.0277960371784865,0.2506371367722748,0.5359289526939393,0.3420669266581533,0.0264508339576423,0.243440009281039,0.5464198350906372,0.3331987681984899,0.0001125000053434
"[32, 16]",prelu,32,245,0.0273932105116546,0.2491616402566431,0.5421204924583435,0.3395795930922028,0.0260863473638892,0.2431488332897423,0.5526076316833496,0.3308774337172506,0.0001375000065308
"[32, 16]",prelu,64,245,0.0273859247844666,0.2496512725204228,0.542183780670166,0.3396402400732038,0.0261498228553682,0.2433903831988571,0.5505472660064697,0.3314610095322129,0.0001250000059371
"[64, 32, 16]",relu,32,258,0.0275063705537468,0.2483135917037723,0.5471379280090332,0.3378888526558873,0.0270134788751602,0.2448128256201742,0.5429976224899292,0.3344022759795186,8.750000415602699e-05
"[64, 32, 16]",relu,64,228,0.0274902957398444,0.249035002440214,0.5473334312438964,0.3377123901247976,0.0270282453577965,0.2447384121268986,0.5440439105033874,0.3342859990894792,0.0001375000065308
"[64, 32, 16]",prelu,32,297,0.0269727215729653,0.2476492173224686,0.5520163536071777,0.3359439074993131,0.0265801673289388,0.2441521387547252,0.5466393947601318,0.3330375811457632,2.5000001187436283e-05
"[64, 32, 16]",prelu,64,288,0.0270231578033417,0.2475943659245966,0.5512880444526672,0.3362495516240594,0.0266073611564934,0.2443180801719425,0.5457457304000854,0.3332483430206773,3.125000148429535e-05
