layers,activation,batch_size,epoch,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,191,0.027458,0.026128,0.250716,0.243761,0.341087,0.332286,0.538297,0.549015
[16],relu,64,195,0.028333,0.026011,0.253215,0.244157,0.346529,0.331565,0.523573,0.550346
[16],prelu,32,196,0.027819,0.025903,0.251335,0.243853,0.343575,0.331052,0.531317,0.552166
[16],prelu,64,166,0.02821,0.02602,0.25319,0.243374,0.345504,0.331342,0.526219,0.551392
[32],relu,32,201,0.027608,0.026034,0.250518,0.243158,0.342244,0.331949,0.535506,0.549786
[32],relu,64,181,0.027355,0.026085,0.249522,0.243979,0.340536,0.332087,0.539601,0.549227
[32],prelu,32,240,0.02693,0.02587,0.24822,0.242814,0.338152,0.331044,0.546147,0.551953
[32],prelu,64,169,0.027449,0.025915,0.249893,0.243604,0.340937,0.330822,0.538637,0.552614
[64],relu,32,225,0.02679,0.02598,0.248161,0.243394,0.337065,0.331558,0.54919,0.550592
[64],relu,64,196,0.026749,0.025972,0.248096,0.243069,0.33676,0.331447,0.550018,0.55087
[64],prelu,32,165,0.026959,0.026008,0.248195,0.242871,0.337837,0.331415,0.547053,0.55111
[64],prelu,64,225,0.026781,0.025924,0.247725,0.243402,0.33723,0.331415,0.548614,0.550913
"[32, 16]",relu,32,259,0.027919,0.026222,0.251716,0.244333,0.343177,0.332052,0.53224,0.549323
"[32, 16]",relu,64,235,0.027796,0.026451,0.250637,0.24344,0.342067,0.333199,0.535929,0.54642
"[32, 16]",prelu,32,245,0.027393,0.026086,0.249162,0.243149,0.33958,0.330877,0.54212,0.552608
"[32, 16]",prelu,64,226,0.027923,0.026093,0.251331,0.243616,0.342934,0.33101,0.533117,0.551622
"[64, 32, 16]",relu,32,258,0.027506,0.027013,0.248314,0.244813,0.337889,0.334402,0.547138,0.542998
"[64, 32, 16]",relu,64,228,0.02749,0.027028,0.249035,0.244738,0.337712,0.334286,0.547333,0.544044
"[64, 32, 16]",prelu,32,258,0.027749,0.026445,0.249562,0.244393,0.34076,0.332125,0.539108,0.548833
"[64, 32, 16]",prelu,64,288,0.027023,0.026607,0.247594,0.244318,0.33625,0.333248,0.551288,0.545746
