layers,activation,batch_size,duration
[16],relu,32,618.3928701877594
[16],relu,64,591.4733471870422
[16],prelu,32,664.8359022140503
[16],prelu,64,547.6359031200409
[32],relu,32,563.7088415622711
[32],relu,64,562.0131642818451
[32],prelu,32,568.8633325099945
[32],prelu,64,575.196831703186
[64],relu,32,652.9274804592133
[64],relu,64,659.2397174835205
[64],prelu,32,688.7065889835358
[64],prelu,64,603.3150243759155
"[32, 16]",relu,32,629.100100517273
"[32, 16]",relu,64,619.3902077674866
"[32, 16]",prelu,32,632.050847530365
"[32, 16]",prelu,64,654.5127658843994
"[64, 32, 16]",relu,32,766.5002913475037
"[64, 32, 16]",relu,64,849.3381779193878
"[64, 32, 16]",prelu,32,741.3717732429504
"[64, 32, 16]",prelu,64,776.8456153869629
