layers,activation,batch_size,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[64],prelu,32,0.5913472673988093,0.3716802027689443,0.02255082130432129,0.5263647737516636,0.3708055602397354,0.2930869614027323,0.37956100702285767,0.4019352435933771,0.0010000000474974513
[64],prelu,32,0.4426679700619614,0.3280611115268773,0.288651704788208,0.44903570532051057,0.3394419047734799,0.2836241492338958,0.4297351837158203,0.38534064536504214,0.0010000000474974513
[64],prelu,32,0.41053150531068217,0.3152971759365368,0.3367229104042053,0.43359795686368396,0.32548475266253907,0.2774781051700732,0.44553685188293457,0.3799643641570001,0.0010000000474974513
[64],prelu,32,0.38328963687698486,0.30498158571503964,0.37682169675827026,0.420286933355066,0.31657842156881355,0.27554600262341883,0.4523724913597107,0.3776149325376504,0.0010000000474974513
[64],prelu,32,0.36652059884083255,0.2974153344183523,0.39836442470550537,0.4129585574084603,0.30861508726044373,0.2738669123721487,0.4583337903022766,0.3755539914209144,0.0010000000474974513
[64],prelu,32,0.3478383715062447,0.2900242845367931,0.42449188232421875,0.4038921935785473,0.3023723190681461,0.2723035864321244,0.4619457721710205,0.37429978284817195,0.0010000000474974513
[64],prelu,32,0.3402490181211289,0.2879259929281886,0.4307267665863037,0.4016983837197099,0.2965008661735146,0.2705082875986773,0.46559005975723267,0.3730300247928335,0.0010000000474974513
[64],prelu,32,0.33005614187758875,0.28421423623159703,0.4425027370452881,0.397521919628962,0.2931881917077964,0.27041825926780994,0.4646828770637512,0.3733465043641201,0.0010000000474974513
[64],prelu,32,0.3230176209800287,0.2824248715884468,0.44901329278945923,0.39519393994886726,0.28847025655268843,0.26914098034027706,0.46739012002944946,0.37240125449046985,0.0010000000474974513
[64],prelu,32,0.31747759420015875,0.28169474404646727,0.45333224534988403,0.39364203811850534,0.28402722990315105,0.26819170029460704,0.4701802730560303,0.3714245248479721,0.0010000000474974513
[64],prelu,32,0.31334631880985325,0.27981630308158817,0.4556090235710144,0.39282143797472713,0.28140787195938904,0.26815285832175484,0.46986472606658936,0.3715351483098697,0.0010000000474974513
[64],prelu,32,0.30951502149909976,0.27886359580301945,0.45783406496047974,0.3920178470608907,0.27883541633251885,0.26767755189252285,0.46998924016952515,0.3714915145576869,0.0010000000474974513
[64],prelu,32,0.3032068820126228,0.27723318495236643,0.46521902084350586,0.3893388298777806,0.276925654266982,0.2675959647093505,0.46929919719696045,0.3717332614115986,0.0010000000474974513
[64],prelu,32,0.3027967882093804,0.27802259093003867,0.46194010972976685,0.39053055491739724,0.27425441182516996,0.2671262434003979,0.4705342650413513,0.3713004463235832,0.0010000000474974513
[64],prelu,32,0.29792526224658894,0.2773319717673083,0.4674193859100342,0.3885370160476695,0.27184903380211245,0.2663681902570214,0.4717021584510803,0.37089070159035825,0.0010000000474974513
[64],prelu,32,0.2934966744023193,0.2755052883659275,0.4724924564361572,0.3866820897085122,0.2736039991817236,0.2688547429259579,0.46484291553497314,0.373290716628602,0.0010000000474974513
[64],prelu,32,0.2949270681329664,0.2751936957748854,0.466958224773407,0.38870520432881045,0.27004069244346746,0.26765552874778475,0.469186007976532,0.3717728967253996,0.0010000000474974513
[64],prelu,32,0.29016169118912144,0.2754431539028192,0.47342056035995483,0.38634177817512433,0.26910245570380437,0.2671795559121558,0.46861815452575684,0.37197167623352545,0.0010000000474974513
[64],prelu,32,0.28840672580951027,0.27399616347952366,0.4745842218399048,0.3859146751419401,0.26961282780297235,0.2675773370638732,0.46539610624313354,0.37309771264258323,0.0010000000474974513
[64],prelu,32,0.28707185032909605,0.27455312055920394,0.47524070739746094,0.38567349949351154,0.2688893643249626,0.2676980835562772,0.46502596139907837,0.3732268368154064,0.0010000000474974513
[64],prelu,32,0.2873667827602138,0.27414734253072287,0.4730966091156006,0.38646058891561336,0.26491326642423807,0.26570448121927354,0.4715678095817566,0.37093785777635363,0.0010000000474974513
[64],prelu,32,0.28585699146741306,0.2735574459348493,0.47458648681640625,0.38591385006735335,0.26603387638120624,0.26745817725336674,0.4679184556007385,0.3722165012503184,0.0010000000474974513
[64],prelu,32,0.280712492750966,0.2721075042832244,0.4830676317214966,0.3827864683136318,0.2666769268206479,0.2673305762951652,0.4653922915458679,0.3730990454553772,0.0010000000474974513
[64],prelu,32,0.2811120192527707,0.272527213378766,0.4812723398208618,0.3834506216223109,0.26792805723050905,0.26850618064670273,0.4617511034011841,0.37436747069792176,0.0010000000474974513
[64],prelu,32,0.28355062239476303,0.2728761247280386,0.4757879972457886,0.3854723399625393,0.26175119980423595,0.2648698865411589,0.4734596014022827,0.3702732919303811,0.0010000000474974513
[64],prelu,32,0.281606588000239,0.2728567037416125,0.4786442518234253,0.38442071893447693,0.2635857214141906,0.2659164301871491,0.4689362049102783,0.3718603546315929,0.0010000000474974513
[64],prelu,32,0.2789364245021173,0.27179540395397506,0.48296791315078735,0.38282337453456894,0.26386527889772105,0.2659177629999431,0.4676246643066406,0.37231925477000416,0.0010000000474974513
[64],prelu,32,0.2797673063445917,0.27199494506941174,0.4807719588279724,0.3836355017970142,0.2613160046933742,0.26512456485253566,0.4721907377243042,0.3707191495435944,0.0010000000474974513
[64],prelu,32,0.28007474182906217,0.2718322467076363,0.47965502738952637,0.38404791215582706,0.26312628180393416,0.2667262726276619,0.4679550528526306,0.3722037125942241,0.0010000000474974513
[64],prelu,32,0.2769397757358703,0.27113093330891636,0.4850618243217468,0.38204739188575004,0.26259069732941404,0.2658723045635781,0.4685506224632263,0.371995317793799,0.0010000000474974513
[64],prelu,32,0.2771629901452185,0.27181241318391686,0.4841931462287903,0.3823695200445919,0.2760401270999558,0.2740136487140348,0.44058114290237427,0.38165862308721077,0.0010000000474974513
[64],prelu,32,0.2781265185943286,0.27185928376717067,0.48197293281555176,0.3831915799357159,0.2688458892409695,0.26978790228354876,0.4548751711845398,0.3767510794453448,0.0010000000474974513
[64],prelu,32,0.27941280987503964,0.27214732999885305,0.47921890020370483,0.38420883343387724,0.26798768473621926,0.2691382829810512,0.45627444982528687,0.37626723666750395,0.0010000000474974513
[64],prelu,32,0.2777881110792178,0.2716384811143067,0.48196738958358765,0.3831936426221827,0.263225735025273,0.26663081784470494,0.4657135009765625,0.3729869305124959,0.0010000000474974513
[64],prelu,32,0.27658930943833804,0.271081809637368,0.48394161462783813,0.3824627217392544,0.26288366227497884,0.2666967286107294,0.4661101698875427,0.3728484766501151,0.0010000000474974513
[64],prelu,32,0.27598491056992086,0.2707528270127287,0.4848237633705139,0.382135706600168,0.266974873947371,0.26945577802875226,0.45749515295028687,0.3758446080772708,0.0010000000474974513
[64],prelu,32,0.2766885405242112,0.27127243360054043,0.4832768440246582,0.38270900650339307,0.26427813352746526,0.26737186175813965,0.4627681374549866,0.3740136089011287,0.0010000000474974513
[64],prelu,32,0.2750010408588841,0.2714702928331657,0.48624420166015625,0.3816085474065239,0.2613966874678649,0.2660821273777109,0.4684540033340454,0.3720291458518549,0.0010000000474974513
[64],prelu,32,0.27434881939807454,0.2700439610081764,0.48729461431503296,0.38121825539336296,0.26181230292411084,0.2654017899136767,0.4674232006072998,0.3723896717126177,0.0010000000474974513
[64],prelu,32,0.27557522930397177,0.2712645001910527,0.48482924699783325,0.38213367564733913,0.2625254529697865,0.2663209071364742,0.4657941460609436,0.37295881450927115,0.0010000000474974513
[64],prelu,32,0.27510722161146856,0.27017521133474226,0.4855659604072571,0.38186035382366607,0.26412116308733996,0.2676989403645019,0.4623956084251404,0.374143272545797,0.0010000000474974513
[64],prelu,32,0.2736474742657167,0.2704579580488868,0.48817986249923706,0.3808889871659821,0.2602048513605154,0.265626289535362,0.47025686502456665,0.3713977099239034,0.0010000000474974513
[64],prelu,32,0.26966483923557427,0.269052062686738,0.4955337643623352,0.37814272640405355,0.26655338776810417,0.2683292021478493,0.4571360945701599,0.3759689722044013,0.0010000000474974513
[64],prelu,32,0.2753681038490648,0.2711002786146556,0.4846864938735962,0.38218663908907957,0.26458753649748873,0.26876303271227914,0.4610104560852051,0.3746249574362572,0.0010000000474974513
[64],prelu,32,0.27282535090731685,0.2703397185138809,0.48935413360595703,0.3804517928359294,0.26399522814513093,0.26753548039541564,0.46212518215179443,0.3742373310486842,0.0010000000474974513
[64],prelu,32,0.27172857291244995,0.27017638547934647,0.49131929874420166,0.3797189996683619,0.2676205265451247,0.26996427784328114,0.45460808277130127,0.3768433925981446,0.0010000000474974513
[64],prelu,32,0.2739246675932198,0.2706070426799812,0.48709434270858765,0.3812927025079963,0.26714817134422214,0.26971634292996893,0.455452024936676,0.3765516969980978,0.0010000000474974513
[64],prelu,32,0.27150123313016805,0.26956440227145895,0.4915503263473511,0.3796327793740487,0.26168987454889536,0.26668800186029284,0.46652019023895264,0.3727052627420417,0.0010000000474974513
[64],prelu,32,0.2725562813911292,0.2694940170624834,0.48948055505752563,0.38040466838357195,0.2663938945037618,0.2700037544888923,0.45680856704711914,0.37608238822643864,0.0010000000474974513
[64],prelu,32,0.2718099379601566,0.2700010571296665,0.49080371856689453,0.37991140071525964,0.26357626479008117,0.26749781256716765,0.4624978303909302,0.3741076991376538,0.0010000000474974513
[64],prelu,32,0.2722120983539113,0.26973671592553355,0.48998862504959106,0.38021534549955555,0.26046551146264596,0.2661388512555486,0.46880102157592773,0.371907669485778,0.0010000000474974513
[64],prelu,32,0.27205403310327675,0.2697853953261506,0.4902299642562866,0.38012538063596407,0.2638526171761786,0.2676213516197114,0.46181660890579224,0.37434468594587283,0.0010000000474974513
[64],prelu,32,0.2724964000163154,0.2697019041247012,0.48935121297836304,0.38045287177961973,0.26054511529344637,0.2661623341476324,0.4685138463973999,0.37200820165080717,0.0010000000474974513
[64],prelu,32,0.27127697151076746,0.2697039033438921,0.4915841817855835,0.3796201493861442,0.26432178314646704,0.2680906921250086,0.4607405662536621,0.37471873033640274,0.0010000000474974513
[64],prelu,32,0.27010523866306,0.269053998438653,0.4937290549278259,0.37881852595786075,0.26090375300275104,0.2663130689279003,0.467663049697876,0.3723058314411508,0.0010000000474974513
[64],prelu,32,0.27230295175936536,0.2697764464402484,0.48953813314437866,0.380383216444317,0.2639448509948835,0.2675052065048103,0.461378812789917,0.3744969122071244,0.0010000000474974513
[64],prelu,32,0.27204648049744434,0.26969251096786767,0.48997724056243896,0.38021959780704095,0.26209455776686713,0.2669595148666027,0.46513211727142334,0.37318980365991744,0.0010000000474974513
[64],prelu,32,0.2707770715121233,0.2693613387222097,0.49233192205429077,0.37934089337217425,0.26392100316596323,0.26760992751004903,0.4613611102104187,0.3745030685328869,0.0010000000474974513
[64],prelu,32,0.2721554855438065,0.26985041755031247,0.4897093176841736,0.3803194635656732,0.26408273365178114,0.2675048574347928,0.46098601818084717,0.3746334303175901,0.0010000000474974513
[64],prelu,32,0.2706579751688928,0.26938377440424116,0.49248045682907104,0.37928535950575976,0.2635409611178605,0.26697033603714404,0.4620485305786133,0.37426401903820106,0.0010000000474974513
[64],prelu,32,0.2719070428922871,0.2699308305888806,0.4900919795036316,0.38017682086308285,0.26613439267941646,0.26926461459373463,0.4567028880119324,0.3761189771109963,0.0010000000474974513
[64],prelu,32,0.2701736246528447,0.2694915101050852,0.4933153986930847,0.3789732591765104,0.26399088063673165,0.2678596712407244,0.46105676889419556,0.37460886848181596,0.0010000000474974513
