layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,1,0.5610544077333751,0.3794503063618161,-0.030408906936645507,0.5339004169223255,0.35056254284553706,0.30552030139498726,0.3643784403800964,0.4194122530789822,0.0010000000474974513
[16],relu,32,2,0.4140918206946848,0.3298800231747558,0.2455420136451721,0.45842454421289247,0.3083481764787421,0.2858987918393268,0.44268289804458616,0.39316848394343634,0.0010000000474974513
[16],relu,32,3,0.36611694971455794,0.310334450505349,0.33404386043548584,0.4308991938066621,0.29155751336189695,0.2768594751654884,0.47241352796554564,0.3826694077443106,0.0010000000474974513
[16],relu,32,4,0.34432495054945955,0.30071599735809423,0.37324340343475343,0.41806908323521136,0.28233561309669863,0.2721037780515684,0.4879134774208069,0.37702690676034134,0.0010000000474974513
[16],relu,32,5,0.3322204385651503,0.29371306266633795,0.3942938566207886,0.4110012752102853,0.2768530151484727,0.2694436013609018,0.4965175986289978,0.3738620419971225,0.0010000000474974513
[16],relu,32,6,0.3193128074491539,0.28808429545959974,0.416985821723938,0.4032394671472182,0.2730890002150332,0.2674759454183413,0.5020172238349915,0.3718280045509017,0.0010000000474974513
[16],relu,32,7,0.3122855021327378,0.28467436907321253,0.4287140011787415,0.39916526719264667,0.2700474644733165,0.26581180140756205,0.5062455773353577,0.3702477304003816,0.0010000000474974513
[16],relu,32,8,0.3101480003243926,0.2821934356593201,0.43126189708709717,0.39825508584679387,0.26835491084018526,0.2646948296826294,0.5080795407295227,0.3695761905882018,0.0010000000474974513
[16],relu,32,9,0.30612569026544806,0.28084908107004775,0.43755834102630614,0.39606690854152415,0.2666201314687735,0.26379793048779665,0.5101359248161316,0.3688149291233954,0.0010000000474974513
[16],relu,32,10,0.3022567212685165,0.2796589650471573,0.44364453554153443,0.39391074878118687,0.2649478724667519,0.26315566359268905,0.5121054649353027,0.368078219184867,0.0010000000474974513
[16],relu,32,11,0.2996163781433409,0.27817971099200617,0.4474630832672119,0.3925464147130989,0.26352334403352295,0.26275002120759333,0.513755202293396,0.3674631996949468,0.0010000000474974513
[16],relu,32,12,0.2984633375233379,0.276998195420722,0.4485758662223816,0.39214410634241814,0.262340303181768,0.26212137753349324,0.5149886131286621,0.366999454320938,0.0010000000474974513
