layers,activation,batch_size,df,statistic,p_value
[16],relu,32,4,47.26444281581051,1.0
[16],relu,64,4,43.49170928031467,1.0
[16],prelu,32,4,51.12171444820634,1.0
[16],prelu,64,4,27.954873425842717,1.0
[32],relu,32,4,32.345112849031054,1.0
[32],relu,64,4,30.960371590473013,1.0
[32],prelu,32,4,36.38198305154937,1.0
[32],prelu,64,4,26.137256652932678,1.0
[64],relu,32,4,21.43029015022273,1.0
[64],relu,64,4,23.730922277318452,1.0
[64],prelu,32,4,39.20404212078492,1.0
[64],prelu,64,4,27.021184336159237,1.0
"[32, 16]",relu,32,4,32.38874530723812,1.0
"[32, 16]",relu,64,4,32.715818505427904,1.0
"[32, 16]",prelu,32,4,27.935191115218558,1.0
"[32, 16]",prelu,64,4,26.667757201161756,1.0
"[64, 32, 16]",relu,32,4,31.90605670041716,1.0
"[64, 32, 16]",relu,64,4,33.3084943643996,1.0
"[64, 32, 16]",prelu,32,4,34.16885962362246,1.0
"[64, 32, 16]",prelu,64,4,41.03210564306715,1.0
