layers,activation,batch_size,epoch,loss,mae,root_mean_squared_error,r2_score,val_loss,val_mae,val_root_mean_squared_error,val_r2_score,loss_mean,mae_mean,root_mean_squared_error_mean,r2_score_mean,val_loss_mean,val_mae_mean,val_root_mean_squared_error_mean,val_r2_score_mean
[16],prelu,32,1,0.13855556693361726,0.04180140977464492,0.06605509155894966,0.2652976063096091,0.060211596321612555,0.02091325380097567,0.03651610299500482,0.10241727607605516,0.6083458332697613,0.3910485352468963,0.5563136020067253,-0.12203876972198487,0.36918774478883337,0.3083260818726227,0.43088681405472906,0.32971898317337034
[16],prelu,32,2,0.02521614995317426,0.010945402941062037,0.015107373698878265,0.05334333079862947,0.028078272484797072,0.009440125078957744,0.016460046205200016,0.019323016187865267,0.4238925330219508,0.3376192346971048,0.4644913285990982,0.22563062906265255,0.3109000631997142,0.2865312416302945,0.3951603866378818,0.43867709636688235
[16],prelu,32,3,0.018153356761482196,0.007639797453024025,0.011516018712125433,0.040809582070067615,0.024832815631227738,0.007280988934109478,0.014650308354327983,0.020679079784780664,0.3829393682420269,0.3195653821696499,0.4411235228656681,0.301747453212738,0.29458955055461566,0.28049134065296144,0.38468710845893495,0.46784056425094606
[16],prelu,32,4,0.011398452651542528,0.0050250395276189115,0.0076691875404463015,0.028645835377128382,0.023893481027257857,0.0074207083544622675,0.014348992261889047,0.023719635865117546,0.35507781621766654,0.3068603869126635,0.42463504122318474,0.3531786680221557,0.28582440697023676,0.2748843233623512,0.3791189808897194,0.48300048112869265
[16],prelu,32,5,0.011603822288733724,0.005779639920951438,0.007545291667701428,0.028792063709288565,0.022405852811831772,0.007283207984975559,0.01360767032786933,0.025918310957688793,0.3435772060763496,0.29949549050488067,0.4178558479230491,0.3736279964447021,0.2800134512734007,0.27172205625774726,0.37557144120503616,0.49248055219650266
[16],prelu,32,6,0.011656203810715702,0.005654666756466198,0.007124252776662779,0.026251956668560738,0.020807305065179017,0.007064150172048612,0.012633061000828966,0.02594429709945443,0.3294671160440622,0.29330047573268225,0.4092905642386631,0.3990745902061462,0.27642631111879695,0.26909298750718247,0.37355260592181383,0.4978463172912598
[16],prelu,32,7,0.010028539145523045,0.004888018213534717,0.006794168000916831,0.022291412895340618,0.020911133578513187,0.00668165202171541,0.012849976701816035,0.026903547380880324,0.3209308636456271,0.2889650118192035,0.40420150846062236,0.41402583122253417,0.27361620484420884,0.26786398353476865,0.3720193623526698,0.5019301652908326
[16],prelu,32,8,0.008364274742400986,0.0035361071001367736,0.004373129876031578,0.018275448444427887,0.020126283218045486,0.006836464077994814,0.012464663630941213,0.02760163705112949,0.31508608284727346,0.2858505655478469,0.4008079720094913,0.4238552451133728,0.2717331809158624,0.267331720459165,0.3711500757963988,0.5041965484619141
[16],prelu,32,9,0.007065930094334364,0.002703152489618829,0.003550208919253,0.016844838712182144,0.01987919604551582,0.00652460039511533,0.012319680297749167,0.02732835821854325,0.3085784530529897,0.28272227916315795,0.39692078194980807,0.43498811721801756,0.2679957061011752,0.26552177184067605,0.36893192908456307,0.5101005673408509
[16],prelu,32,10,0.007709881642707775,0.0021934526003526706,0.002592597102473878,0.01704654992032908,0.01936493981758612,0.0065987833477837,0.012057633312555674,0.027995357325375187,0.3065459098159701,0.2813121334794846,0.39597346644509995,0.4376590609550476,0.2669206343845099,0.26467417910890934,0.368597170437833,0.5109406590461731
