layers,activation,batch_size,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,0.275783,0.255472,0.269577,0.261228,0.380772,0.366414,0.479597,0.516412
[16],relu,64,0.278116,0.256087,0.270295,0.261254,0.382084,0.366734,0.475315,0.515529
[16],prelu,32,0.276634,0.256258,0.270165,0.261742,0.381278,0.366931,0.478083,0.515113
[16],prelu,64,0.275798,0.255591,0.269648,0.261247,0.380705,0.366479,0.479573,0.516288
[32],relu,32,0.272144,0.255629,0.268139,0.261314,0.377804,0.366118,0.48767,0.517218
[32],relu,64,0.271913,0.255297,0.268004,0.260946,0.377655,0.365898,0.488067,0.517834
[32],prelu,32,0.272287,0.256155,0.268343,0.261564,0.37785,0.366554,0.487193,0.516098
[32],prelu,64,0.271184,0.255727,0.267851,0.261272,0.377183,0.366239,0.489354,0.516975
[64],relu,32,0.268811,0.256327,0.266766,0.261405,0.375091,0.366255,0.495092,0.51686
[64],relu,64,0.269364,0.256587,0.266951,0.261584,0.375415,0.366374,0.494238,0.516542
[64],prelu,32,0.268618,0.256254,0.266711,0.261721,0.375038,0.366265,0.495304,0.516825
[64],prelu,64,0.26802,0.25591,0.26648,0.261344,0.374649,0.366063,0.496303,0.517376
"[32, 16]",relu,32,0.285702,0.258747,0.272284,0.25959,0.385353,0.366459,0.467036,0.516467
"[32, 16]",relu,64,0.285224,0.258812,0.272203,0.259774,0.385147,0.366561,0.467752,0.51616
"[32, 16]",prelu,32,0.282915,0.259986,0.271752,0.260557,0.383262,0.36719,0.472741,0.514494
"[32, 16]",prelu,64,0.281497,0.259139,0.271013,0.260086,0.382472,0.366697,0.475103,0.515806
"[64, 32, 16]",relu,32,0.28619,0.263666,0.270723,0.259561,0.382895,0.367098,0.473818,0.514867
"[64, 32, 16]",relu,64,0.285739,0.264423,0.270575,0.259712,0.382613,0.367658,0.474599,0.513444
"[64, 32, 16]",prelu,32,0.280184,0.263236,0.269077,0.259263,0.379273,0.367339,0.483744,0.514234
"[64, 32, 16]",prelu,64,0.280927,0.263732,0.269207,0.259208,0.379498,0.367443,0.483035,0.513941
