layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,281,0.2677175005257747,0.2665917688771964,0.4932805776596069,0.3759238359924665,0.2526192190203001,0.2599299156267384,0.5202298760414124,0.364976597326473,2.1093751001899363e-05
[16],relu,64,267,0.2681383908142508,0.2666430055164255,0.4925615191459656,0.3761681623872462,0.2531835855862343,0.2599465405992994,0.5193823933601379,0.3653226072237411,1.0937500519503374e-05
[16],prelu,32,285,0.2672743816156324,0.2667099661874589,0.4940188765525818,0.375655758878105,0.253110058439312,0.2602276981876101,0.5193198561668396,0.3653570378585591,1.7187500816362444e-05
[16],prelu,64,296,0.2671434937514372,0.2662852126413464,0.4943647027015686,0.3755063500845341,0.2529448072303243,0.2599534026200677,0.5197107195854187,0.3652002779691675,1.0937500519503374e-05
[32],relu,32,242,0.263376217004219,0.2652688092556605,0.501529061794281,0.3728395179454793,0.2522670276589617,0.2601650904987447,0.5208969950675965,0.3647181914679602,5.78125027459464e-05
[32],relu,64,274,0.2633699322845739,0.2648729062586902,0.501568615436554,0.3728399741319074,0.2521104532982489,0.2597748608135294,0.5212120532989502,0.3646003856700273,1.250000059371814e-05
[32],prelu,32,290,0.2622384730439241,0.2645847309110735,0.5035781979560852,0.3720898314764962,0.2525756003464867,0.2599910798534977,0.5202988386154175,0.364970695966294,1.015625048239599e-05
[32],prelu,64,268,0.2620278201242687,0.2646087097205892,0.5040130496025086,0.3719279868407086,0.2524870819335461,0.2600292086647778,0.52048761844635,0.3648970219152508,1.95312509276846e-05
[64],relu,32,261,0.2601216322955835,0.2638456193535353,0.5076041579246521,0.3705686281530145,0.2524799628915363,0.2601586515818062,0.5204050064086914,0.3649078882658434,1.875000089057721e-05
[64],relu,64,270,0.2605004937271024,0.2638837861269242,0.5068682909011841,0.3708356042001193,0.2521590398390242,0.2599059120651499,0.5210163712501525,0.3646763795606803,2.5000001187436283e-05
[64],prelu,32,299,0.2596558136830514,0.2635458952989695,0.5084926843643188,0.3702318295195878,0.2512701205848482,0.2595624982410974,0.5226295113563537,0.3640423622085448,7.500000356230885e-05
[64],prelu,64,266,0.259568311710562,0.2632720260158747,0.5086626768112182,0.3701754517592101,0.2517749659013676,0.2597765946506964,0.5217135190963745,0.3644016369427276,5.937500282016117e-05
"[32, 16]",relu,32,288,0.2721254186715463,0.2677309119840847,0.4873393297195434,0.3781396112885302,0.254120188806244,0.2585926834472142,0.5199067234992981,0.3651370941979761,3.906250185536919e-05
"[32, 16]",relu,64,280,0.2732180671440528,0.2683564011000388,0.4851651310920715,0.3789072841194302,0.2538239362493329,0.2589660824269725,0.5203683018684387,0.3649412774339535,4.84375023006578e-05
"[32, 16]",prelu,32,295,0.2681891062383606,0.2671816053501276,0.4949019312858581,0.3753437207048128,0.2551169058652882,0.2594602875148622,0.5180114030838012,0.3658272226612208,4.6093752189335646e-05
"[32, 16]",prelu,64,261,0.2695929837123932,0.2672089435615311,0.4922898173332214,0.376299741479713,0.2547947247823781,0.2592086395454342,0.5187648415565491,0.3655648257066352,7.187500341387931e-05
"[64, 32, 16]",relu,32,287,0.2676902803887236,0.2656343240181168,0.4977546095848083,0.3742484068417214,0.2565617814079661,0.2581045044229934,0.5174773573875427,0.366076315560777,9.453125448999344e-05
"[64, 32, 16]",relu,64,294,0.2657000039520207,0.2650087137580644,0.5015287041664124,0.3728630487524035,0.2577068754718128,0.2586042816363149,0.5153087258338929,0.3669453191570843,2.656250126165105e-05
"[64, 32, 16]",prelu,32,300,0.2619051231467642,0.2639553220745026,0.5079220414161683,0.3704663240672477,0.2569613895336154,0.2576430878489193,0.5159752845764161,0.3666831350089375,3.203125152140274e-05
"[64, 32, 16]",prelu,64,297,0.2630258096988452,0.2641593347258329,0.5059606790542602,0.3711910034962998,0.2571397658223424,0.2578411352203708,0.5157385110855103,0.3667614063866544,2.265625107611413e-05
