layers,activation,batch_size,epoch,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,282,0.268598,0.252592,0.26675,0.260013,0.376538,0.364958,0.491616,0.520278
[16],relu,64,249,0.270239,0.253076,0.267418,0.260062,0.377642,0.365243,0.488594,0.51959
[16],prelu,32,283,0.270315,0.253026,0.26783,0.260365,0.377787,0.3653,0.488288,0.519458
[16],prelu,64,272,0.26851,0.252884,0.266909,0.259866,0.376473,0.365154,0.491784,0.519836
[32],relu,32,300,0.265323,0.252068,0.265801,0.259941,0.374215,0.364579,0.497819,0.521261
[32],relu,64,292,0.264794,0.252061,0.265457,0.259717,0.373843,0.364566,0.498858,0.521297
[32],prelu,32,293,0.263904,0.252535,0.265244,0.259936,0.373268,0.364941,0.500405,0.520378
[32],prelu,64,296,0.264356,0.252329,0.265098,0.259883,0.373577,0.364786,0.499591,0.520773
[64],relu,32,293,0.260538,0.252341,0.263896,0.260012,0.370865,0.364808,0.506808,0.520682
[64],relu,64,295,0.260719,0.2521,0.263924,0.259838,0.370999,0.364634,0.506451,0.521125
[64],prelu,32,291,0.261143,0.251129,0.264012,0.259605,0.371295,0.363946,0.505681,0.522872
[64],prelu,64,291,0.260211,0.251586,0.263593,0.259608,0.370633,0.364272,0.507437,0.522033
"[32, 16]",relu,32,285,0.274211,0.25402,0.268657,0.258585,0.379587,0.365065,0.483375,0.520083
"[32, 16]",relu,64,289,0.274383,0.253779,0.268904,0.258846,0.379722,0.36492,0.482931,0.520415
"[32, 16]",prelu,32,266,0.272159,0.255058,0.268447,0.259441,0.378083,0.365745,0.487452,0.518226
"[32, 16]",prelu,64,236,0.271817,0.254611,0.26807,0.259166,0.377817,0.365397,0.488174,0.519217
"[64, 32, 16]",relu,32,194,0.274092,0.255593,0.268018,0.257957,0.378211,0.364821,0.487152,0.520797
"[64, 32, 16]",relu,64,185,0.275752,0.256662,0.268428,0.259393,0.379294,0.365511,0.484164,0.518914
"[64, 32, 16]",prelu,32,197,0.268659,0.25636,0.266138,0.258546,0.374744,0.365731,0.496434,0.518469
"[64, 32, 16]",prelu,64,214,0.265053,0.255879,0.265093,0.25802,0.372397,0.365611,0.502786,0.518613
