layers,activation,batch_size,duration
[16],relu,32,1626.0053265094757
[16],relu,64,1715.164281129837
[16],prelu,32,1618.1338348388672
[16],prelu,64,1577.5360016822815
[32],relu,32,1564.6784665584564
[32],relu,64,1557.36367726326
[32],prelu,32,1598.1463923454285
[32],prelu,64,1604.0225794315338
[64],relu,32,1585.0592336654663
[64],relu,64,1590.8324801921844
[64],prelu,32,1630.9854373931885
[64],prelu,64,1638.9971227645874
"[32, 16]",relu,32,1810.3226432800293
"[32, 16]",relu,64,1855.7883036136627
"[32, 16]",prelu,32,1931.3477401733398
"[32, 16]",prelu,64,1960.1248698234558
"[64, 32, 16]",relu,32,2299.5927815437317
"[64, 32, 16]",relu,64,2497.7007598876953
"[64, 32, 16]",prelu,32,2627.499517440796
"[64, 32, 16]",prelu,64,2013.690592288971
