layers,activation,batch_size,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[64],prelu,32,0.8441652382688003,0.4327090731442866,-0.4819602966308594,0.6341722411778363,0.49101113227428167,0.3167811733315654,-0.030029773712158203,0.4674598019060955,0.0010000000474974513
[64],prelu,32,0.58253756925175,0.3717163613680593,0.01778489351272583,0.5162882511124471,0.4139230055488745,0.2992484914392693,0.15578210353851318,0.42320096608156177,0.0010000000474974513
[64],prelu,32,0.5179432133229802,0.3550533737768724,0.13903433084487915,0.48337239133330273,0.3825993548586757,0.2941757663161941,0.22921627759933472,0.4043762405760179,0.0010000000474974513
[64],prelu,32,0.47159396265201947,0.33793832151612035,0.22528642416000366,0.45852131682037267,0.35931996503421165,0.28417883075611616,0.2828887701034546,0.3900431295203635,0.0010000000474974513
[64],prelu,32,0.46951832785798014,0.3389125629525016,0.2265496850013733,0.45814731318379653,0.33175724771661635,0.273337848632896,0.3471032977104187,0.37217022696837754,0.0010000000474974513
[64],prelu,32,0.46015910808769056,0.33553764977167183,0.24177902936935425,0.453614401528706,0.328420806142737,0.2743621745745323,0.35180968046188354,0.3708263910707123,0.0010000000474974513
[64],prelu,32,0.40198202734185645,0.31188823077850064,0.35077154636383057,0.41974709140236643,0.30810987805844015,0.2643033553077134,0.3982659578323364,0.35729065763127,0.0010000000474974513
[64],prelu,32,0.42540837932588166,0.3165794069861547,0.30314749479293823,0.434869910593267,0.3008333726030815,0.26506353438871433,0.41274696588516235,0.3529652877202123,0.0010000000474974513
[64],prelu,32,0.4268552719333681,0.3227954126321633,0.2977020740509033,0.4365657042510477,0.2981309518058935,0.2618942999201037,0.41600745916366577,0.3519840909650603,0.0010000000474974513
[64],prelu,32,0.41791172561121837,0.3212315216267841,0.31230485439300537,0.43200313933959106,0.29461907473623533,0.2623659264237114,0.4214125871658325,0.35035142303522976,0.0010000000474974513
[64],prelu,32,0.4089212619378967,0.3147980691176005,0.3270718455314636,0.4273397533564895,0.28694111697558056,0.2577467874461824,0.437114953994751,0.34556458014394836,0.0010000000474974513
[64],prelu,32,0.38964984350451687,0.31084636128728643,0.36165422201156616,0.4162142241742753,0.2847625186233107,0.25682177662547495,0.4394247531890869,0.3448548271240349,0.0010000000474974513
[64],prelu,32,0.40375023083612493,0.3109275894743585,0.3322131633758545,0.42570413562628745,0.2831058796841454,0.25597838212346746,0.4404757022857666,0.34453143585172774,0.0010000000474974513
[64],prelu,32,0.3715576621080725,0.2976737327483108,0.3916795253753662,0.4063078009098071,0.27765418283965787,0.2550333747612943,0.4509199857711792,0.341300721333269,0.0010000000474974513
[64],prelu,32,0.372462101952505,0.30018065940719385,0.38765400648117065,0.40764992902830993,0.2740985245223806,0.25335843153456056,0.45675456523895264,0.3394825264853361,0.0010000000474974513
[64],prelu,32,0.38346414317600913,0.30545887693930696,0.3643144369125366,0.41534608239967735,0.2721748199727387,0.25234767467463315,0.45867496728897095,0.3388819471296985,0.0010000000474974513
[64],prelu,32,0.35681583292304897,0.2933371535958414,0.4132941961288452,0.399024091731436,0.27253373305162476,0.25187148374308216,0.4550389051437378,0.34001814813174025,0.0010000000474974513
[64],prelu,32,0.3761414966327342,0.29966550006020887,0.37404781579971313,0.41215399474082015,0.27220736092841585,0.25265672060197575,0.453113853931427,0.34061819962836404,0.0010000000474974513
[64],prelu,32,0.3547446073043018,0.2928788167191706,0.41300517320632935,0.3991223666596023,0.26742654183999837,0.2513456585389644,0.4621732234954834,0.3377851803010441,0.0010000000474974513
[64],prelu,32,0.3581083112437199,0.2937349729891011,0.4044906497001648,0.4020066504123259,0.2654949194051487,0.24958043589559767,0.46432793140411377,0.337107844034687,0.0010000000474974513
[64],prelu,32,0.3486797245889047,0.2939494700519046,0.4205837845802307,0.3965375031698512,0.26648493451088495,0.24990027188219396,0.45935380458831787,0.33866940625029923,0.0010000000474974513
[64],prelu,32,0.34691434669288684,0.2894187940349904,0.42201441526412964,0.39604765000500064,0.2651423095838985,0.249802183257209,0.4601873755455017,0.3384082091900354,0.0010000000474974513
[64],prelu,32,0.3509364771257542,0.2920834573874232,0.41239631175994873,0.3993293184435608,0.2620006169355987,0.24885900787631915,0.46549469232559204,0.33674051626210955,0.0010000000474974513
