layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,1,0.7200419045636285,0.42151890854806895,-0.37626324892044066,0.5935843042785179,0.5261362653634503,0.36572308349355,-0.037358653545379636,0.5061715657623581,0.0010000000474974513
[16],relu,32,2,0.548800663982162,0.37533592682773065,-0.043135786056518556,0.5188815523141339,0.4027585213905761,0.3215817720972448,0.21985886096954346,0.4424709806219849,0.0010000000474974513
[16],relu,32,3,0.491923929263084,0.3539358588938784,0.06810245513916016,0.49079319456887377,0.3623381128023384,0.3058471786032556,0.305183482170105,0.4191765581152379,0.0010000000474974513
[16],relu,32,4,0.4524927060021831,0.34215542740716276,0.14428097009658813,0.47082463187010104,0.3418681799215535,0.2976125813185906,0.347997784614563,0.40682884830493704,0.0010000000474974513
[16],relu,32,5,0.4335563558791445,0.33692847664005354,0.18089158535003663,0.4606838346655418,0.3283252906181847,0.2924376485217989,0.3756286859512329,0.3984638672798245,0.0010000000474974513
[16],relu,32,6,0.4116649129208986,0.32836121281835895,0.2230135679244995,0.4486395134393484,0.31873459257265785,0.2879823389819952,0.3953617334365845,0.3924387491149398,0.0010000000474974513
[16],relu,32,7,0.39619422132664417,0.31948491597559736,0.25287054777145385,0.43993124267307293,0.3098864353821111,0.2840402544536772,0.4129303455352783,0.38684538051681266,0.0010000000474974513
[16],relu,32,8,0.38776742745347936,0.3147484323660817,0.2690059900283813,0.43493683412629947,0.30358820264797687,0.28090639347351487,0.42576553821563723,0.382822814572088,0.0010000000474974513
[16],relu,32,9,0.372770051793185,0.309915527143573,0.29757137298583985,0.4267625987481112,0.29719963429524743,0.2776924821121763,0.43862223625183105,0.37870539572568834,0.0010000000474974513
[16],relu,32,10,0.36001720272636073,0.30645387946308855,0.32201499938964845,0.4193558042457751,0.29258551843776665,0.27504741933686494,0.44797238111495974,0.375720527346014,0.0010000000474974513
[16],relu,32,11,0.35534342395993973,0.30402882967887435,0.3309621334075928,0.41660868020402636,0.2889594211712363,0.2731331457584705,0.4550666809082031,0.37339834005878486,0.0010000000474974513
[16],relu,32,12,0.3536018260213356,0.30113509450558984,0.33372753858566284,0.4157533116992866,0.2864526914435748,0.27160790704624177,0.45998936891555786,0.3717973435299602,0.0010000000474974513
[16],relu,32,13,0.34358443602732686,0.2990972438247346,0.35295788049697874,0.40961523069357614,0.28239394781946875,0.26978679388071763,0.4680739760398865,0.3691333320496176,0.0010000000474974513
[16],relu,32,14,0.34403273156631714,0.29773911115974283,0.3515592932701111,0.41016394435627995,0.27996558386275333,0.26852585930128603,0.4731035947799683,0.3675416249886135,0.0010000000474974513
[16],relu,32,15,0.3404464107501506,0.2964406603002259,0.35802937746047975,0.4081057417865496,0.27755036669463834,0.26773280889892764,0.4773447275161743,0.3660355274626702,0.0010000000474974513
[16],relu,32,16,0.334521325684442,0.2942629631038695,0.36921814680099485,0.40441348557626,0.2759954186541604,0.2666404681876696,0.48062180280685424,0.3650383790538206,0.0010000000474974513
[16],relu,32,17,0.32588596290159316,0.2912425676629265,0.3854816913604736,0.39923374392811634,0.2741603607461346,0.26575785857860434,0.4841819524765015,0.3638678951821154,0.0010000000474974513
[16],relu,32,18,0.3283071361161424,0.2898415678133833,0.38049534559249876,0.40091474675968913,0.2721271381856847,0.2650247716335508,0.48770169019699094,0.3625908240640342,0.0010000000474974513
[16],relu,32,19,0.31535254617276953,0.2869472670149373,0.40559839010238646,0.39266467154753165,0.27065997642702055,0.2641864327386013,0.49066261053085325,0.3616465766827245,0.0010000000474974513
[16],relu,32,20,0.31694304783464755,0.28506963473125646,0.4019806027412415,0.3938551938024189,0.2695014235711558,0.2636040619347136,0.49253110885620116,0.3609780958199095,0.0010000000474974513
[16],relu,32,21,0.31053517324054225,0.2844494302113982,0.41439878940582275,0.38976784555982513,0.2676496930046947,0.2629804310998708,0.49591162204742434,0.35981324248199664,0.0010000000474974513
[16],relu,32,22,0.31152829511537383,0.2840556497150583,0.41190634965896605,0.3905944474556392,0.26645865750968134,0.2622718990972067,0.49809759855270386,0.3590635192924389,0.0010000000474974513
[16],relu,32,23,0.3106654309851094,0.28422508253211476,0.41334292888641355,0.39014779496986607,0.2653552019629265,0.26183796757496897,0.49998615980148314,0.3583965570539176,0.0010000000474974513
[16],relu,32,24,0.30683920259196573,0.28140257768504134,0.42032424211502073,0.3878164252786288,0.2640142568693261,0.26141939226092276,0.5021977186203003,0.3575792545883304,0.0010000000474974513
[16],relu,32,25,0.30808625672922063,0.28153288443270635,0.4174990177154541,0.3887039827298404,0.26365982868186416,0.26109643798159626,0.5026130080223083,0.35744231168940593,0.0010000000474974513
[16],relu,32,26,0.3017024959925222,0.27908034018071254,0.4297207236289978,0.3846707832160817,0.2626878459560894,0.2606943072636977,0.5042778849601746,0.35686714831525407,0.0010000000474974513
[16],relu,32,27,0.3033849168602888,0.2804017882240776,0.4259925127029419,0.3858662588316824,0.26227561235240715,0.26037555250331323,0.5049630284309388,0.3566623973303614,0.0010000000474974513
[16],relu,32,28,0.3007908213899739,0.27849710459436233,0.4306514263153076,0.38426791779603464,0.2620163194772473,0.25999083563145786,0.5051685690879821,0.35659000520274475,0.0010000000474974513
[16],relu,32,29,0.29919871775762097,0.277559135682706,0.4334346175193787,0.3833450355725009,0.2609362551929758,0.25970246064138075,0.506843876838684,0.3559594212890475,0.0010000000474974513
[16],relu,32,30,0.29599305750297233,0.27677845523199474,0.4395527124404907,0.38130648375892473,0.260353297651932,0.2594367462472091,0.5076364755630494,0.35565157585544066,0.0010000000474974513
[16],relu,32,31,0.29761767969848957,0.27599102904336226,0.43596317768096926,0.38248992123301406,0.25948856059422554,0.2589843333115261,0.5091454267501831,0.35514160086328717,0.0010000000474974513
[16],relu,32,32,0.296858181961548,0.27499301296781437,0.4373114585876465,0.3820986273804451,0.2594212390162582,0.25888369414494167,0.5090377449989318,0.35519701795506775,0.0010000000474974513
[16],relu,32,33,0.29493662153189776,0.27535259795336875,0.44074676036834715,0.3809461698780773,0.2586940976398756,0.2586039210027845,0.5101176500320435,0.35478771891795724,0.0010000000474974513
[16],relu,32,34,0.29389736399061733,0.27575991750434287,0.4424872279167175,0.38026511091987925,0.2577123900472028,0.25801615487550755,0.5121137738227844,0.35414516137685575,0.0010000000474974513
[16],relu,32,35,0.2939940107133284,0.2744398034343127,0.44203598499298097,0.380486715025277,0.2572311081067268,0.257651049134404,0.5127609729766845,0.35391013462354615,0.0010000000474974513
[16],relu,32,36,0.2929410730975361,0.2738920580932936,0.4436879396438599,0.379874825839057,0.2561741007703251,0.2572446090853237,0.5147055983543396,0.35324272061985834,0.0010000000474974513
[16],relu,32,37,0.2918314568795206,0.27332350476735645,0.44581401348114014,0.37921871208768826,0.2556812537910126,0.25685292977675167,0.5153954505920411,0.35298067438609804,0.0010000000474974513
[16],relu,32,38,0.29117180223378986,0.27336337074200856,0.44660588502883913,0.3789010942242731,0.25562533322659853,0.2568998368475082,0.5152345776557923,0.3530444764331798,0.0010000000474974513
[16],relu,32,39,0.2937533001221266,0.2731787854488513,0.4415046453475952,0.3806727905183992,0.2551268452218379,0.2565848341288165,0.5160123229026794,0.35278410401930155,0.0010000000474974513
[16],relu,32,40,0.28674946688776143,0.271988295924473,0.4549339056015015,0.3760721482545287,0.2547962872781994,0.25626710020088417,0.516306483745575,0.352646160782838,0.0010000000474974513
[16],relu,32,41,0.284626100880047,0.2711734219706664,0.4587312817573547,0.3747323186232761,0.2537654198783216,0.2559009738566215,0.5181494355201721,0.35199224558458625,0.0010000000474974513
[16],relu,32,42,0.28371569024718346,0.2706784679759113,0.46019132137298585,0.37418180774767834,0.2533106533040449,0.2557700432686124,0.5188770294189453,0.3517446156758373,0.0010000000474974513
[16],relu,32,43,0.2851908138368143,0.2709882696726802,0.4571053862571716,0.3753094107653252,0.25330562042645505,0.25550852259997947,0.5186789274215698,0.35181355537655357,0.0010000000474974513
[16],relu,32,44,0.2906237127172808,0.2713366975162147,0.4462644100189209,0.37903749946145865,0.25313935626251977,0.25542965857549016,0.5187147378921508,0.3517906471441553,0.0010000000474974513
[16],relu,32,45,0.28734785171725813,0.2709723684703735,0.45243771076202394,0.37690830282202514,0.25298223661602204,0.25529789523696966,0.5188675165176392,0.3517509151170569,0.0010000000474974513
[16],relu,32,46,0.28171238808925125,0.26922857765829544,0.46327502727508546,0.37317466358508283,0.2525350337681613,0.25507858314444776,0.5194857716560364,0.3515125384167197,0.0010000000474974513
[16],relu,32,47,0.2845020591999122,0.26953267866519753,0.45729861259460447,0.37514339846930783,0.25164365804427646,0.2548479580134851,0.5212068557739258,0.3509324385388542,0.0010000000474974513
[16],relu,32,48,0.28088691207740896,0.2687034491233219,0.4644230127334595,0.3728011968155919,0.25131250288720974,0.25466881367745225,0.5216229438781739,0.3507824199049902,0.0010000000474974513
[16],relu,32,49,0.2845714964012661,0.26982521334321985,0.4568828344345093,0.37538669058201174,0.2512282955024066,0.2546293582693529,0.5215495824813843,0.35080779791736055,0.0010000000474974513
[16],relu,32,50,0.28084767260345705,0.26879015236204207,0.4637869596481323,0.37287739301052625,0.2512183844643915,0.25429070716326485,0.5213245272636413,0.35087860348346495,0.0010000000474974513
[16],relu,32,51,0.27520315732883827,0.2662379781829142,0.47477235794067385,0.3691499264103615,0.2510921449636615,0.25433265163022967,0.5214056134223938,0.3508572451228572,0.0010000000474974513
[16],relu,32,52,0.28266534808482024,0.269744557673834,0.4600396275520325,0.37426327003614707,0.2504700057896034,0.2541627903196854,0.5223692417144775,0.3504867315508523,0.0010000000474974513
[16],relu,32,53,0.28165084422871,0.26878091116773656,0.46176700592041015,0.3737022276504142,0.24996745752135058,0.25399338931224336,0.523178505897522,0.35019900765063006,0.0010000000474974513
[16],relu,32,54,0.2798352989183413,0.2676415148222465,0.4650240182876587,0.3725620952581767,0.2500343359148195,0.25352376160841694,0.5229928016662597,0.3503012525938745,0.0010000000474974513
[16],relu,32,55,0.28011946290938444,0.26806433486046843,0.46427026987075803,0.3728209338921302,0.24958688477232363,0.25339927893761105,0.5236325144767762,0.3500622007539151,0.0010000000474974513
[16],relu,32,56,0.2817406905222602,0.2681872633802063,0.46080358028411866,0.37398573365449794,0.24972497191302886,0.25346998323852954,0.5230953693389893,0.35023267002902214,0.0010000000474974513
[16],relu,32,57,0.2839152905875747,0.26844382438639774,0.45654935836791993,0.3755187036695474,0.2495896025386001,0.25358425916070015,0.5230819821357727,0.35022389120847375,0.0010000000474974513
[16],relu,32,58,0.2772652518429583,0.26647031348700356,0.46930321455001833,0.37104696766539647,0.24885291045683458,0.25320528953107413,0.5243920922279358,0.3497577021213728,0.0010000000474974513
[16],relu,32,59,0.2846928926333133,0.26961383853605103,0.45459086894989015,0.37617300455869757,0.2484913476292056,0.25294446667956355,0.5249355792999267,0.3495662658303228,0.0010000000474974513
[16],relu,32,60,0.2790627045365278,0.26716510596810383,0.46534804105758665,0.37239775662230556,0.24812223593601468,0.2526756658907101,0.525467824935913,0.34937610514943546,0.0010000000474974513
[16],relu,32,61,0.2821119661621028,0.2675732980500847,0.459287691116333,0.374570281635357,0.2480192339761175,0.25247031540436915,0.5255716800689697,0.3493420478843333,0.0010000000474974513
[16],relu,32,62,0.2749330322304598,0.265394649798275,0.4730658888816833,0.36972823585231007,0.24787611885507976,0.2524580760804355,0.525612735748291,0.3493129686580578,0.0010000000474974513
[16],relu,32,63,0.27647920228400974,0.26676320994406255,0.46971869468688965,0.3708566393541264,0.24731088014250419,0.25206781927985317,0.5266368746757507,0.34896668571135503,0.0010000000474974513
[16],relu,32,64,0.27589559809230807,0.2655610005007074,0.47077754735946653,0.37054251506820546,0.24715384057503256,0.25195717874775947,0.5267070531845093,0.34892738690810915,0.0010000000474974513
[16],relu,32,65,0.2764022667141049,0.2654622711501212,0.4696053028106689,0.3709199472024576,0.24678851890122738,0.2519554733296387,0.527212131023407,0.34873037629987075,0.0010000000474974513
[16],relu,32,66,0.2750387628513371,0.2661943652426763,0.47222137451171875,0.3700474538681708,0.24691686855614892,0.25207689923912746,0.5267919421195983,0.34887608847019164,0.0010000000474974513
[16],relu,32,67,0.27407525972297764,0.26533573427912144,0.4739581346511841,0.36945385422660265,0.24643122483147586,0.25208107822448494,0.5275734186172485,0.3485996518452137,0.0010000000474974513
[16],relu,32,68,0.2738318054416496,0.2659969103686294,0.47420973777770997,0.3693590016007681,0.2464764992304322,0.2517966126444001,0.5274311184883118,0.3486782994582428,0.0010000000474974513
[16],relu,32,69,0.2766106495232514,0.26569054107368906,0.46849981546401975,0.3713049900497052,0.24640390011603558,0.2516847177223634,0.5274112820625305,0.34868601372802954,0.0010000000474974513
[16],relu,32,70,0.2785342238094473,0.26709850348228015,0.4647407650947571,0.3726953355591701,0.24647802373303068,0.2517071481373996,0.5271095871925354,0.3487947663175506,0.0010000000474974513
[16],relu,32,71,0.2773700161421801,0.26616887956464685,0.4667355418205261,0.3718876843441706,0.2457875159449608,0.2516900361272155,0.5283109784126282,0.34835198055019523,0.0010000000474974513
[16],relu,32,72,0.27509462057923517,0.26656983438953086,0.47106178998947146,0.37045058385686,0.2459160357037115,0.2516002329480699,0.5279534459114075,0.34849273109027423,0.0010000000474974513
[16],relu,32,73,0.27785395323973033,0.26678215006364525,0.4655665159225464,0.3723906815339228,0.2456301746707789,0.25157446583193843,0.5282927513122558,0.3483615851618361,0.0010000000474974513
[16],relu,32,74,0.2742222873453074,0.2649635373933381,0.47253865003585815,0.3699475650656722,0.2457984916831383,0.25152886944682395,0.5278081297874451,0.3485329875369675,0.0010000000474974513
[16],relu,32,75,0.27231199973846804,0.2643843753311409,0.4760642409324646,0.36868263565189174,0.24571657668734428,0.2514758189913933,0.5279275298118591,0.3485105966040892,0.0010000000474974513
