layers,activation,batch_size,df,statistic,p_value
[16],relu,32,4,37.6700831783767,1.0
[16],relu,64,4,65.32350654238624,1.0
[16],prelu,32,4,155.02298043823563,0.9999999999997246
[16],prelu,64,4,61.76878037868812,1.0
[32],relu,32,4,63.57432498851992,1.0
[32],relu,64,4,116.2258735229795,1.0
[32],prelu,32,4,46.52499812260645,1.0
[32],prelu,64,4,43.62770312174108,1.0
[64],relu,32,4,53.68214923291209,1.0
[64],relu,64,4,53.931990909658985,1.0
[64],prelu,32,4,43.97607534155909,1.0
[64],prelu,64,4,58.94493542903424,1.0
"[32, 16]",relu,32,4,39.40024931791681,1.0
"[32, 16]",relu,64,4,27.475214760047553,1.0
"[32, 16]",prelu,32,4,55.90771211607513,1.0
"[32, 16]",prelu,64,4,29.599611964162847,1.0
"[64, 32, 16]",relu,32,4,36.94756471228858,1.0
"[64, 32, 16]",relu,64,4,41.8788566909797,1.0
"[64, 32, 16]",prelu,32,4,60.858183108762766,1.0
"[64, 32, 16]",prelu,64,4,63.005786768654254,1.0
