layers,activation,batch_size,epoch,loss,mae,root_mean_squared_error,r2_score,val_loss,val_mae,val_root_mean_squared_error,val_r2_score,loss_mean,mae_mean,root_mean_squared_error_mean,r2_score_mean,val_loss_mean,val_mae_mean,val_root_mean_squared_error_mean,val_r2_score_mean
[16],prelu,32,1,0.34860439468847443,0.08839224720738724,0.12907832408747735,0.7172711766961247,0.4411784559727123,0.11404537153823197,0.18122325786182233,0.6736018958074074,0.8761659853730315,0.44888883772063404,0.6503883943808502,-0.6980457305908203,0.734236566476951,0.3986259063771044,0.5805580529532715,-0.3464002966880798
[16],prelu,32,2,0.17639255298173134,0.04836823686691701,0.07670691430058904,0.3703103933300636,0.26918645158636045,0.07389379136711545,0.12816169107550787,0.3814589612523565,0.6382299842185141,0.38803521058840107,0.5581249058457726,-0.2271689772605896,0.5348690740971553,0.34913676197145416,0.49965443654364633,0.020569109916687013
[16],prelu,32,3,0.08025363982250838,0.021341895383150882,0.03694507283912801,0.17538342704983637,0.18714181411485226,0.050796276667307,0.0973893309650295,0.23987328647707218,0.514546449184877,0.3607247683598861,0.5027779496373286,0.017701220512390127,0.4490366148535602,0.325901633733499,0.460482961583213,0.1757824420928955
[16],prelu,32,4,0.05489178830607235,0.014025522129089281,0.026310149855016635,0.12221410663651816,0.14335690143367832,0.04030348387390338,0.07863724864632327,0.16289217554629135,0.47134576563493064,0.3483749263920234,0.48121630335469084,0.10289466381072994,0.40281618140761355,0.31256217104545014,0.4375989348967826,0.2586866974830627
[16],prelu,32,5,0.05121108336636089,0.012664091403851321,0.02483457331033439,0.11537052667035498,0.11688938306476666,0.03580432620776831,0.06660523058119472,0.11708846936708982,0.45360756762455595,0.34308412994165044,0.47188079949624095,0.13741686344146725,0.37090901081405325,0.3022206442613361,0.4205859034947399,0.3162997722625732
[16],prelu,32,6,0.0329841669296629,0.013155088267123896,0.018451129061694722,0.0737194531720598,0.0951571543155069,0.03073124359951168,0.05537021816907853,0.07866888646256279,0.43006241591512984,0.3330179899683925,0.4595321971194803,0.18410309553146356,0.3483633434383891,0.295063532284661,0.4083335805202125,0.3557239651679992
[16],prelu,32,7,0.016278113373313717,0.007442760285252309,0.010751585152633802,0.04283323670673046,0.08065265343208697,0.02734239423098383,0.04775455040035398,0.05426536063782552,0.4026037991818665,0.32698561942159565,0.44439600843326044,0.23793224096298213,0.3308317656014288,0.2889138446470258,0.39826940097158214,0.3868415474891662
[16],prelu,32,8,0.021605560466631996,0.011326815690270903,0.013280057732199433,0.05155472996929589,0.07127540752109099,0.02493807270006862,0.04285012122082387,0.039770268735906826,0.3969130211872992,0.32386079068269363,0.44113943609692585,0.24876899719238277,0.31861856955559104,0.2840908074299494,0.3910240679418018,0.4086092472076416
[16],prelu,32,9,0.02350936336600675,0.008091903077686244,0.013788887168007942,0.05890222660721278,0.0648940768647765,0.02301710170882783,0.039397916916760874,0.029817603597239718,0.39470141936817715,0.3210568678249371,0.43988532244168405,0.25265504121780397,0.30941302342136195,0.28057037546864294,0.38543716059526834,0.4250977635383606
[16],prelu,32,10,0.022750395104193605,0.008351969001858271,0.015624216048881218,0.04853776653593984,0.05939631173866485,0.021372925015507728,0.036189403069776034,0.025709006474064943,0.38558144198768696,0.31679442934283564,0.43473980852969624,0.2707251906394958,0.3017939900772673,0.27772294576071027,0.3807859979749306,0.4383774518966675
[16],prelu,32,11,0.020143343718133963,0.006793983522412259,0.012650374121952008,0.048026310318580116,0.05486003882011377,0.02014225944698126,0.03366243121453256,0.020317205370006163,0.37228995843704993,0.310878447474774,0.42695980237493736,0.2962568044662475,0.2958331029809885,0.27563446587074514,0.3771094383325229,0.4488717675209045
[16],prelu,32,12,0.012826033052846245,0.005484289088361149,0.007508165756900998,0.03555073602218108,0.05101327736015418,0.019163563516735413,0.031463245952783325,0.018577839625965924,0.3609115686212035,0.30856088982663915,0.4202989237157187,0.3183037519454956,0.2909792350497217,0.27363074026712636,0.37410713929687683,0.4572716474533081
[16],prelu,32,13,0.023651704896650905,0.010152835289567931,0.01567810347741305,0.05250713259141441,0.048355197253161404,0.01805703362014261,0.029924401298139454,0.018096682589676172,0.36396729772231257,0.3076097864879679,0.42209455540458685,0.3121697783470153,0.2865107300712535,0.27201806040060084,0.3712816920778167,0.4651975631713867
[16],prelu,32,14,0.01562030272856489,0.008204287080844369,0.012566860946139817,0.032490715355530705,0.046849391948722986,0.01714836615795417,0.02912177314235177,0.01978846883026822,0.3528621036963192,0.3042698742614084,0.4155836726943514,0.33392173051834106,0.2844319416725761,0.2704350289354882,0.3700208376387934,0.46865365505218504
[16],prelu,32,15,0.01775587753311808,0.00849549146820239,0.013966272305912625,0.038908230141019955,0.04636530228803733,0.017126346139607812,0.028994409686156356,0.019784076644729177,0.3443710869789404,0.30006900828576744,0.4103881698148471,0.3502801060676574,0.2819362066593037,0.26916361028549585,0.36841088977017955,0.4732663869857787
[16],prelu,32,16,0.017729440015389026,0.005215671697956316,0.012154433443007094,0.044621607176324816,0.043952887647294804,0.01642504519628727,0.02741816798905716,0.026157648316421356,0.3439698435509325,0.2986767757947913,0.41018526012843826,0.35051877498626705,0.2799340972282211,0.26889419647322593,0.3672519815308972,0.4760934591293335
[16],prelu,32,17,0.016335038200907308,0.006532325698606496,0.010757092550910322,0.039336713936912175,0.04298131329968318,0.01604026441303871,0.027031455959157534,0.025570687503353534,0.3455022720701226,0.3003085600248513,0.4112556554772757,0.3472489356994629,0.2788521244426613,0.26806361454632305,0.3666273965187735,0.4778429865837097
[16],prelu,32,18,0.020588382640426783,0.00909322343531057,0.013457172037072522,0.051477042612080866,0.043411502875459106,0.01607960148867032,0.027538920176493807,0.02406524940459993,0.3378291602734728,0.29550400038535546,0.40645737743859955,0.36191521883010863,0.2768188113691259,0.26694469555131645,0.3652727123984788,0.4818471670150757
[16],prelu,32,19,0.010964130816791647,0.007823687834719638,0.00986057606191326,0.022045168663258445,0.042327685229386354,0.01586292214234685,0.02674677279166423,0.025904210203395,0.33075886325052706,0.2943692429383383,0.4023045248325568,0.37593510150909426,0.27383550741220314,0.2660071115213175,0.36334787714983763,0.48709930181503297
[16],prelu,32,20,0.01336108686496789,0.007143256105588956,0.011244290553737284,0.029018456644214832,0.041931222114966776,0.01586577068522632,0.026658673481788582,0.026840013754055356,0.3334280685170864,0.29128841215227197,0.40404136196098595,0.3704097270965576,0.2721796177648174,0.2649924874431229,0.3622912236528028,0.4900333404541016
[16],prelu,32,21,0.014297448577979146,0.006641660480388872,0.010935504927215406,0.03458791955931337,0.04107916241509174,0.015747121687800066,0.026125008340265408,0.028167136999601813,0.3285757255163453,0.29073155140034806,0.40101707005877457,0.37952994108200067,0.27125391985347613,0.2647998720825423,0.3617771681762663,0.4913381218910217
[16],prelu,32,22,0.011524853499908944,0.006101061303094548,0.008925321912401175,0.030170170246461996,0.04194426027548483,0.015824631647692527,0.026781651889445472,0.027105256855044738,0.3292443720004267,0.29263696757385455,0.4015582173805252,0.37792032957077026,0.27076573345201843,0.2638513803252713,0.3614821589366307,0.49232409000396726
[16],prelu,32,23,0.004712146835791685,0.002906309562357736,0.005591490558811133,0.011321438340774353,0.04201736381751628,0.015699267050172726,0.027024833104870454,0.026469752200928662,0.32276985486390897,0.288982597073812,0.39760195300783885,0.39046603441238403,0.2693223344829863,0.2628516859752917,0.36054344268282085,0.495029079914093
[16],prelu,32,24,0.008013922111657735,0.00487536947889225,0.007579585733686165,0.020735625339236407,0.04136522327041794,0.01577763428823295,0.026566933770132087,0.02833453112789537,0.3204098223021088,0.2874101215486076,0.39614130199658076,0.3948147058486938,0.2685153787542694,0.2627589326268274,0.36010578668374876,0.4961014151573181
[16],prelu,32,25,0.013414565033236842,0.006601889827561435,0.009847332416369694,0.037318521094639644,0.041510606635413214,0.015500744887596039,0.02669847965582814,0.026953667657200947,0.3088500895268408,0.2838215398036777,0.3886208900333268,0.4170586585998535,0.2671655526348729,0.2617714831912716,0.3592360930771969,0.498617947101593
[16],prelu,32,26,0.008588262384047652,0.005079501650486971,0.008026936984498557,0.024134532790306928,0.0409732530936216,0.01542416174064243,0.02630901930160356,0.028037775976960885,0.3233249308295516,0.2884912522309835,0.39816829972252293,0.38853645324707026,0.26666198129513097,0.2619419596323403,0.3590040272714896,0.49915575981140137
[16],prelu,32,27,0.01147218904526747,0.005746109840437721,0.00903785123931347,0.022440282818191038,0.04037869369624122,0.015405004765131592,0.026023591165078925,0.03068676404672088,0.308439276888152,0.283117485360764,0.38862196961100975,0.41757466793060305,0.26532440483750835,0.2616092366837777,0.3581775138992608,0.5012887358665467
[16],prelu,32,28,0.007845933522384918,0.005955579653118761,0.007972413589985579,0.021916386062302368,0.04130698016450936,0.015570395311335425,0.026745970354077275,0.028861750701856637,0.3137242003893979,0.28323327973010953,0.39216181756445273,0.40689724683761597,0.26413848335960877,0.2609883441569412,0.3573722286358,0.5037381410598755
[16],prelu,32,29,0.015753590543019745,0.006620784463105274,0.012931646396777538,0.02786812608599216,0.04181199535367948,0.015348706574794077,0.027176568654965302,0.02871044265780507,0.3109206742574976,0.28262708155744976,0.39038785745549615,0.41235569715499876,0.26448511018561466,0.26062259845145197,0.3576814949408302,0.5029552936553955
[16],prelu,32,30,0.010770836095840192,0.005954153021528341,0.010470723910900936,0.015689903085348764,0.041188103914568945,0.015306674243215402,0.026751858339371732,0.03002305746041085,0.30729388332765134,0.28230368722043425,0.388159999202335,0.4192276358604431,0.263179139171826,0.26017179634668575,0.3568763347165593,0.50506432056427
[16],prelu,32,31,0.009059357175067041,0.005541863518147589,0.007840554021725035,0.02471490097372481,0.04112672436972126,0.015321479261907977,0.026733730380871214,0.030038369315885115,0.30701997674318454,0.28077886910036753,0.38802265143785386,0.41923712491989135,0.26222218718692647,0.2596938182350323,0.3562883882765448,0.5066930651664734
[16],prelu,32,32,0.019979551202570483,0.009904728446333173,0.016259057736638733,0.03236547574064221,0.04195470491648911,0.015437706689703469,0.027355999582491537,0.029554106207514978,0.30499155103671344,0.27931635530186066,0.3867254115658709,0.4234426379203796,0.2628363100104877,0.2594483268054207,0.35677200547774035,0.5054802536964417
[16],prelu,32,33,0.008786294305252103,0.004661942503962984,0.00903447047168857,0.017171906791732618,0.04125011234478127,0.01531873567341467,0.026797304762926927,0.029439364076715158,0.3075516293319118,0.2812878931326862,0.3885777937804393,0.41785584688186644,0.2623864257730649,0.25978588889337784,0.3565823452685536,0.5059191107749939
[16],prelu,32,34,0.008998580020954985,0.0050848982650187995,0.009208425196336226,0.01647193573959688,0.04030266133418972,0.015200628508265058,0.026225624118842692,0.031058775176092426,0.3027217498981142,0.2791853225643973,0.3854849690953731,0.42711007595062256,0.2602810729675218,0.2591645136279595,0.35521486998875706,0.5095321059226989
[16],prelu,32,35,0.008779297146334929,0.00669065614164486,0.00975043511777392,0.014104498465319476,0.03982660659469085,0.015017866837597637,0.026003754782898333,0.034099858898073016,0.29493218974976576,0.276827462539405,0.3803963013227839,0.4422179341316223,0.259648314837583,0.25863477242403415,0.35487381198096773,0.5102792859077454
[16],prelu,32,36,0.010550673288686396,0.005446115310331893,0.010238385406684229,0.01630133650349559,0.03932843524875454,0.014840206625175403,0.025613184707611196,0.03302984604683441,0.2954158127104023,0.27522388561178873,0.3807946067988063,0.4410297393798828,0.25872649927308544,0.2583132980877144,0.35432854438621764,0.5117754578590393
[16],prelu,32,37,0.009385131854140628,0.004386950458166363,0.009645683112868291,0.008690597036842737,0.04051746801060816,0.015100498756509392,0.026512634958844275,0.03219496579849168,0.294950104906516,0.2757818653113202,0.3805896449989155,0.44173201322555544,0.2585923864680857,0.25793385555161336,0.35425348938682627,0.5121759414672852
