layers,activation,batch_size,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,0.277899,0.248298,0.267735,0.253832,0.372649,0.351055,0.462724,0.51982
[16],relu,64,0.285639,0.254145,0.270137,0.255638,0.376798,0.354303,0.447329,0.507871
[16],prelu,32,0.279043,0.250516,0.268602,0.254814,0.372914,0.35191,0.460783,0.516989
[16],prelu,64,0.278405,0.249269,0.268353,0.25451,0.372574,0.351603,0.461436,0.517129
[32],relu,32,0.275564,0.251292,0.266115,0.254008,0.369015,0.351096,0.472742,0.519671
[32],relu,64,0.274883,0.249892,0.266097,0.253144,0.368775,0.35034,0.47359,0.522335
[32],prelu,32,0.278613,0.251154,0.267673,0.254405,0.370607,0.351211,0.465999,0.51872
[32],prelu,64,0.274037,0.249008,0.265861,0.253385,0.368103,0.349817,0.475355,0.523605
[64],relu,32,0.272881,0.252531,0.264157,0.253125,0.36513,0.349998,0.484061,0.523439
[64],relu,64,0.273455,0.252346,0.264249,0.253196,0.365321,0.349648,0.483829,0.524473
[64],prelu,32,0.271447,0.250848,0.263994,0.253082,0.364609,0.349218,0.486133,0.525423
[64],prelu,64,0.27192,0.25097,0.264142,0.253269,0.364972,0.349434,0.484648,0.524984
"[32, 16]",relu,32,0.291608,0.255484,0.26957,0.252299,0.375567,0.349881,0.453679,0.523335
"[32, 16]",relu,64,0.28814,0.255513,0.268439,0.251566,0.373539,0.349908,0.460722,0.523497
"[32, 16]",prelu,32,0.289523,0.25579,0.269256,0.252371,0.373556,0.349589,0.459252,0.524294
"[32, 16]",prelu,64,0.286032,0.254382,0.267871,0.251941,0.372048,0.349029,0.464888,0.526322
"[64, 32, 16]",relu,32,0.300295,0.269948,0.267748,0.252702,0.372667,0.350992,0.462626,0.520349
"[64, 32, 16]",relu,64,0.300592,0.270549,0.267931,0.253377,0.372873,0.351314,0.462371,0.519559
"[64, 32, 16]",prelu,32,0.293766,0.267136,0.266366,0.252544,0.369579,0.350266,0.471737,0.52267
"[64, 32, 16]",prelu,64,0.297605,0.269103,0.267132,0.252402,0.370516,0.350044,0.468793,0.52328
