layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,267,0.2575682341501518,0.2600588316329578,0.4973690629005432,0.3611441518549564,0.2400496706034448,0.2505952625230761,0.5314988613128662,0.3471878276905887,0.000131250006234
[16],relu,64,267,0.2540340483937441,0.2587862476989529,0.5030895233154297,0.3590058347795883,0.2397011532806673,0.2503206882879111,0.5306904077529907,0.3474065409469465,0.0001875000089057
[16],prelu,32,287,0.2538803820830074,0.2590159377462447,0.5040131688117981,0.3587068751883842,0.2391977368587618,0.2515294385356204,0.5322067618370057,0.3468311275442297,0.0001828125086831
[16],prelu,64,270,0.2538810503024126,0.259391325518371,0.5038081645965576,0.358776638660042,0.2392742526544663,0.2506880031538746,0.5320186495780945,0.3469517890175184,0.0001906250090542
[32],relu,32,272,0.2489160312407201,0.2570528809364743,0.5138935923576355,0.3551027884401798,0.239322025538685,0.2508973455512847,0.5323037028312683,0.3468613455242922,0.0002062500097963
[32],relu,64,288,0.2495403285944887,0.2569207939317631,0.5122905373573303,0.3556970917025464,0.2396326513465536,0.2509849363075658,0.5313687324523926,0.347199209645735,0.0001500000071246
[32],prelu,32,289,0.2476387919183802,0.2566455125072507,0.5157341957092285,0.3544179094964585,0.2392105639212682,0.2512036340140685,0.5320814847946167,0.3469776232126562,0.0001187500056403
[32],prelu,64,292,0.2492074282693836,0.2568263220223019,0.5131967186927795,0.3553746872636416,0.2391424755899407,0.2511439798468953,0.5325072646141052,0.3467751151545734,8.750000415602699e-05
[64],relu,32,298,0.2440163639486626,0.2553293799153379,0.5227031946182251,0.3518837090953894,0.2393931644773671,0.2512392385446641,0.5313876271247864,0.3471929465473724,0.0001937500092026
[64],relu,64,300,0.2445276108938175,0.255233688643157,0.5219650864601135,0.3521682441464404,0.2393875891259667,0.2514099738944068,0.5315282940864563,0.3471303483411162,7.187500341387931e-05
[64],prelu,32,295,0.244580500970882,0.2556286368392845,0.5218670010566712,0.3521769348256611,0.2390860827303896,0.2515837779859261,0.5320527791976929,0.3468916923835894,0.0001593750075699
[64],prelu,64,271,0.2438195004949865,0.2542781074967887,0.52325918674469,0.3516685095043848,0.2394610666985503,0.251395021807128,0.5313024044036865,0.3472009361712557,0.0001625000077183
"[32, 16]",relu,32,286,0.2610140617025719,0.2609890839390084,0.4963098645210266,0.3614250638841135,0.243633495555344,0.2512301347881502,0.5293878674507141,0.3478028016528435,0.0002656250126165
"[32, 16]",relu,64,273,0.2603289403933417,0.2595951661321886,0.4994450569152832,0.3603728215321592,0.244950843856007,0.2501659380780706,0.5280368804931641,0.3481897888557821,0.0002250000106869
"[32, 16]",prelu,32,299,0.2582471715084458,0.2604339851088122,0.5018646359443665,0.3594968816226638,0.2426986501273143,0.2507678205089035,0.5313592791557312,0.3470760464908293,9.375000445288606e-05
"[32, 16]",prelu,64,283,0.2571520470326866,0.259073906738979,0.5034574866294861,0.3589006975615082,0.2419180234363734,0.2503481231418069,0.532799768447876,0.3466554622512335,0.0002875000136555
"[64, 32, 16]",relu,32,283,0.2534116355599899,0.2565761366629695,0.5179185986518859,0.353639299541872,0.2489047965572441,0.2522720038329855,0.5246227145195007,0.349368806660803,0.0002375000112806
"[64, 32, 16]",relu,64,294,0.2548792187998939,0.2561375585598663,0.5153063535690308,0.3545591765222492,0.2501357281226831,0.253393443742038,0.5234232068061828,0.3499445054604346,0.0001687500080151
"[64, 32, 16]",prelu,32,281,0.2528834122373445,0.2570803260120627,0.517981743812561,0.3535261033994289,0.2494083553222263,0.2528507458136609,0.5233830451965332,0.3499028886262909,0.0001812500086089
"[64, 32, 16]",prelu,64,292,0.2497203823105034,0.2551334186608769,0.5240945100784302,0.3513583882266805,0.2491192496778433,0.2529436192535076,0.5241358995437622,0.3497269691008526,0.0003500000166241
