layers,activation,batch_size,epoch,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,299,0.260835,0.239866,0.2613,0.250776,0.363467,0.34708,0.490774,0.531797
[16],relu,64,191,0.265819,0.238992,0.262687,0.250347,0.367003,0.346699,0.480516,0.532635
[16],prelu,32,248,0.25865,0.238685,0.260519,0.251216,0.362016,0.34641,0.494832,0.533405
[16],prelu,64,287,0.258868,0.238795,0.260872,0.250805,0.362314,0.346607,0.494016,0.5329
[32],relu,32,269,0.252816,0.23897,0.257682,0.250776,0.3579,0.346609,0.506274,0.532943
[32],relu,64,265,0.251346,0.23909,0.257601,0.250577,0.356958,0.346767,0.508704,0.532617
[32],prelu,32,248,0.252337,0.23869,0.258306,0.250963,0.357709,0.346547,0.506726,0.533194
[32],prelu,64,249,0.251682,0.238777,0.257567,0.250821,0.357083,0.346476,0.508539,0.533294
[64],relu,32,281,0.246624,0.238825,0.255619,0.25081,0.353745,0.346763,0.517645,0.532551
[64],relu,64,277,0.246608,0.239237,0.255357,0.251456,0.353645,0.347004,0.517881,0.531906
[64],prelu,32,250,0.247772,0.238721,0.257052,0.251038,0.354389,0.346501,0.515863,0.533251
[64],prelu,64,232,0.249011,0.238773,0.256749,0.251003,0.355326,0.346581,0.513323,0.533076
"[32, 16]",relu,32,289,0.268415,0.242732,0.262596,0.251078,0.366618,0.347201,0.48168,0.530958
"[32, 16]",relu,64,226,0.264,0.244485,0.260684,0.249758,0.362615,0.34748,0.493176,0.530152
"[32, 16]",prelu,32,299,0.258247,0.242699,0.260434,0.250768,0.359497,0.347076,0.501865,0.531359
"[32, 16]",prelu,64,283,0.257152,0.241918,0.259074,0.250348,0.358901,0.346655,0.503457,0.5328
"[64, 32, 16]",relu,32,245,0.259164,0.247792,0.25771,0.251735,0.357381,0.348022,0.507588,0.528751
"[64, 32, 16]",relu,64,287,0.261993,0.249295,0.2601,0.25306,0.359578,0.349329,0.501544,0.525016
"[64, 32, 16]",prelu,32,251,0.260265,0.2481,0.259797,0.252254,0.358595,0.348642,0.504345,0.527164
"[64, 32, 16]",prelu,64,289,0.255454,0.246783,0.257126,0.25155,0.35545,0.34799,0.512915,0.528744
