layers,activation,batch_size,duration
[16],relu,32,615.4911506175995
[16],relu,64,585.2550683021545
[16],prelu,32,676.9465415477753
[16],prelu,64,550.4312210083008
[32],relu,32,563.0406737327576
[32],relu,64,560.4208183288574
[32],prelu,32,570.1705648899078
[32],prelu,64,572.4418087005615
[64],relu,32,651.9002773761749
[64],relu,64,660.3634595870972
[64],prelu,32,696.6825480461121
[64],prelu,64,614.026839017868
"[32, 16]",relu,32,634.5259876251221
"[32, 16]",relu,64,637.0838503837585
"[32, 16]",prelu,32,643.0807585716248
"[32, 16]",prelu,64,669.7304039001465
"[64, 32, 16]",relu,32,763.4304020404816
"[64, 32, 16]",relu,64,861.2530093193054
"[64, 32, 16]",prelu,32,732.438315153122
"[64, 32, 16]",prelu,64,765.7141752243042
