layers,activation,batch_size,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[64],prelu,64,0.6339053610184866,0.37390942552573314,-0.09799981117248535,0.5380925020372257,0.41859325413009435,0.3132802022620107,0.3576279878616333,0.42422195512150224,0.0010000000474974513
[64],prelu,64,0.43697734648538383,0.32121552714253254,0.27790290117263794,0.4363687050836451,0.36970451996227,0.2874433211940853,0.4398884177207947,0.3961294432032004,0.0010000000474974513
[64],prelu,64,0.4013133171646124,0.3094793537840066,0.3395676612854004,0.41732075437470656,0.34800955305701425,0.2804863525501829,0.47240519523620605,0.38445904657951663,0.0010000000474974513
[64],prelu,64,0.3775868010636008,0.2972581037880778,0.3781817555427551,0.4049370673700261,0.33455840973422274,0.27670086932154625,0.49002140760421753,0.37798608329069067,0.0010000000474974513
[64],prelu,64,0.36349420449181563,0.29043513725917725,0.398301362991333,0.39833209149051874,0.3273267643018263,0.2756832735437134,0.4965352416038513,0.37556437307165275,0.0010000000474974513
[64],prelu,64,0.345715631515485,0.2840479071645313,0.4259330630302429,0.38907835475490543,0.32136039512113096,0.2744480238052186,0.5010634660720825,0.3738716551717102,0.0010000000474974513
[64],prelu,64,0.33581998240988103,0.2813214936437932,0.43859511613845825,0.3847635356247516,0.31671963069114734,0.2723124683996006,0.5035209655761719,0.3729497708177264,0.0010000000474974513
[64],prelu,64,0.3228212569175698,0.27626268424197414,0.45764386653900146,0.3781795874869085,0.31202346566085454,0.27165757820942704,0.5063965916633606,0.3718681123567737,0.0010000000474974513
[64],prelu,64,0.31372052990623567,0.2729923653800795,0.469427227973938,0.3740488146604336,0.3080203590796224,0.2711847447986119,0.5083191394805908,0.3711431603024522,0.0010000000474974513
[64],prelu,64,0.3111725001968797,0.2717276094655084,0.4688141345977783,0.3742648463935727,0.3047977888014196,0.270662479360449,0.5091387033462524,0.37083374335851577,0.0010000000474974513
[64],prelu,64,0.302103574966607,0.26863653144085703,0.481265127658844,0.3698524793555818,0.30080518078698637,0.268400084127383,0.511737048625946,0.36985094895225834,0.0010000000474974513
