layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,1,0.5309263439224886,0.3682316708431085,0.003925347328186035,0.5131838300968962,0.3279493094310642,0.2933858816803447,0.3973869800567627,0.3996820520978283,0.0010000000474974513
[16],relu,32,2,0.39267550305385784,0.3210109804606103,0.2693916201591492,0.4411715992082961,0.28809555400077314,0.2756170578700098,0.4709557294845581,0.3751221327668618,0.0010000000474974513
[16],relu,32,3,0.35071526803718756,0.3033169248611053,0.34838744401931765,0.4168771738075813,0.2710500475228077,0.2676045374738538,0.5013305902481079,0.36438520822741616,0.0010000000474974513
[16],relu,32,4,0.327390454698622,0.29228915676119077,0.3915224432945251,0.40294288601085837,0.2625175846263095,0.26308835083514776,0.515796172618866,0.3591158358354263,0.0010000000474974513
[16],relu,32,5,0.31534405268276916,0.2863400196141157,0.41298130750656126,0.39579077426703674,0.25747251086450046,0.26027575703123235,0.5238111972808838,0.356172310952616,0.0010000000474974513
[16],relu,32,6,0.30272551647502244,0.28068271750487095,0.43577821254730226,0.38808524909427095,0.2544943036206757,0.25831738663301396,0.527923834323883,0.3546302981124595,0.0010000000474974513
[16],relu,32,7,0.2986164615683933,0.2780319071987546,0.4421736240386963,0.3858774538469021,0.2515517500264028,0.25714299997606066,0.5321368336677551,0.35305736231494267,0.0010000000474974513
[16],relu,32,8,0.29168746852985705,0.2748512983995191,0.4541534185409546,0.38174010452075674,0.24926406205485022,0.2557590809195948,0.5351744890213013,0.3519203159288507,0.0010000000474974513
[16],relu,32,9,0.2866673351259724,0.27215973358201245,0.4625355005264282,0.3787919680921766,0.24739064474688877,0.25481527540507204,0.5375159621238709,0.3510441288088531,0.0010000000474974513
[16],relu,32,10,0.28496147388949666,0.27116735945624054,0.46457977294921876,0.37806172427836177,0.24588064767700546,0.2545091930247616,0.5392913103103638,0.3503878270221878,0.0010000000474974513
[16],relu,32,11,0.2818413492430899,0.2699348048398768,0.4694993019104004,0.3763306820248,0.24464223565212784,0.2536830238769146,0.5405775308609009,0.34989407242505594,0.0010000000474974513
[16],relu,32,12,0.2797030722764119,0.26876659293168065,0.4725955605506897,0.37523476924883975,0.24343049668800337,0.25340207775586043,0.5419650554656983,0.349371492371068,0.0010000000474974513
[16],relu,32,13,0.27866689676006684,0.26846683213985545,0.4736602544784546,0.3748611841601972,0.24268975630308115,0.252896824534933,0.5424627304077149,0.34918130554447463,0.0010000000474974513
[16],relu,32,14,0.275485889664199,0.2675087867494776,0.4789307236671448,0.37298375882898543,0.2420366426095199,0.2526655196064315,0.5429126858711243,0.3490203966659414,0.0010000000474974513
[16],relu,32,15,0.27584763352867897,0.2670901345009252,0.47739644050598146,0.3735280738693653,0.24149262804141375,0.252136098117718,0.543159568309784,0.3489332112571953,0.0010000000474974513
[16],relu,32,16,0.2735967780343021,0.2662454557517814,0.48099995851516725,0.3722467878802191,0.24129789707881147,0.2517955493674566,0.5427543878555298,0.3490734326347922,0.0010000000474974513
[16],relu,32,17,0.2756728872580442,0.26656226207164896,0.4762346506118774,0.37393804858409363,0.24018273274128502,0.2518237839305691,0.544207751750946,0.3485200048722862,0.0010000000474974513
[16],relu,32,18,0.27382848304894525,0.2663707183968861,0.47916498184204104,0.37290100075647997,0.24014773121513366,0.2516361174690547,0.5436827421188355,0.3487297806970694,0.0010000000474974513
[16],relu,32,19,0.2713288536988485,0.26539043895473186,0.4833759546279907,0.37138279697387533,0.2393851073274041,0.25126465384843866,0.5445658326148987,0.3483856294400032,0.0010000000474974513
[16],relu,32,20,0.27232044050946413,0.2657078705984162,0.48094642162323,0.3722644577799633,0.23900602209111727,0.2512763928134864,0.5447536468505859,0.34830667264467524,0.0010000000474974513
[16],relu,32,21,0.2691718750069575,0.2646557608608268,0.48650596141815183,0.370256193712413,0.23840779622448668,0.251088052086314,0.54543616771698,0.34804853852109685,0.0010000000474974513
[16],relu,32,22,0.2698739054874812,0.2649662853389517,0.4847059607505798,0.3709101374193971,0.23838612658579644,0.2509413981957075,0.545033621788025,0.34819809910331906,0.0010000000474974513
[16],relu,32,23,0.2703827350052187,0.2649124138206444,0.4833190441131592,0.37140529832807845,0.23838885578085606,0.25103646110675576,0.5446271300315857,0.34835187045666766,0.0010000000474974513
[16],relu,32,24,0.26764433525273523,0.2640935905421223,0.4882195472717285,0.369643407203631,0.23807530743147387,0.2509358482985573,0.5448598146438599,0.34826583602978495,0.0010000000474974513
[16],relu,32,25,0.27012269325367877,0.2648910917616243,0.4830791473388672,0.37149944634771137,0.23749049593812277,0.2509621477672424,0.5456902623176575,0.347953212208957,0.0010000000474974513
[16],relu,32,26,0.2677835793070426,0.2645451143628129,0.48727233409881593,0.3699871848612575,0.23750145626605274,0.25096918447483874,0.5453626036643981,0.34808014080535965,0.0010000000474974513
[16],relu,32,27,0.2679550800795859,0.2643410233934621,0.486637020111084,0.37020847356626685,0.23784283839044895,0.2509883126750998,0.5443999886512756,0.34844240875182825,0.0010000000474974513
[16],relu,32,28,0.26743038837737765,0.2641991959224833,0.4873777747154236,0.36994562835499656,0.2374845037649865,0.2509021708502592,0.5447843551635743,0.3482796340997213,0.0010000000474974513
[16],relu,32,29,0.26844917426330756,0.2643591657101346,0.48514010906219485,0.3707472520791728,0.23759676138909205,0.2507511314376571,0.5443264603614807,0.34846920222830974,0.0010000000474974513
