layers,activation,batch_size,df,statistic,p_value
[16],relu,32,4,59.47557356562862,1.0
[16],relu,64,4,77.5537835893502,1.0
[16],prelu,32,4,50.93365149252914,1.0
[16],prelu,64,4,53.7282862026218,1.0
[32],relu,32,4,47.01494302385454,1.0
[32],relu,64,4,33.236378378093,1.0
[32],prelu,32,4,50.53779730799639,1.0
[32],prelu,64,4,42.13460041101193,1.0
[64],relu,32,4,27.275560904456043,1.0
[64],relu,64,4,29.98638253506345,1.0
[64],prelu,32,4,39.20820893293788,1.0
[64],prelu,64,4,25.371517965697226,1.0
"[32, 16]",relu,32,4,67.82379270878324,1.0
"[32, 16]",relu,64,4,79.33976984491628,1.0
"[32, 16]",prelu,32,4,42.45721080490585,1.0
"[32, 16]",prelu,64,4,20.93810438668848,1.0
"[64, 32, 16]",relu,32,4,49.138678568050004,1.0
"[64, 32, 16]",relu,64,4,92.35685293132903,1.0
"[64, 32, 16]",prelu,32,4,68.92732851245631,1.0
"[64, 32, 16]",prelu,64,4,79.38034543250906,1.0
