layers,activation,batch_size,epoch,loss,mae,root_mean_squared_error,r2_score,val_loss,val_mae,val_root_mean_squared_error,val_r2_score,loss_mean,mae_mean,root_mean_squared_error_mean,r2_score_mean,val_loss_mean,val_mae_mean,val_root_mean_squared_error_mean,val_r2_score_mean
[16],prelu,32,1,0.1339570663968748,0.039502151857946345,0.06503500239285206,0.26101948246070417,0.05148628025260547,0.018753132939187234,0.03280671884884241,0.11257637946662445,0.589799563671052,0.38469189352227984,0.5417725612355999,-0.11116597652435303,0.3457693551277263,0.29606975712050765,0.4123444035200662,0.35793465375900263
[16],prelu,32,2,0.023983755714315293,0.010890726715740833,0.01609941856108618,0.04726336784798667,0.016576600909895798,0.008412161112097395,0.01029611561952629,0.02504546704789068,0.39669515206462913,0.3273593037784805,0.4440998307041313,0.2608196020126342,0.2888810327879693,0.2758340674735219,0.3765024864242257,0.4682426691055298
[16],prelu,32,3,0.017357020636332644,0.007925875172233574,0.013103541766954925,0.03367001707600818,0.013427325536183966,0.005509657116169665,0.008313361337142293,0.02323119916656011,0.36128857134001563,0.3101310011248808,0.42353409045733487,0.32793710231781004,0.2741030625987397,0.26882005081499544,0.3667800451002636,0.49527504444122317
[16],prelu,32,4,0.014990365405024261,0.006981479368330241,0.011635001075185133,0.028824196433707896,0.014557549775894858,0.004526612930559011,0.00966158720133332,0.02930094281045425,0.33944569108899714,0.29973975860314683,0.41045937054646303,0.36881585121154786,0.26742979263345673,0.2644306120899181,0.3625198228438278,0.5067269802093506
[16],prelu,32,5,0.007464936139487563,0.005758412925271204,0.006735612655889978,0.015684425626957453,0.014629307047877602,0.004244405365851486,0.00971246600173349,0.028692266617206724,0.3223894893264187,0.2904800433975231,0.4000821561373328,0.40041944980621336,0.2621169617656694,0.2620802877139899,0.35920102358095385,0.5157211303710938
[16],prelu,32,6,0.00754985840438502,0.005697911147539226,0.007328650338340533,0.015497486433607167,0.014831923113075468,0.004486614779098518,0.009882620445185111,0.02867474340425946,0.31124374321359066,0.28519302867631635,0.39325853496176827,0.4207192897796631,0.2582111509156683,0.259348942885736,0.356857588582137,0.5220094084739685
[16],prelu,32,7,0.009013655000624086,0.00512317998212736,0.008236874453542271,0.01677416233132641,0.014914983208150446,0.004592709027780837,0.009833233717476622,0.02674499570304771,0.30440180763066216,0.2812459083255828,0.3891641909243848,0.4327286720275879,0.2541950249539818,0.25792911977682154,0.3544008219309273,0.528637683391571
[16],prelu,32,8,0.004853903232767537,0.0037366352901944556,0.005454791766769649,0.009265158399441007,0.01449119602092418,0.0049428902204206905,0.009698288008179193,0.02721273964294978,0.29619325794405943,0.27728846356825926,0.3841209105949364,0.4473581433296204,0.2525208473787556,0.2563811225118251,0.35363012047222847,0.5306550621986389
[16],prelu,32,9,0.005811342106047081,0.003401595024836369,0.004344237174507117,0.008671109961007563,0.015182942171715322,0.004845676177370279,0.009939828817383863,0.024379513483905838,0.29333164806798345,0.2758870867732598,0.3825999325481424,0.4517011284828186,0.24948120933084467,0.256138261856679,0.3518262375271634,0.5355588912963867
[16],prelu,32,10,0.003095711610532852,0.0026912764333485357,0.0044239619978906,0.006101066451049849,0.014442868884779468,0.0053134164540873715,0.009892090374367975,0.02824752936883674,0.2902190472699476,0.27299054082961505,0.3808969187545972,0.45660082101821897,0.24931953202270146,0.25460740943720916,0.35214398775717,0.5345486164093017
[16],prelu,32,11,0.003947313362517868,0.002338123604576346,0.0038818302993573364,0.006732791086854502,0.015491064147051228,0.005541674693616971,0.010377490259960912,0.025837667202553514,0.28650300423943664,0.27226707403710076,0.37875482877069466,0.4626762866973877,0.2464938440489839,0.2537692079427361,0.3504581967056887,0.5391209125518799
[16],prelu,32,12,0.004438675257692675,0.0020464754926278615,0.003735123225642217,0.00860939645267413,0.015721057438794872,0.005720182528463498,0.010517128109096973,0.025303414757405638,0.28098700517343606,0.2694325834690445,0.37534525808200103,0.47228093147277833,0.24515950742818582,0.2534500665555271,0.3498622973295218,0.5407163023948669
[16],prelu,32,13,0.002915008567947276,0.0013040510974912012,0.0009769339872060618,0.005182964536200652,0.01514266431209739,0.005644356058563026,0.01081107418794955,0.03225200146697471,0.280585176334292,0.26925034237548423,0.37543674490341994,0.4720206618309021,0.24692401345463527,0.2530567852373551,0.3515477698441593,0.5359760880470276
[16],prelu,32,14,0.0033599069759618475,0.0016209604290018471,0.001005542206639047,0.006033915501624218,0.015023538875895281,0.005773399774247808,0.010809267836689833,0.03341648711118242,0.27805364938692206,0.267949998920844,0.3740368983291371,0.4759430766105652,0.24650651153908526,0.2529179746440514,0.35160440321940634,0.5357638120651245
