layers,activation,batch_size,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,0.25849,0.237378,0.26144,0.251799,0.364583,0.349323,0.5016,0.541988
[16],relu,64,0.259963,0.237625,0.261922,0.251959,0.365325,0.349425,0.49882,0.541598
[16],prelu,32,0.25915,0.237775,0.261999,0.252237,0.364934,0.349543,0.50049,0.541396
[16],prelu,64,0.257853,0.237479,0.261429,0.252118,0.364095,0.349445,0.502707,0.54164
[32],relu,32,0.254695,0.237321,0.25995,0.251386,0.361445,0.348861,0.510122,0.543223
[32],relu,64,0.254793,0.237083,0.259812,0.251131,0.361546,0.34872,0.509848,0.543626
[32],prelu,32,0.254869,0.237536,0.260233,0.25178,0.361491,0.349077,0.509634,0.542625
[32],prelu,64,0.253811,0.237535,0.259714,0.251372,0.360888,0.349108,0.511613,0.542607
[64],relu,32,0.251842,0.237464,0.258628,0.250879,0.359008,0.348575,0.516784,0.54399
[64],relu,64,0.251953,0.237283,0.258591,0.25086,0.359057,0.348386,0.516713,0.54451
[64],prelu,32,0.250889,0.237012,0.258255,0.250816,0.358416,0.348301,0.518456,0.544749
[64],prelu,64,0.251428,0.236594,0.258466,0.250391,0.35882,0.348026,0.517312,0.545485
"[32, 16]",relu,32,0.268964,0.240174,0.264362,0.250812,0.369763,0.349191,0.48726,0.542369
"[32, 16]",relu,64,0.2687,0.24022,0.264172,0.250584,0.369627,0.349174,0.48787,0.542425
"[32, 16]",prelu,32,0.265563,0.241068,0.263584,0.251522,0.367217,0.349688,0.494262,0.541101
"[32, 16]",prelu,64,0.26392,0.240983,0.262864,0.251631,0.366248,0.34973,0.497169,0.541042
"[64, 32, 16]",relu,32,0.267343,0.246975,0.261953,0.250967,0.365903,0.351409,0.497928,0.536531
"[64, 32, 16]",relu,64,0.267281,0.247283,0.261917,0.250818,0.36589,0.351658,0.497994,0.535895
"[64, 32, 16]",prelu,32,0.261601,0.246579,0.260284,0.250705,0.362328,0.351625,0.507709,0.535883
"[64, 32, 16]",prelu,64,0.261965,0.246778,0.260256,0.250503,0.362198,0.351405,0.507987,0.536491
