layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,243,0.2492265413833041,0.258006404259693,0.5178906917572021,0.3587605574397372,0.2348880981957007,0.2516022890038217,0.5452984690666198,0.348113415650822,2.8125001335865815e-05
[16],relu,64,284,0.2500130641917668,0.2586219701661468,0.5164052486419678,0.3593188876624663,0.2348603217326799,0.2517184338834908,0.545347261428833,0.348084436988672,1.3671875649379215e-05
[16],prelu,32,223,0.2501917253022235,0.2589208851707186,0.5160409808158875,0.3594380270528526,0.2351995032212555,0.2520310899303063,0.5447021126747131,0.3483257256560589,3.437500163272489e-05
[16],prelu,64,293,0.2480611118849158,0.2577198707950889,0.5200388669967652,0.3579610426308102,0.2352322854009323,0.2521140688351462,0.5445037126541138,0.3484013091383315,9.375000445288606e-06
[32],relu,32,213,0.2460258745744935,0.256712990885953,0.5241192698478698,0.3564411925865849,0.2340869627660031,0.2512069730564424,0.5468605399131775,0.3475110501815784,5.0000002374872565e-05
[32],relu,64,259,0.2462548542214369,0.2567163934300871,0.5236300230026245,0.35662062129948,0.2340231239321098,0.2511164827345065,0.5469412326812744,0.3474808370112718,3.437500163272489e-05
[32],prelu,32,286,0.2452982118497813,0.2568675788664075,0.5254463076591491,0.3559451547647826,0.2349905880005522,0.2518484114142819,0.5450074315071106,0.3482079141876188,5.468750259751687e-06
[32],prelu,64,261,0.244786218575054,0.2564478738449974,0.5263583421707153,0.3555955887059571,0.2344202550446351,0.2515440571087718,0.5460829019546509,0.3478087400320294,4.687500222644303e-05
[64],relu,32,246,0.2429575017041281,0.2557634810680302,0.5299355030059815,0.3542546884986715,0.2330723076028513,0.2506490236818931,0.5488036632537842,0.3467879274248932,7.500000356230885e-05
[64],relu,64,247,0.2430947211679055,0.2556644747952856,0.5296775579452515,0.3543507358251491,0.233555579394773,0.2509597508073204,0.5478172421455383,0.3471516224055971,3.125000148429535e-05
[64],prelu,32,249,0.2420278583174929,0.2552781493701133,0.5317470550537109,0.3535702470471687,0.2328141281857531,0.2506005926430908,0.5493269920349121,0.3465908573453455,8.281250393338269e-05
[64],prelu,64,286,0.2415175760609126,0.2549418002943445,0.532739794254303,0.3531941325006345,0.231872014371762,0.2500061849180286,0.551156508922577,0.3458969354641102,0.000232812511058
"[32, 16]",relu,32,285,0.2566121068193999,0.260489757759488,0.5057840347290039,0.363240966908657,0.2351760967407232,0.2504847822105152,0.54683518409729,0.3475109838469699,3.281250155851012e-05
"[32, 16]",relu,64,287,0.255887675596595,0.2600366428095136,0.5074807643890381,0.3626130309178759,0.234723038487442,0.2502591728580919,0.5479474663734436,0.3470598693947239,5.234375248619472e-05
"[32, 16]",prelu,32,295,0.2522358472098652,0.2596825021558014,0.5145753264427185,0.3599984945567783,0.2377789342815021,0.2520751534758707,0.5421070456504822,0.3493247281023983,1.5625000742147677e-05
"[32, 16]",prelu,64,256,0.2528108639779874,0.2595450332187522,0.5133679747581482,0.3604425674638024,0.2371924733951433,0.2520711297914141,0.5432286262512207,0.3489194250898608,4.3750002078013495e-05
"[64, 32, 16]",relu,32,233,0.249735731666243,0.2572276305205425,0.5218331575393677,0.3572960998533569,0.2390968357771595,0.2501973114634692,0.5420286655426025,0.3493357288684313,3.437500163272489e-05
"[64, 32, 16]",relu,64,273,0.248603806325235,0.2570149558706436,0.5238125801086426,0.356531646392615,0.238818389935201,0.2499494957261429,0.5423585534095764,0.3492333832486778,2.1875001039006747e-05
"[64, 32, 16]",prelu,32,293,0.244707903663113,0.2554408855698031,0.5307803988456726,0.3539055534229374,0.2400034404258305,0.2501183293408802,0.5394207239151001,0.3503236102742481,8.984375426734914e-06
"[64, 32, 16]",prelu,64,263,0.2444604436513505,0.2552131745962648,0.5313777089118957,0.3536958820607508,0.2396108140489163,0.2499456277366982,0.5403516411781311,0.3499915377456083,1.7187500816362444e-05
