layers,activation,batch_size,epoch,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,156,0.252853,0.234333,0.259403,0.251617,0.361341,0.347669,0.510956,0.546462
[16],relu,64,225,0.251602,0.234402,0.258908,0.251345,0.360454,0.347732,0.513342,0.546304
[16],prelu,32,131,0.255506,0.234863,0.260639,0.251561,0.363204,0.348033,0.505889,0.545478
[16],prelu,64,161,0.251281,0.23474,0.258879,0.251446,0.360266,0.348009,0.513849,0.545545
[32],relu,32,154,0.248184,0.233683,0.257727,0.250601,0.357987,0.347185,0.51999,0.547703
[32],relu,64,167,0.248297,0.233627,0.257293,0.250762,0.35808,0.347151,0.519734,0.547806
[32],prelu,32,149,0.248352,0.23418,0.25767,0.251048,0.358129,0.347579,0.5196,0.546678
[32],prelu,64,225,0.246738,0.233892,0.257136,0.251158,0.35701,0.347408,0.522589,0.547151
[64],relu,32,232,0.244463,0.233005,0.255905,0.250628,0.355347,0.346736,0.527024,0.548938
[64],relu,64,180,0.245055,0.23302,0.25621,0.250448,0.355768,0.346737,0.525919,0.548886
[64],prelu,32,246,0.243652,0.23274,0.255621,0.25057,0.354756,0.346534,0.528606,0.549479
[64],prelu,64,300,0.242178,0.231511,0.255148,0.249781,0.353683,0.345626,0.531453,0.551865
"[32, 16]",relu,32,243,0.258495,0.235068,0.261281,0.250459,0.364542,0.347399,0.502249,0.547107
"[32, 16]",relu,64,289,0.258602,0.234293,0.260913,0.250209,0.364541,0.346733,0.502241,0.548781
"[32, 16]",prelu,32,244,0.254055,0.237251,0.259638,0.25194,0.361267,0.348901,0.511151,0.543209
"[32, 16]",prelu,64,206,0.255436,0.236657,0.260176,0.251621,0.362246,0.348439,0.508499,0.544478
"[64, 32, 16]",relu,32,233,0.249736,0.239097,0.257228,0.250197,0.357296,0.349336,0.521833,0.542029
"[64, 32, 16]",relu,64,284,0.251884,0.238683,0.257787,0.250072,0.35891,0.349144,0.517441,0.542555
"[64, 32, 16]",prelu,32,243,0.246671,0.239347,0.256543,0.25,0.355297,0.349781,0.527144,0.540918
"[64, 32, 16]",prelu,64,212,0.247909,0.239301,0.256428,0.249716,0.356107,0.349654,0.524993,0.541213
