layers,activation,batch_size,duration
[16],relu,32,1592.1560378074646
[16],relu,64,1667.7410764694214
[16],prelu,32,1585.7363572120667
[16],prelu,64,1555.3261971473694
[32],relu,32,1526.7286183834076
[32],relu,64,1520.2332065105438
[32],prelu,32,1560.6085333824158
[32],prelu,64,1559.0632319450378
[64],relu,32,1543.438955783844
[64],relu,64,1551.3273932933807
[64],prelu,32,1588.129677772522
[64],prelu,64,1597.9769105911255
"[32, 16]",relu,32,1748.5361852645874
"[32, 16]",relu,64,1801.50381731987
"[32, 16]",prelu,32,1852.0718247890472
"[32, 16]",prelu,64,1885.2864291667938
"[64, 32, 16]",relu,32,2194.682691335678
"[64, 32, 16]",relu,64,2255.5214886665344
"[64, 32, 16]",prelu,32,2605.089009284973
"[64, 32, 16]",prelu,64,2351.535813808441
