layers,activation,batch_size,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[64],prelu,32,0.8191495175539012,0.41417838585405525,-0.5025135278701782,0.6118715713942515,0.4975267434633842,0.32744737632637205,0.19437545537948608,0.4627473239360237,0.0010000000474974513
[64],prelu,32,0.5407876514445519,0.3501102010082424,0.05264556407928467,0.4858557002664621,0.40719287983029834,0.3104292075450954,0.36146271228790283,0.41197481682592507,0.0010000000474974513
[64],prelu,32,0.4878036312468796,0.3391101779335344,0.15604406595230103,0.45857559186597174,0.3650764222105444,0.29573861842775734,0.43799686431884766,0.38649768263578055,0.0010000000474974513
[64],prelu,32,0.4731647826515355,0.33318373107043064,0.18261486291885376,0.4512990714399014,0.3464488524426671,0.281899769346717,0.4703718423843384,0.37520021850392826,0.0010000000474974513
[64],prelu,32,0.43749565821952513,0.323439970249979,0.25129514932632446,0.4319230641615246,0.3312437143964251,0.27452286219194755,0.49633556604385376,0.36588802540718146,0.0010000000474974513
[64],prelu,32,0.43117084801600886,0.3196108740921081,0.261216938495636,0.42905159907950086,0.31787392185893576,0.2699117075978421,0.5188819169998169,0.35760481115611603,0.0010000000474974513
[64],prelu,32,0.4397207386895194,0.3195431859451637,0.24137723445892334,0.43477444594720216,0.3129005241048091,0.2649436356363762,0.5257043838500977,0.3550603021386075,0.0010000000474974513
[64],prelu,32,0.4066255787763252,0.3086224546997334,0.3050157427787781,0.416139110638071,0.30279222914090137,0.2623907660169813,0.5422006845474243,0.3488310586726672,0.0010000000474974513
[64],prelu,32,0.38335064497485616,0.30040395329244995,0.3489920496940613,0.4027580417015962,0.29962852978226756,0.25927520706351503,0.5456885099411011,0.347499699766592,0.0010000000474974513
[64],prelu,32,0.39734013365500837,0.3038639928460579,0.31837910413742065,0.41211891075807966,0.2929750378384019,0.25953965200858836,0.5557783842086792,0.34361916061704334,0.0010000000474974513
[64],prelu,32,0.3782165510969288,0.2983051446886676,0.35414475202560425,0.40116095847008787,0.28931728938965307,0.25706851396706437,0.5602771043777466,0.34187482963202825,0.0010000000474974513
[64],prelu,32,0.3855624258397145,0.30169050413289955,0.33691322803497314,0.40647725991368,0.2882916428835136,0.25774890629423997,0.559859037399292,0.34203728118469484,0.0010000000474974513
[64],prelu,32,0.36337395374102416,0.2932410596941513,0.37890827655792236,0.393395089932899,0.28576111779086827,0.2576407242712554,0.5623536109924316,0.3410666182809963,0.0010000000474974513
[64],prelu,32,0.3598379249446488,0.29034766662782074,0.3836019039154053,0.3919058019349641,0.28177236686530344,0.25388940253804937,0.5676119923591614,0.33901145737460625,0.0010000000474974513
[64],prelu,32,0.3415997628546652,0.2889138680338645,0.4177570939064026,0.38089316357484754,0.27948917872454765,0.25426643295478757,0.5696995854377747,0.33819208863671535,0.0010000000474974513
[64],prelu,32,0.3478160935048807,0.28492862796603124,0.40300267934799194,0.3856889952362426,0.27927302294979994,0.2547656293193736,0.5679736137390137,0.33886968417891833,0.0010000000474974513
[64],prelu,32,0.35379050225496217,0.2919529914490889,0.3887523412704468,0.39026504125303185,0.27752619271012846,0.25481091343350515,0.569123387336731,0.3384184199482784,0.0010000000474974513
[64],prelu,32,0.33699063146671016,0.2843540076662786,0.4201621413230896,0.3801056603338258,0.27475154399300894,0.25181112352608753,0.5722335577011108,0.3371948265227451,0.0010000000474974513
[64],prelu,32,0.35149895351232013,0.28478756884310225,0.38889122009277344,0.3902207389889439,0.2736168228729362,0.2532114202064353,0.5723493695259094,0.337149185372234,0.0010000000474974513
[64],prelu,32,0.34639470192511157,0.2876542436870345,0.3969838619232178,0.38762835734355244,0.27176627356502375,0.25284893902216116,0.5738312005996704,0.3365645383008241,0.0010000000474974513
