layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,1,0.6858747168042234,0.41283206736056766,-0.32892733812332153,0.5739255832422847,0.5967360884321358,0.37604636321734874,-0.19327988624572753,0.52879723214273,0.0010000000474974513
[16],relu,32,2,0.5257065285789375,0.3649728720977674,-0.013531053066253662,0.5036323122090345,0.4241024722574143,0.3216520707378572,0.17858747243881226,0.4463400874677603,0.0010000000474974513
[16],relu,32,3,0.4590572098486604,0.34461960800824565,0.11800425052642823,0.47033294800636505,0.3630483978075888,0.3021415484855468,0.30490530729293824,0.41321649251182907,0.0010000000474974513
[16],relu,32,4,0.4273299227032047,0.33320912426568894,0.18109818696975707,0.45369371760357485,0.3342403672048332,0.2916208779179522,0.36296499967575074,0.39642030028962355,0.0010000000474974513
[16],relu,32,5,0.40534814797614543,0.32541999408550365,0.22318156957626342,0.4416697070445916,0.3156244630270265,0.2849973308679246,0.3992155194282532,0.3852194577513669,0.0010000000474974513
[16],relu,32,6,0.3916108467730136,0.32054953138132386,0.2503629684448242,0.43442151022895414,0.3030012924549107,0.2794051581452336,0.42410399913787844,0.37733276037994795,0.0010000000474974513
[16],relu,32,7,0.37741495237436673,0.3139826354505746,0.2780169129371643,0.42616348879855837,0.29345839585269395,0.2751122145243631,0.4426238775253296,0.37132100583423144,0.0010000000474974513
[16],relu,32,8,0.36116044063283653,0.3078901830609123,0.3099401116371155,0.4169461195583152,0.28703971950882023,0.271650324846502,0.45534452199935915,0.36718450136722436,0.0010000000474974513
[16],relu,32,9,0.35790520302465745,0.3044711292556972,0.316121506690979,0.41490742231374933,0.28050045613612024,0.26888848430979584,0.46760255098342896,0.3630362312369344,0.0010000000474974513
[16],relu,32,10,0.35813991973804804,0.3040282792216102,0.3151702404022217,0.41496372925577446,0.27564873621968944,0.2663004639503729,0.47686253786087035,0.35990085524166976,0.0010000000474974513
[16],relu,32,11,0.35013908828742907,0.3005778129039964,0.33004782199859617,0.41061296706515027,0.27061413959782576,0.2645159910466313,0.4858950138092041,0.35670123547690286,0.0010000000474974513
[16],relu,32,12,0.33856273357437167,0.2976946651266987,0.3529423952102661,0.4036859800812431,0.2677897993349784,0.2626453711677432,0.49134303331375123,0.3548583438688694,0.0010000000474974513
[16],relu,32,13,0.3292374222811014,0.2934098549634832,0.37070266008377073,0.39792282928667133,0.2647626086945106,0.261268031766196,0.4966873288154602,0.3529563174155735,0.0010000000474974513
[16],relu,32,14,0.32692442657226534,0.2917586319258446,0.3750465393066406,0.3966131836425806,0.2618337813666637,0.2603084177748459,0.5019145488739014,0.35108996710067397,0.0010000000474974513
[16],relu,32,15,0.31844031071201967,0.2878196495723989,0.39145488739013673,0.39134227005760236,0.2594975222357034,0.2596120504860609,0.5059077978134155,0.3496410336104979,0.0010000000474974513
[16],relu,32,16,0.31972750104940306,0.2884757679881124,0.3890043139457703,0.39244569622598596,0.25743907223737594,0.25849393135429494,0.509533429145813,0.34834236459330314,0.0010000000474974513
[16],relu,32,17,0.3134649942064695,0.28548317706171816,0.4002490997314453,0.388316934385977,0.25531622037290164,0.25781313201425793,0.5129662394523621,0.3470381265798791,0.0010000000474974513
[16],relu,32,18,0.31787312251959543,0.2871322008477012,0.39154696464538574,0.39149523872572434,0.2529356421902086,0.2567965347792115,0.5169398784637451,0.3455407793018421,0.0010000000474974513
[16],relu,32,19,0.3088887376980682,0.28327062586325297,0.40871468782424925,0.3857160762507094,0.2516866351046396,0.2560175401309929,0.519010066986084,0.3447857036969767,0.0010000000474974513
[16],relu,32,20,0.30693544571934095,0.2829949856788013,0.41236170530319216,0.3846387961795695,0.25092170165767136,0.25528256430508706,0.5202633738517761,0.3443510646215754,0.0010000000474974513
[16],relu,32,21,0.3018026215309536,0.28079303639458103,0.42230764627456663,0.38134115155041065,0.24980720429583006,0.2547084732813594,0.522002899646759,0.3437030345142816,0.0010000000474974513
[16],relu,32,22,0.2990661551792411,0.2779597066832391,0.42741467952728274,0.37979061515635276,0.24876782474163045,0.2544694233947264,0.5237479329109191,0.3430754822064378,0.0010000000474974513
[16],relu,32,23,0.2986151479001064,0.2784925903937548,0.4277064800262451,0.37957750524807415,0.24786640525826154,0.25397728060822533,0.5251249074935913,0.34255756433967455,0.0010000000474974513
[16],relu,32,24,0.2917979255241067,0.2759138991124104,0.4409847617149353,0.37514763258570694,0.24684253298426856,0.25351084655545153,0.5266098976135254,0.3419760525243689,0.0010000000474974513
[16],relu,32,25,0.29436722511610064,0.2767940003017296,0.43578832149505614,0.37697954909640663,0.24581352653366376,0.2532702047547748,0.5280105233192444,0.3414048821082968,0.0010000000474974513
[16],relu,32,26,0.2930709074671676,0.2769942541104785,0.43776830434799197,0.37610690527760215,0.245011930836946,0.2527809336172139,0.5292633533477783,0.3409533783877866,0.0010000000474974513
[16],relu,32,27,0.2868301674229817,0.27455937540652176,0.44997469186782835,0.37222309567498646,0.24501383682249003,0.2523903177273895,0.5291576147079468,0.341026748119669,0.0010000000474974513
[16],relu,32,28,0.2915955476087375,0.2750500703175605,0.43998039960861207,0.3754818409058279,0.24387775796322675,0.25220735018321233,0.5307175397872925,0.3403909072590886,0.0010000000474974513
[16],relu,32,29,0.28520417682014076,0.27382326692083125,0.4526291251182556,0.37134549622929985,0.24316912860798606,0.25184468880071803,0.5316518545150757,0.3400212867944591,0.0010000000474974513
[16],relu,32,30,0.2837141388016905,0.2722465425144308,0.45491708517074586,0.37034424258143406,0.24235221412624197,0.25161623147261514,0.5328632712364196,0.33955517069226704,0.0010000000474974513
[16],relu,32,31,0.2854283952582771,0.2720545796771531,0.4514488697052002,0.3717013790854508,0.241658062478525,0.2513407704642823,0.5339359045028687,0.33915999108727257,0.0010000000474974513
[16],relu,32,32,0.28361561171244853,0.2727639668202074,0.45437833070755007,0.37043605068409213,0.24116973736114788,0.2510405582606121,0.5343700766563415,0.33895213470337043,0.0010000000474974513
[16],relu,32,33,0.27566653351181564,0.268605487788541,0.47029203176498413,0.3652516744939754,0.2405385338680765,0.25096752791767907,0.534961199760437,0.3386560747761421,0.0010000000474974513
[16],relu,32,34,0.2803545887181372,0.271291675645844,0.46063385009765623,0.3685820134194079,0.24006432802024724,0.2505908195987625,0.5355938911437989,0.3384177837990709,0.0010000000474974513
[16],relu,32,35,0.27995699717764166,0.26992902371107214,0.46100683212280275,0.3683560494248187,0.23984849783481907,0.25040611326477197,0.535951805114746,0.33833470441730656,0.0010000000474974513
[16],relu,32,36,0.2819355387225849,0.2705667066307996,0.45670347213745116,0.36977821424437385,0.2393288472500787,0.25019278617747487,0.5366026878356933,0.3380773320521369,0.0010000000474974513
[16],relu,32,37,0.2773545787248703,0.2699560746308879,0.46549699306488035,0.3667488279462336,0.23878208446323707,0.24983124386669164,0.5372202396392822,0.3378131029076152,0.0010000000474974513
[16],relu,32,38,0.27396542932776213,0.26751134591685033,0.47229543924331663,0.3646076903646165,0.2381945426512741,0.24969129816854413,0.5377671480178833,0.3375495791123452,0.0010000000474974513
[16],relu,32,39,0.27553865045547754,0.26887251665482953,0.4685291051864624,0.365685390909731,0.23765071043268526,0.24935464920168027,0.5386862397193909,0.33721988079834925,0.0010000000474974513
