layers,activation,batch_size,df,statistic,p_value
[16],relu,32,4,154.87882566160425,0.9999999999997427
[16],relu,64,4,136.05377615215247,1.0
[16],prelu,32,4,123.74268667315943,1.0
[16],prelu,64,4,102.54249572860223,1.0
[32],relu,32,4,91.15437377880708,1.0
[32],relu,64,4,103.2069329953744,1.0
[32],prelu,32,4,89.43895721965963,1.0
[32],prelu,64,4,125.40447624778977,1.0
[64],relu,32,4,58.8235917343584,1.0
[64],relu,64,4,56.3440881919256,1.0
[64],prelu,32,4,55.940025519738576,1.0
[64],prelu,64,4,131.2534106756379,1.0
"[32, 16]",relu,32,4,132.23098763805575,1.0
"[32, 16]",relu,64,4,33.39633769234316,1.0
"[32, 16]",prelu,32,4,45.269139859420996,1.0
"[32, 16]",prelu,64,4,17.258295650817256,1.0
"[64, 32, 16]",relu,32,4,75.6706070268803,1.0
"[64, 32, 16]",relu,64,4,37.57243350644172,1.0
"[64, 32, 16]",prelu,32,4,56.86838350198083,1.0
"[64, 32, 16]",prelu,64,4,25.310914895883048,1.0
