layers,activation,batch_size,epoch,loss,mae,root_mean_squared_error,r2_score,val_loss,val_mae,val_root_mean_squared_error,val_r2_score,loss_mean,mae_mean,root_mean_squared_error_mean,r2_score_mean,val_loss_mean,val_mae_mean,val_root_mean_squared_error_mean,val_r2_score_mean
[16],prelu,32,1,0.33027169439567866,0.08288100976002002,0.12841167983326823,0.6767605499807448,0.43336898450585126,0.11041499027655466,0.1703572811485792,0.6538156288562332,0.8606496995392756,0.447386340342942,0.6410073202673621,-0.6863573789596558,0.6917665017213384,0.3881730622854448,0.559939187485276,-0.331948983669281
[16],prelu,32,2,0.1632902279712088,0.04453934502804032,0.07616552031986575,0.3361753496239657,0.28760680201117517,0.07432538614675849,0.12748281856476856,0.3857985147735937,0.599399633973925,0.3785956115917497,0.5372068899896846,-0.16474405527114871,0.5092902201669592,0.33748123552388437,0.4825116498931128,0.03582617044448848
[16],prelu,32,3,0.0971432647638085,0.027290407457933586,0.05026426986139089,0.1983813517934072,0.20980842674265843,0.052553149451606815,0.10103716352072024,0.25880325841141427,0.49730535394959957,0.35454610084525234,0.4900952580390182,0.039183199405670166,0.42512368944271534,0.3142670635313023,0.4426525681797118,0.1988575220108032
[16],prelu,32,4,0.07793154917267467,0.02281259708723428,0.04348620062967683,0.15295153890553778,0.1600236113655548,0.039290240657425014,0.08183402160359227,0.18139390080766435,0.47132516423387755,0.34551531661180557,0.4774245856990832,0.09148643016815186,0.3762325558300004,0.30042092409220766,0.41788007592507553,0.2910209774971008
[16],prelu,32,5,0.0458671091846708,0.02025288333110662,0.02806034101681389,0.09107584611825303,0.1306000141076072,0.03172329748133946,0.06928309466644889,0.13892976521103914,0.4153711364671507,0.3303089469012532,0.4479761811894645,0.20228189229965204,0.348402274858872,0.2919683806172247,0.4030784291823723,0.34187471866607666
[16],prelu,32,6,0.04281888908136427,0.01866226222567872,0.02822760806331187,0.08013299004594222,0.11013003769778572,0.026937861335512597,0.06025161109421776,0.10944506379208448,0.40430044106584784,0.32506949891351905,0.44192244430529914,0.22445478439331054,0.3267143960839703,0.28484587800857736,0.3908352251058111,0.38210350275039673
[16],prelu,32,7,0.030863159710892058,0.016113534507123942,0.022008917543524513,0.05646608243690135,0.0921881962981419,0.023694692982578095,0.0520515452702322,0.08469001422168496,0.3916484694653749,0.32291271655392706,0.43499561446486723,0.249218213558197,0.30850207839179955,0.2791018341377297,0.3802083901823231,0.41578859090805054
[16],prelu,32,8,0.0159950038110792,0.01084019807163889,0.012893235305192726,0.0378222083666325,0.07812527632310588,0.021614902440981933,0.04512370222418015,0.06909263085747215,0.38545972063808787,0.3184209929512215,0.4316341463620185,0.26074706315994256,0.2950917892202144,0.2743887670268013,0.3722357131752723,0.43984549045562743
[16],prelu,32,9,0.022087393963345425,0.012113497777580487,0.01600202335066508,0.048174284667679555,0.06937746786892578,0.020560527180198195,0.04065609719987125,0.060425437568051306,0.36903690409284595,0.31452482903594786,0.4219777408793404,0.29318796396255487,0.286349107520498,0.2713385120127432,0.3669119029941948,0.45553853511810305
[16],prelu,32,10,0.02779506525250143,0.015974574063408794,0.020050375953185928,0.055039147340846625,0.06289774334627074,0.019584073701939278,0.03728849301672399,0.05683135660293951,0.36468402290209534,0.3114646267765478,0.4193970080030617,0.30181342363357544,0.2794702895545126,0.26860786794514213,0.36264831610213444,0.46772379875183107
[16],prelu,32,11,0.02183339930834001,0.01064013937950915,0.012848976543619621,0.0629594448434472,0.05776253718386427,0.01911274857918838,0.034612271408494134,0.05477511338944886,0.3596724412252984,0.30758783623051994,0.41641419423415904,0.3105613827705383,0.27336662312123056,0.26618719327377954,0.35877895227877776,0.4786857008934021
[16],prelu,32,12,0.02317963837890132,0.010789557213885147,0.015738467720478086,0.05796717299274581,0.054375273226383226,0.018986948369692114,0.032883269025637554,0.05277999419860224,0.34465418910529155,0.302119186047408,0.4073707903546614,0.34055597782135005,0.2686169516403432,0.2641594060343675,0.3557162842587168,0.4873930335044861
[16],prelu,32,13,0.023570431348088276,0.011237718991083993,0.015915860251139807,0.05929192880406377,0.059430389939237445,0.019574216191661598,0.03593536533755351,0.05226725752932022,0.3477668902910459,0.30213367046389894,0.40936190026556823,0.33406312465667726,0.2694254019995337,0.2636615931174795,0.3560737972197986,0.486996054649353
[16],prelu,32,14,0.025785407529536182,0.010985675266414268,0.014075705372225095,0.07159534290209547,0.05591781546751574,0.019101216040968143,0.03407053873896388,0.05224275361983576,0.3482292498266677,0.30104970146907173,0.40960080791548403,0.3322617173194885,0.26517506120109646,0.26212038100787993,0.3533656060691965,0.49441587924957275
[16],prelu,32,15,0.008776579799688685,0.006230649913005288,0.0067472617860691204,0.03686153075825519,0.05776645978855829,0.020019566950613226,0.035374983364391425,0.05130973897574739,0.3296033589012968,0.2942530113344209,0.3984277509008085,0.3696351408958435,0.2635110332785101,0.261196428960308,0.35215147118169216,0.4982170224189758
[16],prelu,32,16,0.017448290564307616,0.008755532185082045,0.014326245414641196,0.038321103794780306,0.05099934545318827,0.01942434497897993,0.03144790369131461,0.052494982402452754,0.34058972560377515,0.2974338371872551,0.4053710205262015,0.3479349136352539,0.258778074628786,0.26037996052273393,0.3492658780909573,0.505574631690979
[16],prelu,32,17,0.018945934132725228,0.007434642997087527,0.01244488503308495,0.05368636933636913,0.05341130365046332,0.019466012383838743,0.03293450003940416,0.05207857168579547,0.327479019601381,0.2930167285041462,0.39712126284698235,0.3731979846954346,0.25891454992897556,0.25986032122695574,0.3493180061799917,0.5057323336601257
[16],prelu,32,18,0.0136732184373844,0.008156332177257482,0.009358207880864982,0.044784404009382044,0.05176698652326576,0.019327371272926122,0.0320376238017501,0.05200426196317151,0.3192601872420344,0.2892033339133344,0.39205807075044663,0.3893301963806152,0.2567571416321974,0.2588117310073039,0.34795686519737035,0.5094186305999756
[16],prelu,32,19,0.013770160907239981,0.006320827505102803,0.009041554402023623,0.04629730338337656,0.05220519371135631,0.019572553461080857,0.03240834142119731,0.05133593845018084,0.31721332410095604,0.2895345626137464,0.39082050624012316,0.39305964708328245,0.25583035541729054,0.258123882059215,0.3473547294236138,0.5112513780593873
[16],prelu,32,20,0.010634769914510962,0.00821405047959871,0.009546800308153627,0.03164704269983914,0.0533056917715998,0.019391762329727006,0.033108789661335465,0.052004531415497754,0.31712567842037986,0.28754600386848606,0.39096322405749007,0.39333560466766354,0.2554354832695761,0.2577155107484477,0.34710114325547015,0.512034022808075
[16],prelu,32,21,0.017286355881030176,0.007660090058140142,0.0122854881603276,0.047992995762157334,0.04967562901873334,0.019198003324186926,0.03102430261571035,0.05303940449805609,0.3103211881689441,0.28567743761022973,0.38652208016682627,0.4063912510871887,0.25202418345730104,0.25686170974236056,0.34493506897202253,0.5176307797431946
[16],prelu,32,22,0.015334870813743785,0.0065759113459242305,0.012920813024596021,0.03706739752565911,0.0546342661293096,0.020219279381089972,0.03407451161115709,0.0527716400318072,0.3145876700047594,0.28644021298959793,0.3894645123292516,0.39796357154846185,0.25379330236720393,0.25711390307682996,0.3460175880304856,0.5151894092559814
[16],prelu,32,23,0.014757311593965542,0.006793192143578994,0.010048501821041328,0.045787312989077476,0.053245834974589165,0.019694691346316878,0.03324986069360174,0.052917236560740516,0.31128847142401994,0.28498761934719236,0.3873503532737265,0.40383923053741455,0.2525245010488527,0.2561041585809193,0.3452799586377269,0.5170874714851379
[16],prelu,32,24,0.015470443018265759,0.006933876848531546,0.00902742500687735,0.048990798080092914,0.05373184162576418,0.019642915525603977,0.03356531582508679,0.052913429858453556,0.29918048391914476,0.28142849019906974,0.37946150664550526,0.42749321460723877,0.25204622501930624,0.25558043572199457,0.3449970766177092,0.5179338216781616
