layers,activation,batch_size,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,0.263428,0.232818,0.263246,0.247698,0.359893,0.337045,0.483814,0.536151
[16],relu,64,0.273042,0.237653,0.266341,0.249393,0.365216,0.339616,0.464805,0.525982
[16],prelu,32,0.265084,0.234101,0.264231,0.248243,0.360497,0.337483,0.481026,0.53399
[16],prelu,64,0.264241,0.232695,0.263894,0.248234,0.360162,0.337191,0.481532,0.534518
[32],relu,32,0.262155,0.234615,0.261945,0.247312,0.356958,0.33654,0.491719,0.537593
[32],relu,64,0.261318,0.233759,0.26169,0.247094,0.356539,0.336228,0.492899,0.538673
[32],prelu,32,0.264305,0.235504,0.263055,0.247925,0.357859,0.33699,0.487014,0.534639
[32],prelu,64,0.260179,0.232219,0.261411,0.246735,0.355627,0.335073,0.49543,0.541366
[64],relu,32,0.258838,0.235321,0.259549,0.246482,0.352534,0.335143,0.504518,0.541455
[64],relu,64,0.259287,0.235723,0.259689,0.246476,0.352695,0.33519,0.504366,0.541469
[64],prelu,32,0.257047,0.233645,0.259225,0.246037,0.351908,0.334408,0.506937,0.543513
[64],prelu,64,0.257929,0.234886,0.259653,0.246811,0.352499,0.335389,0.504475,0.541133
"[32, 16]",relu,32,0.275976,0.239046,0.263992,0.244799,0.361879,0.335072,0.476785,0.542225
"[32, 16]",relu,64,0.272464,0.238488,0.262713,0.244521,0.35989,0.334767,0.48429,0.543139
"[32, 16]",prelu,32,0.274721,0.23889,0.263972,0.245198,0.360626,0.334688,0.480703,0.543252
"[32, 16]",prelu,64,0.270064,0.237751,0.262101,0.244033,0.357972,0.334046,0.489602,0.545334
"[64, 32, 16]",relu,32,0.287251,0.255938,0.262858,0.246012,0.360473,0.337555,0.481637,0.53585
"[64, 32, 16]",relu,64,0.286225,0.254846,0.26232,0.245416,0.36005,0.337031,0.483461,0.537236
"[64, 32, 16]",prelu,32,0.279378,0.251087,0.261014,0.245014,0.356902,0.336077,0.492296,0.539782
"[64, 32, 16]",prelu,64,0.282836,0.253324,0.261304,0.244705,0.357203,0.335584,0.491111,0.541309
