layers,activation,batch_size,epoch,loss,mae,r2_score,root_mean_squared_error,val_loss,val_mae,val_r2_score,val_root_mean_squared_error,learning_rate
[16],relu,32,224,0.2434592785550655,0.2552852957823473,0.5188302755355835,0.3481981697880483,0.226460583521358,0.2451391535161282,0.5436028957366943,0.3346315284990907,0.0002656250126165
[16],relu,64,202,0.245398290001962,0.2560969157263167,0.5145459651947022,0.3496237658471271,0.2250729425892834,0.2448692960776878,0.5453477025032043,0.3338071449312106,0.0003312500157335
[16],prelu,32,215,0.2422368274186588,0.2556635538564824,0.5213005661964416,0.3473298188938999,0.2255068148632737,0.2452320246795196,0.5447182893753052,0.3340116750177859,0.0002000000094994
[16],prelu,64,248,0.2418329718253,0.2554677681190184,0.5206742405891418,0.3474693597880725,0.224460999030482,0.2451461738358125,0.5450101733207703,0.3338042648123938,0.0001625000077183
[32],relu,32,298,0.2375442462967706,0.2531971351749428,0.5295834898948669,0.3441461585454268,0.2255694774119733,0.2453928488809172,0.5431659460067749,0.3344799210273633,0.0001281250060856
[32],relu,64,293,0.23637599382267,0.2525110416407592,0.53206707239151,0.3434038044382143,0.2248888846096162,0.2451847840467299,0.5439600706100464,0.3340768111556232,6.093750289437594e-05
[32],prelu,32,271,0.2371648156141964,0.2530047301514836,0.5306203961372375,0.3438178668312243,0.2252601661223576,0.2452609080366412,0.5435616135597229,0.334213601659915,0.0002437500115775
[32],prelu,64,291,0.2358554730080958,0.2532844468700581,0.5332458853721619,0.3428643774100989,0.2241028686363168,0.2448718428089033,0.5458984255790711,0.3333476127780749,4.84375023006578e-05
[64],relu,32,273,0.2301605535964489,0.2499064516730569,0.5439010977745056,0.3389448842919286,0.2248932486559279,0.2451079423839937,0.5432761907577515,0.3342697084755109,0.0001125000053434
[64],relu,64,283,0.2314169878459359,0.2503554986821152,0.541410255432129,0.3399072370045693,0.2251543236513887,0.2454430793892295,0.5428228259086609,0.334463156171736,8.437500400759745e-05
[64],prelu,32,298,0.2302523021779114,0.2507536254437806,0.5431140184402465,0.3392940342842958,0.2232181909870823,0.2446435242080338,0.5463511705398559,0.3332379761404149,0.0002578125122454
[64],prelu,64,286,0.2310973109512289,0.2502895899951423,0.5415928959846497,0.3396990118527812,0.2250442301140075,0.2455269480888699,0.5431952476501465,0.33442610009312,6.875000326544978e-05
"[32, 16]",relu,32,277,0.2442561380154369,0.2539540686984867,0.5229174971580506,0.3465308373916131,0.2262629887659805,0.2425521660507593,0.549205732345581,0.3323387070561046,0.0003500000166241
"[32, 16]",relu,64,286,0.2448940889979391,0.2533168910012842,0.5235498905181885,0.3464392208738066,0.228582839411989,0.2433068718429424,0.5460552334785461,0.3334554228249029,0.0001015625048239
"[32, 16]",prelu,32,270,0.2414160228166422,0.2535297836692731,0.5289730072021485,0.3444904683991168,0.2262424594375994,0.2431780637029774,0.549371600151062,0.3323190593952616,0.0004531250215222
"[32, 16]",prelu,64,283,0.2410637505404541,0.2539962525170115,0.5303001284599305,0.3440356246423371,0.2266740579270078,0.2428548286719529,0.5490928769111634,0.3323984779659119,0.0002156250102416
"[64, 32, 16]",relu,32,269,0.2411491166671552,0.2510989768347813,0.5365151286125183,0.3416930438826823,0.2340658469847264,0.2438728108550511,0.5419575929641723,0.3352357969160165,0.0006062500287953
"[64, 32, 16]",relu,64,293,0.2380278744007648,0.2494137547471571,0.5429317831993103,0.3392845373082565,0.2377454556135129,0.2456613758169043,0.5359978675842285,0.3377135747148003,8.125000385916792e-05
"[64, 32, 16]",prelu,32,298,0.2357394222508933,0.2499615484273881,0.5440990328788757,0.3388411226406805,0.2324319598714005,0.2442313299058212,0.542680025100708,0.3351523608831694,0.0001875000089057
"[64, 32, 16]",prelu,64,289,0.2360435940178822,0.2489086471611453,0.5458467841148377,0.3381868370854726,0.2341368611796378,0.2447777200329493,0.5408466339111329,0.3356368576959796,0.0001562500074214
