layers,activation,batch_size,epoch,loss,val_loss,mae,val_mae,root_mean_squared_error,val_root_mean_squared_error,r2_score,val_r2_score
[16],relu,32,203,0.248576,0.223343,0.257476,0.24453,0.351806,0.332493,0.508884,0.548292
[16],relu,64,167,0.25206,0.224372,0.258505,0.244446,0.354221,0.333095,0.501899,0.547181
[16],prelu,32,143,0.248528,0.222781,0.257467,0.244584,0.351257,0.331597,0.510358,0.550292
[16],prelu,64,225,0.246068,0.222479,0.256752,0.244782,0.350481,0.332407,0.512344,0.548259
[32],relu,32,201,0.245778,0.224036,0.256536,0.244181,0.349861,0.332993,0.514185,0.547324
[32],relu,64,214,0.240373,0.223393,0.254362,0.245166,0.34608,0.332834,0.524478,0.546931
[32],prelu,32,141,0.247011,0.223046,0.257633,0.243999,0.349799,0.331394,0.514111,0.551291
[32],prelu,64,177,0.244598,0.222485,0.256102,0.243819,0.348755,0.331651,0.517186,0.550719
[64],relu,32,191,0.237939,0.222439,0.252971,0.243408,0.344323,0.332029,0.529461,0.549502
[64],relu,64,150,0.244322,0.223164,0.255417,0.243765,0.348126,0.331846,0.518612,0.549741
[64],prelu,32,220,0.236535,0.221516,0.252696,0.244017,0.343647,0.331824,0.531198,0.549498
[64],prelu,64,155,0.242033,0.223448,0.254984,0.245056,0.346734,0.332314,0.522406,0.548464
"[32, 16]",relu,32,279,0.248166,0.226167,0.25633,0.242863,0.349409,0.332257,0.515247,0.549538
"[32, 16]",relu,64,266,0.248623,0.227961,0.254992,0.243175,0.349045,0.332912,0.516229,0.547553
"[32, 16]",prelu,32,205,0.248052,0.225021,0.255867,0.242869,0.348495,0.330775,0.517857,0.55269
"[32, 16]",prelu,64,299,0.245238,0.226462,0.254747,0.242817,0.347084,0.332294,0.521655,0.549525
"[64, 32, 16]",relu,32,259,0.250196,0.233712,0.253693,0.244016,0.348127,0.334741,0.518794,0.543488
"[64, 32, 16]",relu,64,212,0.252296,0.234345,0.25454,0.243632,0.348756,0.334588,0.517373,0.543423
"[64, 32, 16]",prelu,32,244,0.244056,0.231415,0.253485,0.243587,0.344408,0.334006,0.529089,0.545112
"[64, 32, 16]",prelu,64,240,0.245635,0.23118,0.252787,0.242907,0.344661,0.332983,0.528386,0.547394
